Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-003:PCT-QL-006:PCT-004:en:12,PCT-CP-003,Medium,PCT-QL-006,Before/After,Population,Original/Recovery value,"After a 10% decrease, the population became 18000. Find the original population.",20000,20000 + 1,-20000,20000 - 1,A,"After a decrease of 10%, the new value becomes 90% of the original. ? 90%?18000 90% can also be written as the fraction 9/10. ? 90%=(9/10) First find the value of 1% by dividing 18000 by 90. ? 1%=(18000/90)=200 Now multiply the value of 1% by 100 to get the original value. ? 100%=200?100=20000 So the original population was 20000. ? Original population=20000",,
PCT-CP-004:PCT-QL-008:PCT-004:en:13,PCT-CP-004,Easy,PCT-QL-008,Direct,Inventory,Multiplier,A inventory decreases by 40%. What multiplier represents this decrease?,0.6,0.6 - 1,0.6 + 1,-0.6,A,A decrease of 40% leaves 60% of the original. ? 100%-40%=60% 60% can also be written as the fraction 3/5. ? 60%=(3/5) Write this remaining percentage as a multiplier. ? Multiplier=(60/100)=0.6 So the decrease multiplier is 0.6. ? Multiplier=0.6,,
PCT-CP-005:PCT-QL-010:PCT-004:en:14,PCT-CP-005,Medium,PCT-QL-010,Timeline,Population,Count/Partition output,The population was 4000. It decreased by 15% and then by 20%. Find the new population.,-2720,2720,2720 - 1,2720 + 1,B,"After the first decrease of 15%, the population becomes 85% of its original value. ? After first decrease=4000?(85/100)=3400 Now decrease this new value by 20%. ? Final value=3400?(80/100)=2720 So the population after both decreases is 2720. ? Final population=2720",,
PCT-CP-006:PCT-QL-012:PCT-004:en:15,PCT-CP-006,Medium,PCT-QL-012,Timeline,Education,Percentage change,The attendance decreased by 15% and then again by 20%. Find the net percentage decrease.,-32%,32% + 1,32% - 1,32%,D,Convert both decreases into retained factors. ? Combined factor=(85/100)?(80/100) This combined factor shows what fraction of the original still remains. ? Combined factor=(85/100)?(80/100)=0.68 So subtract the remaining fraction from 1 and convert it into percent. ? Net decrease=32% So the overall percentage decrease is 32%. ? Net decrease=32%,,
PCT-CP-007:PCT-QL-014:PCT-004:en:16,PCT-CP-007,Hard,PCT-QL-014,Direct,Production,Comparison,production A was 800 and decreased by 15%. production B was 500 and decreased by 15%. Find the difference between their new values.,255 - 1,255,-255,255 + 1,B,First find the new value of production A after its decrease. ? New production A=800?(85/100)=680 Now find the new value of production B after its decrease. ? New production B=500?(85/100)=425 Now compare the two new values. ? Difference=left|680-425right|=255 So the difference between the new values is 255. ? Difference=255,,
PCT-CP-008:PCT-QL-016:PCT-004:en:17,PCT-CP-008,Hard,PCT-QL-016,Before/After,Workforce,Percentage change,"Out of 800 workers, 30% were urban workers. After decreasing urban workers by 15% and rural workers by 15%, find the new percentage of urban workers.",-30%,30% - 1,30% + 1,30%,D,"At first, 30% of the workers are urban workers. So split the original total. ? Initial urban workers=800?(30/100)=240, Initial rural workers=560 Now decrease the numbers of urban workers and rural workers by their respective percentages. ? New urban workers=240?(85/100)=204, New rural workers=560?(85/100)=476 Use the new total to find the updated percentage of urban workers. ? New urban workers percent=(204/680)?100=30% So the new percentage of urban workers is 30%. ? New urban workers percent=30%",,
PCT-CP-009:PCT-QL-018:PCT-004:en:18,PCT-CP-009,Easy,PCT-QL-018,Multi-statement,Money,Percentage change,The current production is 800 and the target is 600. Find the required percentage decrease.,-25%,25%,25% - 1,25% + 1,B,First find how much reduction is needed to reach the target. ? Needed reduction=800-600=200 Now compare this reduction with the current production. ? Required decrease=(200/800)?100=25% So the required percentage decrease is 25%. ? Required decrease=25%,,
PCT-CP-010:PCT-QL-020:PCT-004:en:19,PCT-CP-010,Medium,PCT-QL-020,Before/After,Money,Final value,An expenditure of Rs. 30000 decreases by 15% every year. Find the expenditure after 3 years.,-18423.75,18423.75 - 1,18423.75 + 1,18423.75,D,"Each decrease of 15% leaves 85% of the expenditure. ? 100%-15%=85% Since the same decrease happens for 3 periods, use the retained factor 3 times. ? Overall factor=left((85/100)right)^{3} Now multiply the current expenditure by this overall factor. ? Final expenditure=30000?left((85/100)right)^{3}=18423.75 So the expenditure after 3 periods is Rs. 18423.75. ? Final expenditure=18423.75",,
PCT-CP-001:PCT-QL-001:PCT-004:en:20,PCT-CP-001,Easy,PCT-QL-001,Narrative,Money,Final value,"The salary decreased by 25%. If the original salary was Rs. 60000, find the new salary.",45000,45000 - 1,45000 + 1,-45000,A,Decrease = 25%. So the remaining value is 75% of the original. ? 100%-25%=75% 75% can also be written as the fraction 3/4. ? 75%=(3/4) Now take 75% of the original salary. ? New salary=60000?(75/100)=45000 So the new salary is Rs. 45000. ? New salary=45000,,
PCT-CP-002:PCT-QL-003:PCT-004:en:21,PCT-CP-002,Easy,PCT-QL-003,Direct,Money,Final value,A salary of Rs. 30000 decreased by 15%. Find the decrease amount only.,4500,-4500,4500 + 1,4500 - 1,A,Only the reduced part is needed here. ? Decrease amount=15% of Rs. 30000 So find 15% of the original salary. ? Decrease amount=30000?(15/100)=4500 So the decrease amount is Rs. 4500. ? Decrease amount=4500,,
PCT-CP-003:PCT-QL-005:PCT-004:en:22,PCT-CP-003,Medium,PCT-QL-005,Before/After,Abstract,Original/Recovery value,"After a 20% decrease, the value became 640. Find the original value.",800,800 - 1,800 + 1,-800,A,"After a decrease of 20%, the new value becomes 80% of the original. ? 80%?640 80% can also be written as the fraction 4/5. ? 80%=(4/5) First find the value of 1% by dividing 640 by 80. ? 1%=(640/80)=8 Now multiply the value of 1% by 100 to get the original value. ? 100%=8?100=800 So the original value was 800. ? Original value=800",,
PCT-CP-004:PCT-QL-007:PCT-004:en:23,PCT-CP-004,Easy,PCT-QL-007,Direct,Money,Multiplier,Find the decrease multiplier for a 10% decrease in the salary.,0.9,-0.9,0.9 + 1,0.9 - 1,A,A decrease of 10% leaves 90% of the original. ? 100%-10%=90% 90% can also be written as the fraction 9/10. ? 90%=(9/10) Write this remaining percentage as a multiplier. ? Multiplier=(90/100)=0.9 So the decrease multiplier is 0.9. ? Multiplier=0.9,,
PCT-CP-005:PCT-QL-009:PCT-004:en:24,PCT-CP-005,Medium,PCT-QL-009,Timeline,Money,Final value,A salary of Rs. 20000 first decreased by 20% and then by 15%. Find the final salary.,13600,13600 - 1,13600 + 1,-13600,A,"After the first decrease of 20%, the salary becomes 80% of its original value. ? After first decrease=20000?(80/100)=16000 Now decrease this new value by 15%. ? Final value=16000?(85/100)=13600 So the salary after both decreases is Rs. 13600. ? Final salary=13600",,
PCT-CP-006:PCT-QL-011:PCT-004:en:25,PCT-CP-006,Medium,PCT-QL-011,Timeline,Money,Percentage change,A price decreased first by 20% and then by 20%. Find the overall percentage decrease.,36% - 1,36%,-36%,36% + 1,B,Convert both decreases into retained factors. ? Combined factor=(80/100)?(80/100) This combined factor shows what fraction of the original still remains. ? Combined factor=(80/100)?(80/100)=0.64 So subtract the remaining fraction from 1 and convert it into percent. ? Net decrease=36% So the overall percentage decrease is 36%. ? Net decrease=36%,,
PCT-CP-007:PCT-QL-013:PCT-004:en:26,PCT-CP-007,Hard,PCT-QL-013,Direct,Money,Comparison,salary A was Rs. 50000 and decreased by 15%. salary B was Rs. 25000 and decreased by 20%. Find the difference between their new values.,-22500,22500 + 1,22500 - 1,22500,D,First find the new value of salary A after its decrease. ? New salary A=50000?(85/100)=42500 Now find the new value of salary B after its decrease. ? New salary B=25000?(80/100)=20000 Now compare the two new values. ? Difference=left|42500-20000right|=22500 So the difference between the new values is Rs. 22500. ? Difference=22500,,
PCT-CP-008:PCT-QL-015:PCT-004:en:27,PCT-CP-008,Hard,PCT-QL-015,Observation,Education,Percentage change,"In a group of 500 students, 45% were boys and the rest were girls. If the number of boys decreased by 20% and the number of girls decreased by 10%, find the new percentage of boys.",42.1053% - 1,42.1053%,-42.1053%,42.1053% + 1,B,"At first, 45% of the students are boys. So split the original total. ? Initial boys=500?(45/100)=225, Initial girls=275 Now decrease the numbers of boys and girls by their respective percentages. ? New boys=225?(80/100)=180, New girls=275?(90/100)=247.5 Use the new total to find the updated percentage of boys. ? New boys percent=(180/427.5)?100=42.1053% So the new percentage of boys is 42.1053%. ? New boys percent=42.1053%",,
PCT-CP-009:PCT-QL-017:PCT-004:en:28,PCT-CP-009,Easy,PCT-QL-017,Multi-statement,Money,Percentage change,The current salary is Rs. 60000 and it must become Rs. 45000. Find the required percentage decrease.,-25%,25% - 1,25% + 1,25%,D,First find how much reduction is needed to reach the target. ? Needed reduction=60000-45000=15000 Now compare this reduction with the current salary. ? Required decrease=(15000/60000)?100=25% So the required percentage decrease is 25%. ? Required decrease=25%,,
PCT-CP-010:PCT-QL-019:PCT-004:en:29,PCT-CP-010,Medium,PCT-QL-019,Before/After,Inventory,Count/Partition output,An inventory of 1000 decreases by 15% every month. Find the inventory after 2 months.,722,722 + 1,722 - 1,-722,A,"Each decrease of 15% leaves 85% of the inventory. ? 100%-15%=85% Since the same decrease happens for 2 periods, use the retained factor 2 times. ? Overall factor=left((85/100)right)^{2} Now multiply the current inventory by this overall factor. ? Final inventory=1000?left((85/100)right)^{2}=722.5 So the inventory after 2 periods is 722.5. ? Final inventory=722",,
PCT-CP-001:PCT-QL-002:PCT-004:en:30,PCT-CP-001,Easy,PCT-QL-002,Narrative,Population,Count/Partition output,"The population decreased by 10%. If the original population was 8000, find the new population.",7200,7200 + 1,7200 - 1,-7200,A,Decrease = 10%. So the remaining value is 90% of the original. ? 100%-10%=90% 90% can also be written as the fraction 9/10. ? 90%=(9/10) Now take 90% of the original population. ? New population=8000?(90/100)=7200 So the new population is 7200. ? New population=7200,,
PCT-CP-002:PCT-QL-004:PCT-004:en:31,PCT-CP-002,Easy,PCT-QL-004,Direct,Production,Count/Partition output,The production was 600 and it decreased by 25%. Find the decrease count only.,150,-150,150 + 1,150 - 1,A,Only the reduced part is needed here. ? Decrease amount=25% of 600 25% can also be written as the fraction 1/4. ? 25%=(1/4) So find 25% of the original production. ? Decrease amount=600?(25/100)=150 So the decrease amount is 150. ? Decrease amount=150,,
PCT-CP-003:PCT-QL-006:PCT-004:en:32,PCT-CP-003,Medium,PCT-QL-006,Before/After,Population,Original/Recovery value,"After a 20% decrease, the population became 9600. Find the original population.",12000,12000 - 1,12000 + 1,-12000,A,"After a decrease of 20%, the new value becomes 80% of the original. ? 80%?9600 80% can also be written as the fraction 4/5. ? 80%=(4/5) First find the value of 1% by dividing 9600 by 80. ? 1%=(9600/80)=120 Now multiply the value of 1% by 100 to get the original value. ? 100%=120?100=12000 So the original population was 12000. ? Original population=12000",,
PCT-CP-004:PCT-QL-008:PCT-004:en:33,PCT-CP-004,Easy,PCT-QL-008,Direct,Inventory,Multiplier,A inventory decreases by 20%. What multiplier represents this decrease?,0.8,-0.8,0.8 + 1,0.8 - 1,A,A decrease of 20% leaves 80% of the original. ? 100%-20%=80% 80% can also be written as the fraction 4/5. ? 80%=(4/5) Write this remaining percentage as a multiplier. ? Multiplier=(80/100)=0.8 So the decrease multiplier is 0.8. ? Multiplier=0.8,,
PCT-CP-005:PCT-QL-010:PCT-004:en:34,PCT-CP-005,Medium,PCT-QL-010,Timeline,Population,Count/Partition output,The population was 8000. It decreased by 20% and then by 10%. Find the new population.,-5760,5760 - 1,5760 + 1,5760,D,"After the first decrease of 20%, the population becomes 80% of its original value. ? After first decrease=8000?(80/100)=6400 Now decrease this new value by 10%. ? Final value=6400?(90/100)=5760 So the population after both decreases is 5760. ? Final population=5760",,
PCT-CP-006:PCT-QL-012:PCT-004:en:35,PCT-CP-006,Medium,PCT-QL-012,Timeline,Education,Percentage change,The attendance decreased by 10% and then again by 12%. Find the net percentage decrease.,-20.8%,20.8%,20.8% - 1,20.8% + 1,B,Convert both decreases into retained factors. ? Combined factor=(90/100)?(88/100) This combined factor shows what fraction of the original still remains. ? Combined factor=(90/100)?(88/100)=0.792 So subtract the remaining fraction from 1 and convert it into percent. ? Net decrease=20.8% So the overall percentage decrease is 20.8%. ? Net decrease=20.8%,,
PCT-CP-007:PCT-QL-014:PCT-004:en:36,PCT-CP-007,Hard,PCT-QL-014,Direct,Production,Comparison,production A was 800 and decreased by 20%. production B was 500 and decreased by 10%. Find the difference between their new values.,190 + 1,190 - 1,-190,190,D,First find the new value of production A after its decrease. ? New production A=800?(80/100)=640 Now find the new value of production B after its decrease. ? New production B=500?(90/100)=450 Now compare the two new values. ? Difference=left|640-450right|=190 So the difference between the new values is 190. ? Difference=190,,
PCT-CP-008:PCT-QL-016:PCT-004:en:37,PCT-CP-008,Hard,PCT-QL-016,Before/After,Workforce,Percentage change,"Out of 400 workers, 45% were urban workers. After decreasing urban workers by 10% and rural workers by 12%, find the new percentage of urban workers.",-45.5568%,45.5568%,45.5568% - 1,45.5568% + 1,B,"At first, 45% of the workers are urban workers. So split the original total. ? Initial urban workers=400?(45/100)=180, Initial rural workers=220 Now decrease the numbers of urban workers and rural workers by their respective percentages. ? New urban workers=180?(90/100)=162, New rural workers=220?(88/100)=193.6 Use the new total to find the updated percentage of urban workers. ? New urban workers percent=(162/355.6)?100=45.5568% So the new percentage of urban workers is 45.5568%. ? New urban workers percent=45.5568%",,
PCT-CP-009:PCT-QL-018:PCT-004:en:38,PCT-CP-009,Easy,PCT-QL-018,Multi-statement,Money,Percentage change,The current production is 1200 and the target is 900. Find the required percentage decrease.,-25%,25% + 1,25% - 1,25%,D,First find how much reduction is needed to reach the target. ? Needed reduction=1200-900=300 Now compare this reduction with the current production. ? Required decrease=(300/1200)?100=25% So the required percentage decrease is 25%. ? Required decrease=25%,,
PCT-CP-010:PCT-QL-020:PCT-004:en:39,PCT-CP-010,Medium,PCT-QL-020,Before/After,Money,Final value,An expenditure of Rs. 30000 decreases by 20% every year. Find the expenditure after 3 years.,15360 - 1,15360,-15360,15360 + 1,B,"Each decrease of 20% leaves 80% of the expenditure. ? 100%-20%=80% 80% can also be written as the fraction 4/5. ? 80%=(4/5) Since the same decrease happens for 3 periods, use the retained factor 3 times. ? Overall factor=left((80/100)right)^{3} Now multiply the current expenditure by this overall factor. ? Final expenditure=30000?left((80/100)right)^{3}=15360 So the expenditure after 3 periods is Rs. 15360. ? Final expenditure=15360",,
PCT-CP-001:PCT-QL-001:PCT-004:en:40,PCT-CP-001,Easy,PCT-QL-001,Narrative,Money,Final value,"The salary decreased by 12%. If the original salary was Rs. 20000, find the new salary.",17600,-17600,17600 + 1,17600 - 1,A,Decrease = 12%. So the remaining value is 88% of the original. ? 100%-12%=88% Now take 88% of the original salary. ? New salary=20000?(88/100)=17600 So the new salary is Rs. 17600. ? New salary=17600,,
PCT-CP-002:PCT-QL-003:PCT-004:en:41,PCT-CP-002,Easy,PCT-QL-003,Direct,Money,Final value,A salary of Rs. 50000 decreased by 10%. Find the decrease amount only.,5000 + 1,5000 - 1,5000,-5000,C,Only the reduced part is needed here. ? Decrease amount=10% of Rs. 50000 10% can also be written as the fraction 1/10. ? 10%=(1/10) So find 10% of the original salary. ? Decrease amount=50000?(10/100)=5000 So the decrease amount is Rs. 5000. ? Decrease amount=5000,,
PCT-CP-003:PCT-QL-005:PCT-004:en:42,PCT-CP-003,Medium,PCT-QL-005,Before/After,Abstract,Original/Recovery value,"After a 40% decrease, the value became 720. Find the original value.",1200,1200 + 1,-1200,1200 - 1,A,"After a decrease of 40%, the new value becomes 60% of the original. ? 60%?720 60% can also be written as the fraction 3/5. ? 60%=(3/5) First find the value of 1% by dividing 720 by 60. ? 1%=(720/60)=12 Now multiply the value of 1% by 100 to get the original value. ? 100%=12?100=1200 So the original value was 1200. ? Original value=1200",,
PCT-CP-004:PCT-QL-007:PCT-004:en:43,PCT-CP-004,Easy,PCT-QL-007,Direct,Money,Multiplier,Find the decrease multiplier for a 20% decrease in the salary.,0.8 + 1,0.8 - 1,0.8,-0.8,C,A decrease of 20% leaves 80% of the original. ? 100%-20%=80% 80% can also be written as the fraction 4/5. ? 80%=(4/5) Write this remaining percentage as a multiplier. ? Multiplier=(80/100)=0.8 So the decrease multiplier is 0.8. ? Multiplier=0.8,,
PCT-CP-005:PCT-QL-009:PCT-004:en:44,PCT-CP-005,Medium,PCT-QL-009,Timeline,Money,Final value,A salary of Rs. 30000 first decreased by 10% and then by 25%. Find the final salary.,20250 + 1,-20250,20250,20250 - 1,C,"After the first decrease of 10%, the salary becomes 90% of its original value. ? After first decrease=30000?(90/100)=27000 Now decrease this new value by 25%. ? Final value=27000?(75/100)=20250 So the salary after both decreases is Rs. 20250. ? Final salary=20250",,
PCT-CP-006:PCT-QL-011:PCT-004:en:45,PCT-CP-006,Medium,PCT-QL-011,Timeline,Money,Percentage change,A price decreased first by 15% and then by 10%. Find the overall percentage decrease.,-23.5%,23.5% + 1,23.5% - 1,23.5%,D,Convert both decreases into retained factors. ? Combined factor=(85/100)?(90/100) This combined factor shows what fraction of the original still remains. ? Combined factor=(85/100)?(90/100)=0.765 So subtract the remaining fraction from 1 and convert it into percent. ? Net decrease=23.5% So the overall percentage decrease is 23.5%. ? Net decrease=23.5%,,
PCT-CP-007:PCT-QL-013:PCT-004:en:46,PCT-CP-007,Hard,PCT-QL-013,Direct,Money,Comparison,salary A was Rs. 50000 and decreased by 10%. salary B was Rs. 25000 and decreased by 10%. Find the difference between their new values.,-22500,22500 - 1,22500,22500 + 1,C,First find the new value of salary A after its decrease. ? New salary A=50000?(90/100)=45000 Now find the new value of salary B after its decrease. ? New salary B=25000?(90/100)=22500 Now compare the two new values. ? Difference=left|45000-22500right|=22500 So the difference between the new values is Rs. 22500. ? Difference=22500,,
PCT-CP-008:PCT-QL-015:PCT-004:en:47,PCT-CP-008,Hard,PCT-QL-015,Observation,Education,Percentage change,"In a group of 300 students, 60% were boys and the rest were girls. If the number of boys decreased by 20% and the number of girls decreased by 20%, find the new percentage of boys.",-60%,60% - 1,60% + 1,60%,D,"At first, 60% of the students are boys. So split the original total. ? Initial boys=300?(60/100)=180, Initial girls=120 Now decrease the numbers of boys and girls by their respective percentages. ? New boys=180?(80/100)=144, New girls=120?(80/100)=96 Use the new total to find the updated percentage of boys. ? New boys percent=(144/240)?100=60% So the new percentage of boys is 60%. ? New boys percent=60%",,
PCT-CP-009:PCT-QL-017:PCT-004:en:48,PCT-CP-009,Easy,PCT-QL-017,Multi-statement,Money,Percentage change,The current salary is Rs. 50000 and it must become Rs. 40000. Find the required percentage decrease.,-20%,20%,20% - 1,20% + 1,B,First find how much reduction is needed to reach the target. ? Needed reduction=50000-40000=10000 Now compare this reduction with the current salary. ? Required decrease=(10000/50000)?100=20% So the required percentage decrease is 20%. ? Required decrease=20%,,
PCT-CP-010:PCT-QL-019:PCT-004:en:49,PCT-CP-010,Medium,PCT-QL-019,Before/After,Inventory,Count/Partition output,An inventory of 5000 decreases by 10% every month. Find the inventory after 2 months.,4050,4050 + 1,-4050,4050 - 1,A,"Each decrease of 10% leaves 90% of the inventory. ? 100%-10%=90% 90% can also be written as the fraction 9/10. ? 90%=(9/10) Since the same decrease happens for 2 periods, use the retained factor 2 times. ? Overall factor=left((90/100)right)^{2} Now multiply the current inventory by this overall factor. ? Final inventory=5000?left((90/100)right)^{2}=4050 So the inventory after 2 periods is 4050. ? Final inventory=4050",,
PCT-CP-001:PCT-QL-002:PCT-004:en:50,PCT-CP-001,Easy,PCT-QL-002,Narrative,Population,Count/Partition output,"The population decreased by 20%. If the original population was 12000, find the new population.",9600,9600 + 1,-9600,9600 - 1,A,Decrease = 20%. So the remaining value is 80% of the original. ? 100%-20%=80% 80% can also be written as the fraction 4/5. ? 80%=(4/5) Now take 80% of the original population. ? New population=12000?(80/100)=9600 So the new population is 9600. ? New population=9600,,
PCT-CP-002:PCT-QL-004:PCT-004:en:51,PCT-CP-002,Easy,PCT-QL-004,Direct,Production,Count/Partition output,The production was 800 and it decreased by 15%. Find the decrease count only.,120 + 1,120 - 1,120,-120,C,Only the reduced part is needed here. ? Decrease amount=15% of 800 So find 15% of the original production. ? Decrease amount=800?(15/100)=120 So the decrease amount is 120. ? Decrease amount=120,,
PCT-CP-003:PCT-QL-006:PCT-004:en:52,PCT-CP-003,Medium,PCT-QL-006,Before/After,Population,Original/Recovery value,"After a 10% decrease, the population became 18000. Find the original population.",20000,-20000,20000 + 1,20000 - 1,A,"After a decrease of 10%, the new value becomes 90% of the original. ? 90%?18000 90% can also be written as the fraction 9/10. ? 90%=(9/10) First find the value of 1% by dividing 18000 by 90. ? 1%=(18000/90)=200 Now multiply the value of 1% by 100 to get the original value. ? 100%=200?100=20000 So the original population was 20000. ? Original population=20000",,
PCT-CP-004:PCT-QL-008:PCT-004:en:53,PCT-CP-004,Easy,PCT-QL-008,Direct,Inventory,Multiplier,A inventory decreases by 40%. What multiplier represents this decrease?,0.6,0.6 + 1,0.6 - 1,-0.6,A,A decrease of 40% leaves 60% of the original. ? 100%-40%=60% 60% can also be written as the fraction 3/5. ? 60%=(3/5) Write this remaining percentage as a multiplier. ? Multiplier=(60/100)=0.6 So the decrease multiplier is 0.6. ? Multiplier=0.6,,
PCT-CP-005:PCT-QL-010:PCT-004:en:54,PCT-CP-005,Medium,PCT-QL-010,Timeline,Population,Count/Partition output,The population was 4000. It decreased by 10% and then by 20%. Find the new population.,-2880,2880,2880 - 1,2880 + 1,B,"After the first decrease of 10%, the population becomes 90% of its original value. ? After first decrease=4000?(90/100)=3600 Now decrease this new value by 20%. ? Final value=3600?(80/100)=2880 So the population after both decreases is 2880. ? Final population=2880",,
PCT-CP-006:PCT-QL-012:PCT-004:en:55,PCT-CP-006,Medium,PCT-QL-012,Timeline,Education,Percentage change,The attendance decreased by 15% and then again by 20%. Find the net percentage decrease.,32% + 1,32% - 1,-32%,32%,D,Convert both decreases into retained factors. ? Combined factor=(85/100)?(80/100) This combined factor shows what fraction of the original still remains. ? Combined factor=(85/100)?(80/100)=0.68 So subtract the remaining fraction from 1 and convert it into percent. ? Net decrease=32% So the overall percentage decrease is 32%. ? Net decrease=32%,,
