Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-006:PCT-QL-012:PCT-003:en:15,PCT-CP-006,Medium,PCT-QL-012,Timeline,Population,Percentage change,The population increased by 10% and then again by 15%. Find the net percentage increase.,26.5%,26.5% + 1,-26.5%,26.5% - 1,A,Convert the two increases into growth factors. ? Combined factor=(110/100)?(115/100) This combined factor tells us how many times the original value becomes after both increases. ? Combined factor=(110/100)?(115/100)=1.265 So subtract 1 from the combined factor and convert the result into a percentage increase. ? Net increase=26.5% Therefore the overall percentage increase is 26.5%. ? Net increase=26.5%,,
PCT-CP-007:PCT-QL-014:PCT-003:en:16,PCT-CP-007,Hard,PCT-QL-014,Direct,Production,Comparison,production A was 600 and increased by 15%. production B was 900 and increased by 25%. Find the difference between their new values.,435,435 - 1,435 + 1,-435,A,First find the new value of production A after its increase. ? New production A=600?(115/100)=690 Now find the new value of production B after its increase. ? New production B=900?(125/100)=1125 Finally compare these two new values. ? Difference=left|690-1125right|=435 Therefore the difference between the new values is 435. ? Difference=435,,
PCT-CP-008:PCT-QL-016:PCT-003:en:17,PCT-CP-008,Hard,PCT-QL-016,Before/After,Workforce,Percentage change,"Out of 1000 workers, 40% were urban workers. After increasing urban workers by 10% and rural workers by 10%, find the new percentage of urban workers.",40% + 1,-40%,40%,40% - 1,C,"At first, 40% of the workers are urban workers, so split the original total into urban workers and rural workers. ? Initial urban workers=1000?(40/100)=400, Initial rural workers=600 Now increase the number of urban workers and rural workers by their respective percentages. ? New urban workers=400?(110/100)=440, New rural workers=600?(110/100)=660 Use the new total to find the updated percentage of urban workers. ? New urban workers percent=(440/1100)?100=40% Therefore the new percentage of urban workers is 40%. ? New urban workers percent=40%",,
PCT-CP-009:PCT-QL-018:PCT-003:en:18,PCT-CP-009,Easy,PCT-QL-018,Multi-statement,Money,Percentage change,The current production is 500 and the target is 800. Find the required percentage increase.,60%,60% + 1,60% - 1,-60%,A,First find how much extra production is needed to reach the target. ? Needed amount=800-500=300 Now compare this extra amount with the current production. ? Required increase=(300/500)?100=60% Therefore the required percentage increase is 60%. ? Required increase=60%,,
PCT-CP-010:PCT-QL-020:PCT-003:en:19,PCT-CP-010,Medium,PCT-QL-020,Before/After,Production,Final value,A production value of Rs. 20000 grows by 10% every year. Find the production value after 3 years.,26620,-26620,26620 + 1,26620 - 1,A,"Each increase of 10% multiplies the production value by 110/100. ? One-period factor=(110/100) Since the same increase happens for 3 periods, use this factor 3 times. ? Overall factor=left((110/100)right)^{3} Now multiply the current production value by the overall factor. ? Final production value=20000?left((110/100)right)^{3}=26620 Therefore the production value after 3 periods is Rs. 26620. ? Final production value=26620",,
PCT-CP-001:PCT-QL-001:PCT-003:en:20,PCT-CP-001,Easy,PCT-QL-001,Narrative,Money,Final value,"The salary increased by 15%. If the original salary was Rs. 30000, find the new salary.",34500 - 1,34500,-34500,34500 + 1,B,An increase of 15% makes the salary equal to 115% of its original value. ? New percent=100%+15%=115% So multiply the original salary by 115/100. ? New salary=30000?(115/100)=34500 Therefore the new salary is Rs. 34500. ? New salary=34500,,
PCT-CP-002:PCT-QL-003:PCT-003:en:21,PCT-CP-002,Easy,PCT-QL-003,Direct,Money,Final value,A salary of Rs. 50000 increased by 25%. Find the increase amount only.,12500 + 1,12500 - 1,-12500,12500,D,"Only the increased part is required here, so we need 25% of the original salary. ? Increase amount=25% of Rs. 50000 Now take 25% of Rs. 50000. ? Increase amount=50000?(25/100)=12500 Therefore the increase amount is Rs. 12500. ? Increase amount=12500",,
PCT-CP-003:PCT-QL-005:PCT-003:en:22,PCT-CP-003,Medium,PCT-QL-005,Before/After,Money,Original/Recovery value,"After a 25% increase, the salary became Rs. 37500. Find the original salary.",-30000,30000 - 1,30000,30000 + 1,C,"After a 25% rise, the new salary represents 125% of the original. ? 125%?Rs. 37500 So divide Rs. 37500 by 125 to find the value of 1%. ? 1%=(37500/125)=300 Now multiply the value of 1% by 100 to get the original salary. ? 100%=300?100=30000 Therefore the original salary was Rs. 30000. ? Original salary=30000",,
PCT-CP-004:PCT-QL-007:PCT-003:en:23,PCT-CP-004,Easy,PCT-QL-007,Direct,Money,Multiplier,Find the equivalent multiplier for a 15% increase in the salary.,1.15 + 1,1.15 - 1,-1.15,1.15,D,A 15% increase means the new value becomes 115% of the old value. ? New percent=100%+15%=115% Express that new percentage as a multiplier by dividing by 100. ? Multiplier=(115/100)=1.15 Therefore the equivalent multiplier is 1.15. ? Multiplier=1.15,,
PCT-CP-005:PCT-QL-009:PCT-003:en:24,PCT-CP-005,Medium,PCT-QL-009,Timeline,Money,Final value,A salary of Rs. 20000 first increased by 20% and then by 10%. Find the final salary.,-26400,26400,26400 - 1,26400 + 1,B,"After the first increase of 20%, the salary becomes 120% of its original value. ? After first increase=20000?(120/100)=24000 Now apply the second increase of 10% to this new value. ? Final value=24000?(110/100)=26400 Therefore the salary after both increases is Rs. 26400. ? Final salary=26400",,
PCT-CP-006:PCT-QL-011:PCT-003:en:25,PCT-CP-006,Medium,PCT-QL-011,Timeline,Money,Percentage change,A price increased first by 10% and then by 15%. Find the overall percentage increase.,26.5%,26.5% + 1,26.5% - 1,-26.5%,A,Convert the two increases into growth factors. ? Combined factor=(110/100)?(115/100) This combined factor tells us how many times the original value becomes after both increases. ? Combined factor=(110/100)?(115/100)=1.265 So subtract 1 from the combined factor and convert the result into a percentage increase. ? Net increase=26.5% Therefore the overall percentage increase is 26.5%. ? Net increase=26.5%,,
PCT-CP-007:PCT-QL-013:PCT-003:en:26,PCT-CP-007,Hard,PCT-QL-013,Direct,Money,Comparison,salary A was Rs. 40000 and increased by 20%. salary B was Rs. 45000 and increased by 20%. Find the difference between their new values.,6000 + 1,-6000,6000,6000 - 1,C,First find the new value of salary A after its increase. ? New salary A=40000?(120/100)=48000 Now find the new value of salary B after its increase. ? New salary B=45000?(120/100)=54000 Finally compare these two new values. ? Difference=left|48000-54000right|=6000 Therefore the difference between the new values is Rs. 6000. ? Difference=6000,,
PCT-CP-008:PCT-QL-015:PCT-003:en:27,PCT-CP-008,Hard,PCT-QL-015,Observation,Education,Percentage change,"In a group of 200 students, 50% were boys and the rest were girls. If the number of boys increased by 15% and the number of girls increased by 15%, find the new percentage of boys.",50% + 1,50% - 1,50%,-50%,C,"At first, 50% of the students are boys, so split the original total into boys and girls. ? Initial boys=200?(50/100)=100, Initial girls=100 Now increase the number of boys and girls by their respective percentages. ? New boys=100?(115/100)=115, New girls=100?(115/100)=115 Use the new total to find the updated percentage of boys. ? New boys percent=(115/230)?100=50% Therefore the new percentage of boys is 50%. ? New boys percent=50%",,
PCT-CP-009:PCT-QL-017:PCT-003:en:28,PCT-CP-009,Easy,PCT-QL-017,Multi-statement,Money,Percentage change,The current salary is Rs. 60000 and it must become Rs. 72000. Find the required percentage increase.,20%,-20%,20% + 1,20% - 1,A,First find how much extra salary is needed to reach the target. ? Needed amount=72000-60000=12000 Now compare this extra amount with the current salary. ? Required increase=(12000/60000)?100=20% Therefore the required percentage increase is 20%. ? Required increase=20%,,
PCT-CP-010:PCT-QL-019:PCT-003:en:29,PCT-CP-010,Medium,PCT-QL-019,Before/After,Population,Count/Partition output,A population of 8000 grows by 10% every year. Find the population after 2 years.,-9680,9680 - 1,9680,9680 + 1,C,"Each increase of 10% multiplies the population by 110/100. ? One-period factor=(110/100) Since the same increase happens for 2 periods, use this factor 2 times. ? Overall factor=left((110/100)right)^{2} Now multiply the current population by the overall factor. ? Final population=8000?left((110/100)right)^{2}=9680 Therefore the population after 2 periods is 9680. ? Final population=9680",,
PCT-CP-001:PCT-QL-002:PCT-003:en:30,PCT-CP-001,Easy,PCT-QL-002,Narrative,Population,Count/Partition output,"The population increased by 15%. If the original population was 20000, find the new population.",-23000,23000,23000 - 1,23000 + 1,B,An increase of 15% makes the population equal to 115% of its original value. ? New percent=100%+15%=115% So multiply the original population by 115/100. ? New population=20000?(115/100)=23000 Therefore the new population is 23000. ? New population=23000,,
PCT-CP-002:PCT-QL-004:PCT-003:en:31,PCT-CP-002,Easy,PCT-QL-004,Direct,Production,Count/Partition output,The production was 1000 and it increased by 10%. Find the increase count only.,-100,100 + 1,100 - 1,100,D,"Only the increased part is required here, so we need 10% of the original production. ? Increase amount=10% of 1000 Now take 10% of 1000. ? Increase amount=1000?(10/100)=100 Therefore the increase amount is 100. ? Increase amount=100",,
PCT-CP-003:PCT-QL-006:PCT-003:en:32,PCT-CP-003,Medium,PCT-QL-006,Before/After,Population,Original/Recovery value,"After a 25% increase, the population became 25000. Find the original population.",20000 - 1,20000,-20000,20000 + 1,B,"After a 25% rise, the new population represents 125% of the original. ? 125%?25000 So divide 25000 by 125 to find the value of 1%. ? 1%=(25000/125)=200 Now multiply the value of 1% by 100 to get the original population. ? 100%=200?100=20000 Therefore the original population was 20000. ? Original population=20000",,
PCT-CP-004:PCT-QL-008:PCT-003:en:33,PCT-CP-004,Easy,PCT-QL-008,Direct,Population,Multiplier,A population increases by 20%. What multiplier represents this increase?,-1.2,1.2 - 1,1.2 + 1,1.2,D,A 20% increase means the new value becomes 120% of the old value. ? New percent=100%+20%=120% Express that new percentage as a multiplier by dividing by 100. ? Multiplier=(120/100)=1.2 Therefore the equivalent multiplier is 1.2. ? Multiplier=1.2,,
PCT-CP-005:PCT-QL-010:PCT-003:en:34,PCT-CP-005,Medium,PCT-QL-010,Timeline,Population,Count/Partition output,The population was 5000. It increased by 10% and then by 20%. Find the new population.,6600,6600 + 1,-6600,6600 - 1,A,"After the first increase of 10%, the population becomes 110% of its original value. ? After first increase=5000?(110/100)=5500 Now apply the second increase of 20% to this new value. ? Final value=5500?(120/100)=6600 Therefore the population after both increases is 6600. ? Final population=6600",,
PCT-CP-006:PCT-QL-012:PCT-003:en:35,PCT-CP-006,Medium,PCT-QL-012,Timeline,Population,Percentage change,The population increased by 15% and then again by 20%. Find the net percentage increase.,38%,38% - 1,38% + 1,-38%,A,Convert the two increases into growth factors. ? Combined factor=(115/100)?(120/100) This combined factor tells us how many times the original value becomes after both increases. ? Combined factor=(115/100)?(120/100)=1.38 So subtract 1 from the combined factor and convert the result into a percentage increase. ? Net increase=38% Therefore the overall percentage increase is 38%. ? Net increase=38%,,
PCT-CP-007:PCT-QL-014:PCT-003:en:36,PCT-CP-007,Hard,PCT-QL-014,Direct,Production,Comparison,production A was 600 and increased by 10%. production B was 900 and increased by 15%. Find the difference between their new values.,375 + 1,-375,375,375 - 1,C,First find the new value of production A after its increase. ? New production A=600?(110/100)=660 Now find the new value of production B after its increase. ? New production B=900?(115/100)=1035 Finally compare these two new values. ? Difference=left|660-1035right|=375 Therefore the difference between the new values is 375. ? Difference=375,,
PCT-CP-008:PCT-QL-016:PCT-003:en:37,PCT-CP-008,Hard,PCT-QL-016,Before/After,Workforce,Percentage change,"Out of 600 workers, 50% were urban workers. After increasing urban workers by 20% and rural workers by 15%, find the new percentage of urban workers.",51.0638% + 1,51.0638% - 1,51.0638%,-51.0638%,C,"At first, 50% of the workers are urban workers, so split the original total into urban workers and rural workers. ? Initial urban workers=600?(50/100)=300, Initial rural workers=300 Now increase the number of urban workers and rural workers by their respective percentages. ? New urban workers=300?(120/100)=360, New rural workers=300?(115/100)=345 Use the new total to find the updated percentage of urban workers. ? New urban workers percent=(360/705)?100=51.0638% Therefore the new percentage of urban workers is 51.0638%. ? New urban workers percent=51.0638%",,
PCT-CP-009:PCT-QL-018:PCT-003:en:38,PCT-CP-009,Easy,PCT-QL-018,Multi-statement,Money,Percentage change,The current production is 800 and the target is 950. Find the required percentage increase.,18.75%,18.75% + 1,-18.75%,18.75% - 1,A,First find how much extra production is needed to reach the target. ? Needed amount=950-800=150 Now compare this extra amount with the current production. ? Required increase=(150/800)?100=18.75% Therefore the required percentage increase is 18.75%. ? Required increase=18.75%,,
PCT-CP-010:PCT-QL-020:PCT-003:en:39,PCT-CP-010,Medium,PCT-QL-020,Before/After,Production,Final value,A production value of Rs. 20000 grows by 15% every year. Find the production value after 3 years.,30417.5 + 1,30417.5 - 1,30417.5,-30417.5,C,"Each increase of 15% multiplies the production value by 115/100. ? One-period factor=(115/100) Since the same increase happens for 3 periods, use this factor 3 times. ? Overall factor=left((115/100)right)^{3} Now multiply the current production value by the overall factor. ? Final production value=20000?left((115/100)right)^{3}=30417.5 Therefore the production value after 3 periods is Rs. 30417.5. ? Final production value=30417.5",,
PCT-CP-001:PCT-QL-001:PCT-003:en:40,PCT-CP-001,Easy,PCT-QL-001,Narrative,Money,Final value,"The salary increased by 25%. If the original salary was Rs. 40000, find the new salary.",50000 + 1,50000 - 1,-50000,50000,D,An increase of 25% makes the salary equal to 125% of its original value. ? New percent=100%+25%=125% So multiply the original salary by 125/100. ? New salary=40000?(125/100)=50000 Therefore the new salary is Rs. 50000. ? New salary=50000,,
PCT-CP-002:PCT-QL-003:PCT-003:en:41,PCT-CP-002,Easy,PCT-QL-003,Direct,Money,Final value,A salary of Rs. 30000 increased by 15%. Find the increase amount only.,4500 - 1,4500,-4500,4500 + 1,B,"Only the increased part is required here, so we need 15% of the original salary. ? Increase amount=15% of Rs. 30000 Now take 15% of Rs. 30000. ? Increase amount=30000?(15/100)=4500 Therefore the increase amount is Rs. 4500. ? Increase amount=4500",,
PCT-CP-003:PCT-QL-005:PCT-003:en:42,PCT-CP-003,Medium,PCT-QL-005,Before/After,Money,Original/Recovery value,"After a 10% increase, the salary became Rs. 55000. Find the original salary.",-50000,50000 + 1,50000 - 1,50000,D,"After a 10% rise, the new salary represents 110% of the original. ? 110%?Rs. 55000 So divide Rs. 55000 by 110 to find the value of 1%. ? 1%=(55000/110)=500 Now multiply the value of 1% by 100 to get the original salary. ? 100%=500?100=50000 Therefore the original salary was Rs. 50000. ? Original salary=50000",,
PCT-CP-004:PCT-QL-007:PCT-003:en:43,PCT-CP-004,Easy,PCT-QL-007,Direct,Money,Multiplier,Find the equivalent multiplier for a 25% increase in the salary.,-1.25,1.25,1.25 - 1,1.25 + 1,B,A 25% increase means the new value becomes 125% of the old value. ? New percent=100%+25%=125% Express that new percentage as a multiplier by dividing by 100. ? Multiplier=(125/100)=1.25 Therefore the equivalent multiplier is 1.25. ? Multiplier=1.25,,
PCT-CP-005:PCT-QL-009:PCT-003:en:44,PCT-CP-005,Medium,PCT-QL-009,Timeline,Money,Final value,A salary of Rs. 20000 first increased by 15% and then by 25%. Find the final salary.,-28750,28750 - 1,28750 + 1,28750,D,"After the first increase of 15%, the salary becomes 115% of its original value. ? After first increase=20000?(115/100)=23000 Now apply the second increase of 25% to this new value. ? Final value=23000?(125/100)=28750 Therefore the salary after both increases is Rs. 28750. ? Final salary=28750",,
PCT-CP-006:PCT-QL-011:PCT-003:en:45,PCT-CP-006,Medium,PCT-QL-011,Timeline,Money,Percentage change,A price increased first by 15% and then by 25%. Find the overall percentage increase.,43.75%,43.75% + 1,-43.75%,43.75% - 1,A,Convert the two increases into growth factors. ? Combined factor=(115/100)?(125/100) This combined factor tells us how many times the original value becomes after both increases. ? Combined factor=(115/100)?(125/100)=1.4375 So subtract 1 from the combined factor and convert the result into a percentage increase. ? Net increase=43.75% Therefore the overall percentage increase is 43.75%. ? Net increase=43.75%,,
PCT-CP-007:PCT-QL-013:PCT-003:en:46,PCT-CP-007,Hard,PCT-QL-013,Direct,Money,Comparison,salary A was Rs. 40000 and increased by 10%. salary B was Rs. 45000 and increased by 10%. Find the difference between their new values.,5500,5500 + 1,5500 - 1,-5500,A,First find the new value of salary A after its increase. ? New salary A=40000?(110/100)=44000 Now find the new value of salary B after its increase. ? New salary B=45000?(110/100)=49500 Finally compare these two new values. ? Difference=left|44000-49500right|=5500 Therefore the difference between the new values is Rs. 5500. ? Difference=5500,,
PCT-CP-008:PCT-QL-015:PCT-003:en:47,PCT-CP-008,Hard,PCT-QL-015,Observation,Education,Percentage change,"In a group of 400 students, 40% were boys and the rest were girls. If the number of boys increased by 10% and the number of girls increased by 10%, find the new percentage of boys.",40% + 1,-40%,40%,40% - 1,C,"At first, 40% of the students are boys, so split the original total into boys and girls. ? Initial boys=400?(40/100)=160, Initial girls=240 Now increase the number of boys and girls by their respective percentages. ? New boys=160?(110/100)=176, New girls=240?(110/100)=264 Use the new total to find the updated percentage of boys. ? New boys percent=(176/440)?100=40% Therefore the new percentage of boys is 40%. ? New boys percent=40%",,
PCT-CP-009:PCT-QL-017:PCT-003:en:48,PCT-CP-009,Easy,PCT-QL-017,Multi-statement,Money,Percentage change,The current salary is Rs. 48000 and it must become Rs. 60000. Find the required percentage increase.,25%,25% - 1,25% + 1,-25%,A,First find how much extra salary is needed to reach the target. ? Needed amount=60000-48000=12000 Now compare this extra amount with the current salary. ? Required increase=(12000/48000)?100=25% Therefore the required percentage increase is 25%. ? Required increase=25%,,
PCT-CP-010:PCT-QL-019:PCT-003:en:49,PCT-CP-010,Medium,PCT-QL-019,Before/After,Population,Count/Partition output,A population of 12000 grows by 15% every year. Find the population after 2 years.,-15870,15870 + 1,15870 - 1,15870,D,"Each increase of 15% multiplies the population by 115/100. ? One-period factor=(115/100) Since the same increase happens for 2 periods, use this factor 2 times. ? Overall factor=left((115/100)right)^{2} Now multiply the current population by the overall factor. ? Final population=12000?left((115/100)right)^{2}=15870 Therefore the population after 2 periods is 15870. ? Final population=15870",,
PCT-CP-001:PCT-QL-002:PCT-003:en:50,PCT-CP-001,Easy,PCT-QL-002,Narrative,Population,Count/Partition output,"The population increased by 25%. If the original population was 4000, find the new population.",5000 + 1,5000 - 1,-5000,5000,D,An increase of 25% makes the population equal to 125% of its original value. ? New percent=100%+25%=125% So multiply the original population by 125/100. ? New population=4000?(125/100)=5000 Therefore the new population is 5000. ? New population=5000,,
PCT-CP-002:PCT-QL-004:PCT-003:en:51,PCT-CP-002,Easy,PCT-QL-004,Direct,Production,Count/Partition output,The production was 1200 and it increased by 20%. Find the increase count only.,240 - 1,240,-240,240 + 1,B,"Only the increased part is required here, so we need 20% of the original production. ? Increase amount=20% of 1200 Now take 20% of 1200. ? Increase amount=1200?(20/100)=240 Therefore the increase amount is 240. ? Increase amount=240",,
PCT-CP-003:PCT-QL-006:PCT-003:en:52,PCT-CP-003,Medium,PCT-QL-006,Before/After,Population,Original/Recovery value,"After a 15% increase, the population became 9200. Find the original population.",-8000,8000 - 1,8000 + 1,8000,D,"After a 15% rise, the new population represents 115% of the original. ? 115%?9200 So divide 9200 by 115 to find the value of 1%. ? 1%=(9200/115)=80 Now multiply the value of 1% by 100 to get the original population. ? 100%=80?100=8000 Therefore the original population was 8000. ? Original population=8000",,
PCT-CP-004:PCT-QL-008:PCT-003:en:53,PCT-CP-004,Easy,PCT-QL-008,Direct,Population,Multiplier,A population increases by 12%. What multiplier represents this increase?,-1.12,1.12,1.12 - 1,1.12 + 1,B,A 12% increase means the new value becomes 112% of the old value. ? New percent=100%+12%=112% Express that new percentage as a multiplier by dividing by 100. ? Multiplier=(112/100)=1.12 Therefore the equivalent multiplier is 1.12. ? Multiplier=1.12,,
PCT-CP-005:PCT-QL-010:PCT-003:en:54,PCT-CP-005,Medium,PCT-QL-010,Timeline,Population,Count/Partition output,The population was 10000. It increased by 15% and then by 25%. Find the new population.,14375,14375 - 1,14375 + 1,-14375,A,"After the first increase of 15%, the population becomes 115% of its original value. ? After first increase=10000?(115/100)=11500 Now apply the second increase of 25% to this new value. ? Final value=11500?(125/100)=14375 Therefore the population after both increases is 14375. ? Final population=14375",,
PCT-CP-006:PCT-QL-012:PCT-003:en:55,PCT-CP-006,Medium,PCT-QL-012,Timeline,Population,Percentage change,The population increased by 20% and then again by 10%. Find the net percentage increase.,32% + 1,-32%,32%,32% - 1,C,Convert the two increases into growth factors. ? Combined factor=(120/100)?(110/100) This combined factor tells us how many times the original value becomes after both increases. ? Combined factor=(120/100)?(110/100)=1.32 So subtract 1 from the combined factor and convert the result into a percentage increase. ? Net increase=32% Therefore the overall percentage increase is 32%. ? Net increase=32%,,
PCT-CP-007:PCT-QL-014:PCT-003:en:56,PCT-CP-007,Hard,PCT-QL-014,Direct,Production,Comparison,production A was 600 and increased by 15%. production B was 900 and increased by 25%. Find the difference between their new values.,435 + 1,435 - 1,435,-435,C,First find the new value of production A after its increase. ? New production A=600?(115/100)=690 Now find the new value of production B after its increase. ? New production B=900?(125/100)=1125 Finally compare these two new values. ? Difference=left|690-1125right|=435 Therefore the difference between the new values is 435. ? Difference=435,,
