"questionId","qlId","stem","stemRealistic","stemSpecificity","variableOwnership","difficultyOwnership","difficultyClassification","explanationPolicies","explanationClassification","hintPresence","hintCount","misconceptionPresence","misconceptionCount","validationRules","validationRuleCount","contextType","arithmeticCharacteristics","educationalRichnessScore","migrationReadiness","migratableUnchanged","humanWorkRemaining"
"Q011","PCT-QL-217","If {rate1}% of a number is {value1}, find {rate2}% of that number.","true","GENERIC_APPROVED_ASSET","rates=5->75:TARGET_GREATER;unitValues=20|60|120","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=detailed;verification=PREFERRED;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","4","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","75","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q012","PCT-QL-217","If {rate1}% of a number is {value1}, find {rate2}% of that number.","true","GENERIC_APPROVED_ASSET","rates=37.5->12.5:TARGET_SMALLER;unitValues=2.5|7.5|17.5","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=detailed;verification=PREFERRED;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","3","Minimal","3","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","TERMINATING_DECIMAL_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","75","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q013","PCT-QL-317","If the following conditions hold: If {rate1}% of a number is {value1}, find {rate2}% of that number.","false","GENERIC_APPROVED_ASSET","rates=25->75:TARGET_GREATER;unitValues=2|8|20","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=short;verification=HIDDEN;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","3","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","69","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q014","PCT-QL-317","If the following conditions hold: If {rate1}% of a number is {value1}, find {rate2}% of that number.","false","GENERIC_APPROVED_ASSET","rates=50->10:TARGET_SMALLER;unitValues=7|14|28","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=standard;verification=OPTIONAL;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","3","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","69","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q015","PCT-QL-317","If the following conditions hold: If {rate1}% of a number is {value1}, find {rate2}% of that number.","false","GENERIC_APPROVED_ASSET","rates=15->90:TARGET_GREATER;unitValues=40|100|200","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=detailed;verification=PREFERRED;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","4","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","71","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q016","PCT-QL-317","If the following conditions hold: If {rate1}% of a number is {value1}, find {rate2}% of that number.","false","GENERIC_APPROVED_ASSET","rates=82.5->27.5:TARGET_SMALLER;unitValues=1.25|3.75|6.25","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=detailed;verification=PREFERRED;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","3","Minimal","3","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","TERMINATING_DECIMAL_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","71","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q017","PCT-QL-417","Based on given parameters, If {rate1}% of a number is {value1}, find {rate2}% of that number.","false","GENERIC_APPROVED_ASSET","rates=20->60:TARGET_GREATER;unitValues=5|15|25","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=short;verification=HIDDEN;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","3","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","69","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q018","PCT-QL-417","Based on given parameters, If {rate1}% of a number is {value1}, find {rate2}% of that number.","false","GENERIC_APPROVED_ASSET","rates=75->30:TARGET_SMALLER;unitValues=4|12|32","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=standard;verification=OPTIONAL;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","4","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","71","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q019","PCT-QL-417","Based on given parameters, If {rate1}% of a number is {value1}, find {rate2}% of that number.","false","GENERIC_APPROVED_ASSET","rates=8->64:TARGET_GREATER;unitValues=75|125|250","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=detailed;verification=PREFERRED;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","4","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","71","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q020","PCT-QL-417","Based on given parameters, If {rate1}% of a number is {value1}, find {rate2}% of that number.","false","GENERIC_APPROVED_ASSET","rates=22.5->67.5:TARGET_GREATER;unitValues=2.5|8.5|18.5","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=detailed;verification=PREFERRED;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","3","Minimal","3","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","TERMINATING_DECIMAL_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","71","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
