Question ID,Package ID,Question text,Explanation text,Hints,Misconceptions,Approval status,Reviewer notes,Review score
"PILOT-Q002-000","Q002","In a library, 40% of the total books are on Mathematics. If the library has 240 Mathematics books, find the number of English books if they constitute 25% of the total books.","The Mathematics books represent 40% of the total books in the library:
$$40\% \text{ of Books} = 240 \text{ books}$$

To find the number of books representing 1% of the total, we divide the Mathematics books by 40:
$$1\% \text{ of Books} = \frac{{value1}}{{rate1}} = 6 \text{ books}$$

Since English books account for 25% of the total books, we multiply the 1% value by 25:
$$25\% \text{ of Books} = 6 \text{ books} \times 25 = 150 \text{ books}$$

Thus, the library contains 150 English books:
$$\text{English Books} = 150$$","- Hint 1: Identify that 40% of the total books in the library equals 240 Mathematics books.
- Hint 2: Find the number of books representing 1% of the collection by dividing 240 by 40.
- Hint 3: Multiply the 1% collection value by 25 to find the total number of English books.","- Misconception 1: Dividing the 240 Mathematics books by 100 directly instead of dividing by the percentage 40.
- Misconception 2: Multiplying the 240 books by 40%, which treats the given percentage as a direct fraction of the known books.
- Misconception 3: Answering with a bare number instead of specifying ""150 books"", ignoring the physical context.
- Misconception 4: Assuming the total collection size is the final answer instead of scaling to the English books.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q002-001","Q002","In a library, 40% of the total books are on Mathematics. If the library has 240 Mathematics books, find the number of English books if they constitute 25% of the total books.","The Mathematics books represent 40% of the total books in the library:
$$40\% \text{ of Books} = 240 \text{ books}$$

To find the number of books representing 1% of the total, we divide the Mathematics books by 40:
$$1\% \text{ of Books} = \frac{{value1}}{{rate1}} = 6 \text{ books}$$

Since English books account for 25% of the total books, we multiply the 1% value by 25:
$$25\% \text{ of Books} = 6 \text{ books} \times 25 = 150 \text{ books}$$

Thus, the library contains 150 English books:
$$\text{English Books} = 150$$","- Hint 1: Identify that 40% of the total books in the library equals 240 Mathematics books.
- Hint 2: Find the number of books representing 1% of the collection by dividing 240 by 40.
- Hint 3: Multiply the 1% collection value by 25 to find the total number of English books.","- Misconception 1: Dividing the 240 Mathematics books by 100 directly instead of dividing by the percentage 40.
- Misconception 2: Multiplying the 240 books by 40%, which treats the given percentage as a direct fraction of the known books.
- Misconception 3: Answering with a bare number instead of specifying ""150 books"", ignoring the physical context.
- Misconception 4: Assuming the total collection size is the final answer instead of scaling to the English books.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q002-002","Q002","In a library, 40% of the total books are on Mathematics. If the library has 960 Mathematics books, find the number of English books if they constitute 25% of the total books.","The Mathematics books represent 40% of the total books in the library:
$$40\% \text{ of Books} = 960 \text{ books}$$

To find the number of books representing 1% of the total, we divide the Mathematics books by 40:
$$1\% \text{ of Books} = \frac{{value1}}{{rate1}} = 24 \text{ books}$$

Since English books account for 25% of the total books, we multiply the 1% value by 25:
$$25\% \text{ of Books} = 24 \text{ books} \times 25 = 600 \text{ books}$$

Thus, the library contains 600 English books:
$$\text{English Books} = 600$$","- Hint 1: Identify that 40% of the total books in the library equals 960 Mathematics books.
- Hint 2: Find the number of books representing 1% of the collection by dividing 960 by 40.
- Hint 3: Multiply the 1% collection value by 25 to find the total number of English books.","- Misconception 1: Dividing the 960 Mathematics books by 100 directly instead of dividing by the percentage 40.
- Misconception 2: Multiplying the 960 books by 40%, which treats the given percentage as a direct fraction of the known books.
- Misconception 3: Answering with a bare number instead of specifying ""600 books"", ignoring the physical context.
- Misconception 4: Assuming the total collection size is the final answer instead of scaling to the English books.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q002-003","Q002","In a library, 40% of the total books are on Mathematics. If the library has 960 Mathematics books, find the number of English books if they constitute 25% of the total books.","The Mathematics books represent 40% of the total books in the library:
$$40\% \text{ of Books} = 960 \text{ books}$$

To find the number of books representing 1% of the total, we divide the Mathematics books by 40:
$$1\% \text{ of Books} = \frac{{value1}}{{rate1}} = 24 \text{ books}$$

Since English books account for 25% of the total books, we multiply the 1% value by 25:
$$25\% \text{ of Books} = 24 \text{ books} \times 25 = 600 \text{ books}$$

Thus, the library contains 600 English books:
$$\text{English Books} = 600$$","- Hint 1: Identify that 40% of the total books in the library equals 960 Mathematics books.
- Hint 2: Find the number of books representing 1% of the collection by dividing 960 by 40.
- Hint 3: Multiply the 1% collection value by 25 to find the total number of English books.","- Misconception 1: Dividing the 960 Mathematics books by 100 directly instead of dividing by the percentage 40.
- Misconception 2: Multiplying the 960 books by 40%, which treats the given percentage as a direct fraction of the known books.
- Misconception 3: Answering with a bare number instead of specifying ""600 books"", ignoring the physical context.
- Misconception 4: Assuming the total collection size is the final answer instead of scaling to the English books.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q002-004","Q002","In a library, 40% of the total books are on Mathematics. If the library has 240 Mathematics books, find the number of English books if they constitute 25% of the total books.","The Mathematics books represent 40% of the total books in the library:
$$40\% \text{ of Books} = 240 \text{ books}$$

To find the number of books representing 1% of the total, we divide the Mathematics books by 40:
$$1\% \text{ of Books} = \frac{{value1}}{{rate1}} = 6 \text{ books}$$

Since English books account for 25% of the total books, we multiply the 1% value by 25:
$$25\% \text{ of Books} = 6 \text{ books} \times 25 = 150 \text{ books}$$

Thus, the library contains 150 English books:
$$\text{English Books} = 150$$","- Hint 1: Identify that 40% of the total books in the library equals 240 Mathematics books.
- Hint 2: Find the number of books representing 1% of the collection by dividing 240 by 40.
- Hint 3: Multiply the 1% collection value by 25 to find the total number of English books.","- Misconception 1: Dividing the 240 Mathematics books by 100 directly instead of dividing by the percentage 40.
- Misconception 2: Multiplying the 240 books by 40%, which treats the given percentage as a direct fraction of the known books.
- Misconception 3: Answering with a bare number instead of specifying ""150 books"", ignoring the physical context.
- Misconception 4: Assuming the total collection size is the final answer instead of scaling to the English books.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q002-005","Q002","In a library, 40% of the total books are on Mathematics. If the library has 960 Mathematics books, find the number of English books if they constitute 25% of the total books.","The Mathematics books represent 40% of the total books in the library:
$$40\% \text{ of Books} = 960 \text{ books}$$

To find the number of books representing 1% of the total, we divide the Mathematics books by 40:
$$1\% \text{ of Books} = \frac{{value1}}{{rate1}} = 24 \text{ books}$$

Since English books account for 25% of the total books, we multiply the 1% value by 25:
$$25\% \text{ of Books} = 24 \text{ books} \times 25 = 600 \text{ books}$$

Thus, the library contains 600 English books:
$$\text{English Books} = 600$$","- Hint 1: Identify that 40% of the total books in the library equals 960 Mathematics books.
- Hint 2: Find the number of books representing 1% of the collection by dividing 960 by 40.
- Hint 3: Multiply the 1% collection value by 25 to find the total number of English books.","- Misconception 1: Dividing the 960 Mathematics books by 100 directly instead of dividing by the percentage 40.
- Misconception 2: Multiplying the 960 books by 40%, which treats the given percentage as a direct fraction of the known books.
- Misconception 3: Answering with a bare number instead of specifying ""600 books"", ignoring the physical context.
- Misconception 4: Assuming the total collection size is the final answer instead of scaling to the English books.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q002-006","Q002","In a library, 40% of the total books are on Mathematics. If the library has 960 Mathematics books, find the number of English books if they constitute 25% of the total books.","The Mathematics books represent 40% of the total books in the library:
$$40\% \text{ of Books} = 960 \text{ books}$$

To find the number of books representing 1% of the total, we divide the Mathematics books by 40:
$$1\% \text{ of Books} = \frac{{value1}}{{rate1}} = 24 \text{ books}$$

Since English books account for 25% of the total books, we multiply the 1% value by 25:
$$25\% \text{ of Books} = 24 \text{ books} \times 25 = 600 \text{ books}$$

Thus, the library contains 600 English books:
$$\text{English Books} = 600$$","- Hint 1: Identify that 40% of the total books in the library equals 960 Mathematics books.
- Hint 2: Find the number of books representing 1% of the collection by dividing 960 by 40.
- Hint 3: Multiply the 1% collection value by 25 to find the total number of English books.","- Misconception 1: Dividing the 960 Mathematics books by 100 directly instead of dividing by the percentage 40.
- Misconception 2: Multiplying the 960 books by 40%, which treats the given percentage as a direct fraction of the known books.
- Misconception 3: Answering with a bare number instead of specifying ""600 books"", ignoring the physical context.
- Misconception 4: Assuming the total collection size is the final answer instead of scaling to the English books.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q002-007","Q002","In a library, 40% of the total books are on Mathematics. If the library has 240 Mathematics books, find the number of English books if they constitute 25% of the total books.","The Mathematics books represent 40% of the total books in the library:
$$40\% \text{ of Books} = 240 \text{ books}$$

To find the number of books representing 1% of the total, we divide the Mathematics books by 40:
$$1\% \text{ of Books} = \frac{{value1}}{{rate1}} = 6 \text{ books}$$

Since English books account for 25% of the total books, we multiply the 1% value by 25:
$$25\% \text{ of Books} = 6 \text{ books} \times 25 = 150 \text{ books}$$

Thus, the library contains 150 English books:
$$\text{English Books} = 150$$","- Hint 1: Identify that 40% of the total books in the library equals 240 Mathematics books.
- Hint 2: Find the number of books representing 1% of the collection by dividing 240 by 40.
- Hint 3: Multiply the 1% collection value by 25 to find the total number of English books.","- Misconception 1: Dividing the 240 Mathematics books by 100 directly instead of dividing by the percentage 40.
- Misconception 2: Multiplying the 240 books by 40%, which treats the given percentage as a direct fraction of the known books.
- Misconception 3: Answering with a bare number instead of specifying ""150 books"", ignoring the physical context.
- Misconception 4: Assuming the total collection size is the final answer instead of scaling to the English books.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q002-008","Q002","In a library, 40% of the total books are on Mathematics. If the library has 960 Mathematics books, find the number of English books if they constitute 25% of the total books.","The Mathematics books represent 40% of the total books in the library:
$$40\% \text{ of Books} = 960 \text{ books}$$

To find the number of books representing 1% of the total, we divide the Mathematics books by 40:
$$1\% \text{ of Books} = \frac{{value1}}{{rate1}} = 24 \text{ books}$$

Since English books account for 25% of the total books, we multiply the 1% value by 25:
$$25\% \text{ of Books} = 24 \text{ books} \times 25 = 600 \text{ books}$$

Thus, the library contains 600 English books:
$$\text{English Books} = 600$$","- Hint 1: Identify that 40% of the total books in the library equals 960 Mathematics books.
- Hint 2: Find the number of books representing 1% of the collection by dividing 960 by 40.
- Hint 3: Multiply the 1% collection value by 25 to find the total number of English books.","- Misconception 1: Dividing the 960 Mathematics books by 100 directly instead of dividing by the percentage 40.
- Misconception 2: Multiplying the 960 books by 40%, which treats the given percentage as a direct fraction of the known books.
- Misconception 3: Answering with a bare number instead of specifying ""600 books"", ignoring the physical context.
- Misconception 4: Assuming the total collection size is the final answer instead of scaling to the English books.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q002-009","Q002","In a library, 40% of the total books are on Mathematics. If the library has 960 Mathematics books, find the number of English books if they constitute 25% of the total books.","The Mathematics books represent 40% of the total books in the library:
$$40\% \text{ of Books} = 960 \text{ books}$$

To find the number of books representing 1% of the total, we divide the Mathematics books by 40:
$$1\% \text{ of Books} = \frac{{value1}}{{rate1}} = 24 \text{ books}$$

Since English books account for 25% of the total books, we multiply the 1% value by 25:
$$25\% \text{ of Books} = 24 \text{ books} \times 25 = 600 \text{ books}$$

Thus, the library contains 600 English books:
$$\text{English Books} = 600$$","- Hint 1: Identify that 40% of the total books in the library equals 960 Mathematics books.
- Hint 2: Find the number of books representing 1% of the collection by dividing 960 by 40.
- Hint 3: Multiply the 1% collection value by 25 to find the total number of English books.","- Misconception 1: Dividing the 960 Mathematics books by 100 directly instead of dividing by the percentage 40.
- Misconception 2: Multiplying the 960 books by 40%, which treats the given percentage as a direct fraction of the known books.
- Misconception 3: Answering with a bare number instead of specifying ""600 books"", ignoring the physical context.
- Misconception 4: Assuming the total collection size is the final answer instead of scaling to the English books.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q003-000","Q003","A candidate has to secure 60% marks to pass an examination. If he secures 15% marks and gets 600 marks, find the passing marks.","The candidate secured 15% of the maximum marks, which equals 600 marks:
$$15\% \text{ of Max Marks} = 600 \text{ marks}$$

To find the marks corresponding to 1% of the maximum marks, we divide the secured marks by 15:
$$1\% \text{ of Max Marks} = \frac{{value1}}{{rate1}} = 40 \text{ marks}$$

Since passing requires securing 60% of the maximum marks, we multiply the 1% marks value by 60:
$$60\% \text{ of Max Marks} = 40 \text{ marks} \times 60 = 2400 \text{ marks}$$

Thus, the passing marks for the examination are 2400:
$$\text{Passing Marks} = 2400$$","- Hint 1: Identify that the 600 marks secured by the candidate represent 15% of the maximum marks.
- Hint 2: Find the marks representing 1% of the maximum marks by dividing 600 by 15.
- Hint 3: Multiply the 1% marks value by 60 to calculate the pass marks.","- Misconception 1: Dividing 600 marks by 100 directly to find 1%, assuming 100 is always the divisor.
- Misconception 2: Multiplying 600 marks by 15% to find the passing marks directly.
- Misconception 3: Treating the percentage rate as the actual marks and answering with a bare number.
- Misconception 4: Forgetting to state the unit ""marks"" and providing a bare number like 2400.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
