Question ID,Package ID,QL ID,CP ID,Context,Difficulty characteristics,Stem source,Explanation source,Hint source,Misconception source,Provenance status
"PILOT-Q002-000","Q002","PCT-QL-017","PCT-CP-002","books","Easy: integer rate & unit value scale < 5","question-definitions/Q002/stem.md","question-definitions/Q002/{relationship,unit-value,scaling,answer}.md","question-definitions/Q002/hints.md","question-definitions/Q002/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q002-001","Q002","PCT-QL-017","PCT-CP-002","books","Easy: integer rate & unit value scale < 5","question-definitions/Q002/stem.md","question-definitions/Q002/{relationship,unit-value,scaling,answer}.md","question-definitions/Q002/hints.md","question-definitions/Q002/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q002-002","Q002","PCT-QL-017","PCT-CP-002","books","Easy: integer rate & unit value scale < 5","question-definitions/Q002/stem.md","question-definitions/Q002/{relationship,unit-value,scaling,answer}.md","question-definitions/Q002/hints.md","question-definitions/Q002/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q002-003","Q002","PCT-QL-017","PCT-CP-002","books","Easy: integer rate & unit value scale < 5","question-definitions/Q002/stem.md","question-definitions/Q002/{relationship,unit-value,scaling,answer}.md","question-definitions/Q002/hints.md","question-definitions/Q002/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q002-004","Q002","PCT-QL-017","PCT-CP-002","books","Easy: integer rate & unit value scale < 5","question-definitions/Q002/stem.md","question-definitions/Q002/{relationship,unit-value,scaling,answer}.md","question-definitions/Q002/hints.md","question-definitions/Q002/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q002-005","Q002","PCT-QL-017","PCT-CP-002","books","Easy: integer rate & unit value scale < 5","question-definitions/Q002/stem.md","question-definitions/Q002/{relationship,unit-value,scaling,answer}.md","question-definitions/Q002/hints.md","question-definitions/Q002/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q002-006","Q002","PCT-QL-017","PCT-CP-002","books","Easy: integer rate & unit value scale < 5","question-definitions/Q002/stem.md","question-definitions/Q002/{relationship,unit-value,scaling,answer}.md","question-definitions/Q002/hints.md","question-definitions/Q002/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q002-007","Q002","PCT-QL-017","PCT-CP-002","books","Easy: integer rate & unit value scale < 5","question-definitions/Q002/stem.md","question-definitions/Q002/{relationship,unit-value,scaling,answer}.md","question-definitions/Q002/hints.md","question-definitions/Q002/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q002-008","Q002","PCT-QL-017","PCT-CP-002","books","Easy: integer rate & unit value scale < 5","question-definitions/Q002/stem.md","question-definitions/Q002/{relationship,unit-value,scaling,answer}.md","question-definitions/Q002/hints.md","question-definitions/Q002/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q002-009","Q002","PCT-QL-017","PCT-CP-002","books","Easy: integer rate & unit value scale < 5","question-definitions/Q002/stem.md","question-definitions/Q002/{relationship,unit-value,scaling,answer}.md","question-definitions/Q002/hints.md","question-definitions/Q002/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q003-000","Q003","PCT-QL-017","PCT-CP-002","marks","Easy: integer rate & unit value scale < 5","question-definitions/Q003/stem.md","question-definitions/Q003/{relationship,unit-value,scaling,answer}.md","question-definitions/Q003/hints.md","question-definitions/Q003/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q003-001","Q003","PCT-QL-017","PCT-CP-002","marks","Easy: integer rate & unit value scale < 5","question-definitions/Q003/stem.md","question-definitions/Q003/{relationship,unit-value,scaling,answer}.md","question-definitions/Q003/hints.md","question-definitions/Q003/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q003-002","Q003","PCT-QL-017","PCT-CP-002","marks","Easy: integer rate & unit value scale < 5","question-definitions/Q003/stem.md","question-definitions/Q003/{relationship,unit-value,scaling,answer}.md","question-definitions/Q003/hints.md","question-definitions/Q003/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q003-003","Q003","PCT-QL-017","PCT-CP-002","marks","Easy: integer rate & unit value scale < 5","question-definitions/Q003/stem.md","question-definitions/Q003/{relationship,unit-value,scaling,answer}.md","question-definitions/Q003/hints.md","question-definitions/Q003/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q003-004","Q003","PCT-QL-017","PCT-CP-002","marks","Easy: integer rate & unit value scale < 5","question-definitions/Q003/stem.md","question-definitions/Q003/{relationship,unit-value,scaling,answer}.md","question-definitions/Q003/hints.md","question-definitions/Q003/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q003-005","Q003","PCT-QL-017","PCT-CP-002","marks","Easy: integer rate & unit value scale < 5","question-definitions/Q003/stem.md","question-definitions/Q003/{relationship,unit-value,scaling,answer}.md","question-definitions/Q003/hints.md","question-definitions/Q003/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q003-006","Q003","PCT-QL-017","PCT-CP-002","marks","Easy: integer rate & unit value scale < 5","question-definitions/Q003/stem.md","question-definitions/Q003/{relationship,unit-value,scaling,answer}.md","question-definitions/Q003/hints.md","question-definitions/Q003/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q003-007","Q003","PCT-QL-017","PCT-CP-002","marks","Easy: integer rate & unit value scale < 5","question-definitions/Q003/stem.md","question-definitions/Q003/{relationship,unit-value,scaling,answer}.md","question-definitions/Q003/hints.md","question-definitions/Q003/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q003-008","Q003","PCT-QL-017","PCT-CP-002","marks","Easy: integer rate & unit value scale < 5","question-definitions/Q003/stem.md","question-definitions/Q003/{relationship,unit-value,scaling,answer}.md","question-definitions/Q003/hints.md","question-definitions/Q003/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q003-009","Q003","PCT-QL-017","PCT-CP-002","marks","Easy: integer rate & unit value scale < 5","question-definitions/Q003/stem.md","question-definitions/Q003/{relationship,unit-value,scaling,answer}.md","question-definitions/Q003/hints.md","question-definitions/Q003/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q004-000","Q004","PCT-QL-017","PCT-CP-002","workers","Hard: decimal rate/unit value","question-definitions/Q004/stem.md","question-definitions/Q004/{relationship,unit-value,scaling,answer}.md","question-definitions/Q004/hints.md","question-definitions/Q004/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q004-001","Q004","PCT-QL-017","PCT-CP-002","workers","Hard: decimal rate/unit value","question-definitions/Q004/stem.md","question-definitions/Q004/{relationship,unit-value,scaling,answer}.md","question-definitions/Q004/hints.md","question-definitions/Q004/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q004-002","Q004","PCT-QL-017","PCT-CP-002","workers","Hard: decimal rate/unit value","question-definitions/Q004/stem.md","question-definitions/Q004/{relationship,unit-value,scaling,answer}.md","question-definitions/Q004/hints.md","question-definitions/Q004/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q004-003","Q004","PCT-QL-017","PCT-CP-002","workers","Hard: decimal rate/unit value","question-definitions/Q004/stem.md","question-definitions/Q004/{relationship,unit-value,scaling,answer}.md","question-definitions/Q004/hints.md","question-definitions/Q004/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q004-004","Q004","PCT-QL-017","PCT-CP-002","workers","Hard: decimal rate/unit value","question-definitions/Q004/stem.md","question-definitions/Q004/{relationship,unit-value,scaling,answer}.md","question-definitions/Q004/hints.md","question-definitions/Q004/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q004-005","Q004","PCT-QL-017","PCT-CP-002","workers","Hard: decimal rate/unit value","question-definitions/Q004/stem.md","question-definitions/Q004/{relationship,unit-value,scaling,answer}.md","question-definitions/Q004/hints.md","question-definitions/Q004/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q004-006","Q004","PCT-QL-017","PCT-CP-002","workers","Hard: decimal rate/unit value","question-definitions/Q004/stem.md","question-definitions/Q004/{relationship,unit-value,scaling,answer}.md","question-definitions/Q004/hints.md","question-definitions/Q004/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q004-007","Q004","PCT-QL-017","PCT-CP-002","workers","Hard: decimal rate/unit value","question-definitions/Q004/stem.md","question-definitions/Q004/{relationship,unit-value,scaling,answer}.md","question-definitions/Q004/hints.md","question-definitions/Q004/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q004-008","Q004","PCT-QL-017","PCT-CP-002","workers","Hard: decimal rate/unit value","question-definitions/Q004/stem.md","question-definitions/Q004/{relationship,unit-value,scaling,answer}.md","question-definitions/Q004/hints.md","question-definitions/Q004/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q004-009","Q004","PCT-QL-017","PCT-CP-002","workers","Hard: decimal rate/unit value","question-definitions/Q004/stem.md","question-definitions/Q004/{relationship,unit-value,scaling,answer}.md","question-definitions/Q004/hints.md","question-definitions/Q004/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q005-000","Q005","PCT-QL-117","PCT-CP-002","profit","Easy: integer rate & unit value scale < 5","question-definitions/Q005/stem.md","question-definitions/Q005/{relationship,unit-value,scaling,answer}.md","question-definitions/Q005/hints.md","question-definitions/Q005/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q005-001","Q005","PCT-QL-117","PCT-CP-002","profit","Easy: integer rate & unit value scale < 5","question-definitions/Q005/stem.md","question-definitions/Q005/{relationship,unit-value,scaling,answer}.md","question-definitions/Q005/hints.md","question-definitions/Q005/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q005-002","Q005","PCT-QL-117","PCT-CP-002","profit","Easy: integer rate & unit value scale < 5","question-definitions/Q005/stem.md","question-definitions/Q005/{relationship,unit-value,scaling,answer}.md","question-definitions/Q005/hints.md","question-definitions/Q005/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q005-003","Q005","PCT-QL-117","PCT-CP-002","profit","Easy: integer rate & unit value scale < 5","question-definitions/Q005/stem.md","question-definitions/Q005/{relationship,unit-value,scaling,answer}.md","question-definitions/Q005/hints.md","question-definitions/Q005/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q005-004","Q005","PCT-QL-117","PCT-CP-002","profit","Easy: integer rate & unit value scale < 5","question-definitions/Q005/stem.md","question-definitions/Q005/{relationship,unit-value,scaling,answer}.md","question-definitions/Q005/hints.md","question-definitions/Q005/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q005-005","Q005","PCT-QL-117","PCT-CP-002","profit","Easy: integer rate & unit value scale < 5","question-definitions/Q005/stem.md","question-definitions/Q005/{relationship,unit-value,scaling,answer}.md","question-definitions/Q005/hints.md","question-definitions/Q005/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q005-006","Q005","PCT-QL-117","PCT-CP-002","profit","Easy: integer rate & unit value scale < 5","question-definitions/Q005/stem.md","question-definitions/Q005/{relationship,unit-value,scaling,answer}.md","question-definitions/Q005/hints.md","question-definitions/Q005/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q005-007","Q005","PCT-QL-117","PCT-CP-002","profit","Easy: integer rate & unit value scale < 5","question-definitions/Q005/stem.md","question-definitions/Q005/{relationship,unit-value,scaling,answer}.md","question-definitions/Q005/hints.md","question-definitions/Q005/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q005-008","Q005","PCT-QL-117","PCT-CP-002","profit","Easy: integer rate & unit value scale < 5","question-definitions/Q005/stem.md","question-definitions/Q005/{relationship,unit-value,scaling,answer}.md","question-definitions/Q005/hints.md","question-definitions/Q005/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q005-009","Q005","PCT-QL-117","PCT-CP-002","profit","Easy: integer rate & unit value scale < 5","question-definitions/Q005/stem.md","question-definitions/Q005/{relationship,unit-value,scaling,answer}.md","question-definitions/Q005/hints.md","question-definitions/Q005/misconceptions.md","HUMAN_OWNED_APPROVED"
