"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Divisor","Remainder","Quotient","Dividend","Lower Bound","Upper Bound"
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:27","CP-006","Easy","Missing Component","QL-018","ES-003","Find the divisor if dividend = 115, quotient = 28, and remainder = 3.","4","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

4","4","3","28","115","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:28","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 6083

Quotient = 184

Remainder = 11","33","Rearrange the division formula and simplify.

Answer:

33","33","11","184","6083","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:29","CP-006","Easy","Missing Component","QL-019","ES-003","A dividend 661 gives quotient 50 and remainder 11. Determine the divisor.","13","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

13","13","11","50","661","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:30","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 10223 gives quotient 283 and remainder 35. Determine the divisor.","36","Rearrange the division formula and simplify.

Answer:

36","36","35","283","10223","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:31","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 30, quotient = 15, and remainder = 0.","2","Rearrange the division formula and simplify.

Answer:

2","2","0","15","30","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:32","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 7045 gives quotient 440 and remainder 5. Determine the divisor.","16","Rearrange the division formula and simplify.

Answer:

16","16","5","440","7045","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:33","CP-006","Easy","Missing Component","QL-018","ES-003","Find the divisor if dividend = 349, quotient = 49, and remainder = 6.","7","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

7","7","6","49","349","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:34","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 3441 gives quotient 344 and remainder 1. Determine the divisor.","10","Rearrange the division formula and simplify.

Answer:

10","10","1","344","3441","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:35","CP-006","Hard","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 169784

Quotient = 1806

Remainder = 20","94","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

94","94","20","1806","169784","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:36","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 3153, quotient = 315, and remainder = 3.","10","Rearrange the division formula and simplify.

Answer:

10","10","3","315","3153","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:37","CP-006","Hard","Missing Component","QL-019","ES-003","A dividend 104475 gives quotient 4542 and remainder 9. Determine the divisor.","23","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

23","23","9","4542","104475","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:38","CP-006","Hard","Missing Component","QL-018","ES-003","Find the divisor if dividend = 3789, quotient = 1894, and remainder = 1.","2","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

2","2","1","1894","3789","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:39","CP-006","Hard","Missing Component","QL-019","ES-003","A dividend 186422 gives quotient 2782 and remainder 28. Determine the divisor.","67","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

67","67","28","2782","186422","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:40","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 76, quotient = 5, and remainder = 1.","15","Rearrange the division formula and simplify.

Answer:

15","15","1","5","76","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:41","CP-006","Easy","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 35

Quotient = 2

Remainder = 3","16","Rearrange the division formula and simplify.

Answer:

16","16","3","2","35","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:42","CP-006","Easy","Missing Component","QL-019","ES-003","A dividend 117 gives quotient 23 and remainder 2. Determine the divisor.","5","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

5","5","2","23","117","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:43","CP-006","Easy","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 41

Quotient = 10

Remainder = 1","4","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

4","4","1","10","41","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:44","CP-006","Hard","Missing Component","QL-019","ES-004","A dividend 44140 gives quotient 4012 and remainder 8. Determine the divisor.","11","Rearrange the division formula and simplify.

Answer:

11","11","8","4012","44140","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:45","CP-006","Easy","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 115

Quotient = 8

Remainder = 11","13","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

13","13","11","8","115","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:46","CP-006","Hard","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 264587

Quotient = 3624

Remainder = 35","73","Rearrange the division formula and simplify.

Answer:

73","73","35","3624","264587","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:47","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 289, quotient = 20, and remainder = 9.","14","Rearrange the division formula and simplify.

Answer:

14","14","9","20","289","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:48","CP-006","Medium","Missing Component","QL-019","ES-003","A dividend 586 gives quotient 83 and remainder 5. Determine the divisor.","7","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

7","7","5","83","586","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:49","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 7453

Quotient = 248

Remainder = 13","30","Rearrange the division formula and simplify.

Answer:

30","30","13","248","7453","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:50","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 663

Quotient = 221

Remainder = 0","3","Rearrange the division formula and simplify.

Answer:

3","3","0","221","663","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:51","CP-006","Hard","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 4396

Quotient = 2198

Remainder = 0","2","Rearrange the division formula and simplify.

Answer:

2","2","0","2198","4396","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:52","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 35, quotient = 2, and remainder = 11.","12","Rearrange the division formula and simplify.

Answer:

12","12","11","2","35","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:53","CP-006","Hard","Missing Component","QL-018","ES-004","Find the divisor if dividend = 269196, quotient = 4206, and remainder = 12.","64","Rearrange the division formula and simplify.

Answer:

64","64","12","4206","269196","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:54","CP-006","Hard","Missing Component","QL-019","ES-004","A dividend 200065 gives quotient 2986 and remainder 3. Determine the divisor.","67","Rearrange the division formula and simplify.

Answer:

67","67","3","2986","200065","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:55","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 4266

Quotient = 106

Remainder = 26","40","Rearrange the division formula and simplify.

Answer:

40","40","26","106","4266","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:56","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 135 gives quotient 13 and remainder 5. Determine the divisor.","10","Rearrange the division formula and simplify.

Answer:

10","10","5","13","135","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:57","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 218 gives quotient 11 and remainder 9. Determine the divisor.","19","Rearrange the division formula and simplify.

Answer:

19","19","9","11","218","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:58","CP-006","Easy","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 577

Quotient = 48

Remainder = 1","12","Rearrange the division formula and simplify.

Answer:

12","12","1","48","577","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:59","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 17681, quotient = 431, and remainder = 10.","41","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

41","41","10","431","17681","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:60","CP-006","Easy","Missing Component","QL-019","ES-003","A dividend 110 gives quotient 9 and remainder 2. Determine the divisor.","12","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

12","12","2","9","110","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:61","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 43 gives quotient 6 and remainder 1. Determine the divisor.","7","Rearrange the division formula and simplify.

Answer:

7","7","1","6","43","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:62","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 3849, quotient = 81, and remainder = 42.","47","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

47","47","42","81","3849","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:63","CP-006","Hard","Missing Component","QL-019","ES-004","A dividend 90993 gives quotient 2394 and remainder 21. Determine the divisor.","38","Rearrange the division formula and simplify.

Answer:

38","38","21","2394","90993","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:64","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 52, quotient = 3, and remainder = 1.","17","Rearrange the division formula and simplify.

Answer:

17","17","1","3","52","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:65","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 92 gives quotient 30 and remainder 2. Determine the divisor.","3","Rearrange the division formula and simplify.

Answer:

3","3","2","30","92","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:66","CP-006","Hard","Missing Component","QL-018","ES-004","Find the divisor if dividend = 6066, quotient = 3033, and remainder = 0.","2","Rearrange the division formula and simplify.

Answer:

2","2","0","3033","6066","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:67","CP-006","Hard","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 108747

Quotient = 1394

Remainder = 15","78","Rearrange the division formula and simplify.

Answer:

78","78","15","1394","108747","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:68","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 17070, quotient = 379, and remainder = 15.","45","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

45","45","15","379","17070","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:69","CP-006","Medium","Missing Component","QL-019","ES-003","A dividend 1493 gives quotient 248 and remainder 5. Determine the divisor.","6","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

6","6","5","248","1493","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:70","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 551, quotient = 34, and remainder = 7.","16","Rearrange the division formula and simplify.

Answer:

16","16","7","34","551","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:71","CP-006","Easy","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 540

Quotient = 45

Remainder = 0","12","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

12","12","0","45","540","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:72","CP-006","Medium","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 11683

Quotient = 376

Remainder = 27","31","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

31","31","27","376","11683","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:73","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 768 gives quotient 128 and remainder 0. Determine the divisor.","6","Rearrange the division formula and simplify.

Answer:

6","6","0","128","768","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:74","CP-006","Hard","Missing Component","QL-019","ES-004","A dividend 51469 gives quotient 1715 and remainder 19. Determine the divisor.","30","Rearrange the division formula and simplify.

Answer:

30","30","19","1715","51469","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:75","CP-006","Easy","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 504

Quotient = 33

Remainder = 9","15","Rearrange the division formula and simplify.

Answer:

15","15","9","33","504","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:76","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 389

Quotient = 24

Remainder = 5","16","Rearrange the division formula and simplify.

Answer:

16","16","5","24","389","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:77","CP-006","Hard","Missing Component","QL-018","ES-004","Find the divisor if dividend = 12206, quotient = 1109, and remainder = 7.","11","Rearrange the division formula and simplify.

Answer:

11","11","7","1109","12206","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:78","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 1383, quotient = 172, and remainder = 7.","8","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

8","8","7","172","1383","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:79","CP-006","Hard","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 51760

Quotient = 2588

Remainder = 0","20","Rearrange the division formula and simplify.

Answer:

20","20","0","2588","51760","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:80","CP-006","Hard","Missing Component","QL-019","ES-003","A dividend 237906 gives quotient 3050 and remainder 6. Determine the divisor.","78","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

78","78","6","3050","237906","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:81","CP-006","Easy","Missing Component","QL-018","ES-003","Find the divisor if dividend = 979, quotient = 48, and remainder = 19.","20","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

20","20","19","48","979","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:82","CP-006","Hard","Missing Component","QL-018","ES-004","Find the divisor if dividend = 14696, quotient = 1336, and remainder = 0.","11","Rearrange the division formula and simplify.

Answer:

11","11","0","1336","14696","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:83","CP-006","Medium","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 11953

Quotient = 362

Remainder = 7","33","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

33","33","7","362","11953","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:84","CP-006","Easy","Missing Component","QL-018","ES-003","Find the divisor if dividend = 287, quotient = 41, and remainder = 0.","7","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

7","7","0","41","287","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:85","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 3307 gives quotient 330 and remainder 7. Determine the divisor.","10","Rearrange the division formula and simplify.

Answer:

10","10","7","330","3307","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:86","CP-006","Easy","Missing Component","QL-019","ES-003","A dividend 306 gives quotient 25 and remainder 6. Determine the divisor.","12","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

12","12","6","25","306","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:87","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 8119, quotient = 208, and remainder = 7.","39","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

39","39","7","208","8119","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:88","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 227, quotient = 15, and remainder = 2.","15","Rearrange the division formula and simplify.

Answer:

15","15","2","15","227","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:89","CP-006","Hard","Missing Component","QL-019","ES-004","A dividend 143418 gives quotient 3335 and remainder 13. Determine the divisor.","43","Rearrange the division formula and simplify.

Answer:

43","43","13","3335","143418","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:90","CP-006","Medium","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 3565

Quotient = 162

Remainder = 1","22","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

22","22","1","162","3565","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:91","CP-006","Easy","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 58

Quotient = 29

Remainder = 0","2","Rearrange the division formula and simplify.

Answer:

2","2","0","29","58","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:92","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 511, quotient = 42, and remainder = 7.","12","Rearrange the division formula and simplify.

Answer:

12","12","7","42","511","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:93","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 3040, quotient = 380, and remainder = 0.","8","Rearrange the division formula and simplify.

Answer:

8","8","0","380","3040","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:94","CP-006","Easy","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 289

Quotient = 48

Remainder = 1","6","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

6","6","1","48","289","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:95","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 1702, quotient = 425, and remainder = 2.","4","Rearrange the division formula and simplify.

Answer:

4","4","2","425","1702","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:96","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 4565

Quotient = 456

Remainder = 5","10","Rearrange the division formula and simplify.

Answer:

10","10","5","456","4565","",""
