Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-006:PCT-QL-012:PCT-002:en:35,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 20% of the income as savings. What percent of the income is spent on expenditure?,-80%,80% + 1,80% - 1,80%,D,The full quantity is always 100%. ? savings+expenditure=100% So subtract 20% from 100% to get the remaining percentage. ? expenditure=100%-20%=80% Therefore the expenditure percentage is 80%. ? expenditure=80%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:36,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,45% of the monthly budget goes to food expenses and 10% goes to transport expenses. Find the percentage difference.,-35%,35% - 1,35%,35% + 1,C,"Both parts are already given as percentages of the same whole. ? food expenses=45%, transport expenses=10% So subtract the smaller percentage from the larger percentage. ? Difference=45%-10%=35% Therefore the percentage difference is 35%. ? Difference=35%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:37,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 30000 is divided as 25% rent, 30% food, and 45% transport. Find the amount spent on rent.",7500 + 1,7500 - 1,-7500,7500,D,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 30000 So the value corresponding to 1% is obtained by dividing Rs. 30000 by 100. ? 1%=(30000/100)=300 Now multiply the value of 1% by 25 to find the rent. ? 25%=300?25=7500 Therefore the rent count is Rs. 7500. ? rent=7500,,
PCT-CP-009:PCT-QL-018:PCT-002:en:38,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 25% goes to marketing, 25% to salaries, and 10% to rent. Find the missing percentage for other expenses.",40% - 1,40%,-40%,40% + 1,B,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 25%+25%+10%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:39,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 24000, 25% is spent on food, 30% on rent, 10% on transport, and the remaining 35% on education. Find the amount spent on education.",-8400,8400 + 1,8400 - 1,8400,D,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 24000 So the value corresponding to 1% is obtained by dividing Rs. 24000 by 100. ? 1%=(24000/100)=240 Now multiply the value of 1% by the percentage for education. ? 35%=240?35=8400 Therefore the value for education is Rs. 8400. ? education=8400,,
PCT-CP-001:PCT-QL-001:PCT-002:en:40,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"45% of the students are girls. If the number of girls is 360, find the total number of students.",800,800 - 1,800 + 1,-800,A,"Here, 45% of the students equals 360. ? 45%?360 To determine the value of 1%, divide 360 by 45. ? 1%=(360/45)=8 Now multiply the value of 1% by 100 to get the whole. ? 100%=8?100=800 Therefore the total students is 800. ? Total students=800",,
PCT-CP-002:PCT-QL-003:PCT-002:en:41,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 40% of the income equals Rs. 20000, find 70% of the same income.",35000 + 1,-35000,35000,35000 - 1,C,"Here, 40% of the income equals Rs. 20000. ? 40%?Rs. 20000 First find the value corresponding to 1% by dividing Rs. 20000 by 40. ? 1%=(20000/40)=500 Now multiply the value of 1% by 70 to get 70%. ? 70%=500?70=35000 Therefore 70% of the income is Rs. 35000. ? expenditure=35000",,
PCT-CP-003:PCT-QL-005:PCT-002:en:42,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 240 students, 60 are girls. Find what percent of the students are girls.",25% + 1,25% - 1,25%,-25%,C,The whole students corresponds to 100%. ? 100%?240 So 1% is obtained by dividing 240 by 100. ? 1%=(240/100)=2.4 Now compare 60 with the value of 1% to get the required percentage. ? Required percent=(60/2.4)=25% Therefore 60 is 25% of the students. ? girls=25%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:43,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 25% of the salary is Rs. 1250, then Rs. 1250 is what percent of the same salary?",25%,-25%,25% + 1,25% - 1,A,"Here, 25% of the salary equals Rs. 1250. ? 25%?Rs. 1250 To determine the value of 1%, divide Rs. 1250 by 25. ? 1%=(1250/25)=50 Now compare Rs. 1250 with the value of 1% to find the required percentage. ? Required percent=(1250/50)=25% Therefore Rs. 1250 is 25% of the salary. ? Required percent=25%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:44,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 2:3. Find the percentage corresponding to the first part.,40%,40% + 1,40% - 1,-40%,A,First add the ratio parts to get the whole number of equal parts. ? Total parts=2+3=5 The first part accounts for 2 out of these 5 parts. ? Share fraction=(2/5) Convert that share into a percentage. ? Required percent=(2/5)?100=40% Therefore the first part corresponds to 40%. ? first part=40%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:45,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 45% of the class are girls, find the percentage of boys.",55% - 1,55%,-55%,55% + 1,B,The full quantity is always 100%. ? girls+boys=100% So subtract 45% from 100% to get the remaining percentage. ? boys=100%-45%=55% Therefore the boys percentage is 55%. ? boys=55%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:46,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,45% of the students are boys and 30% are girls. Find the difference between these percentages.,-15%,15% - 1,15% + 1,15%,D,"Both parts are already given as percentages of the same whole. ? boys=45%, girls=30% So subtract the smaller percentage from the larger percentage. ? Difference=45%-30%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:47,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 1200 students is divided as 40% girls, 35% boys, and 25% other students. Find the number of girls.",480 - 1,480,-480,480 + 1,B,The whole students corresponds to 100%. ? 100%?1200 So the value corresponding to 1% is obtained by dividing 1200 by 100. ? 1%=(1200/100)=12 Now multiply the value of 1% by 40 to find the girls. ? 40%=12?40=480 Therefore the girls count is 480. ? girls=480,,
PCT-CP-009:PCT-QL-017:PCT-002:en:48,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"35% is spent on food, 15% on rent, and 15% on transport. Find the remaining percentage for remaining.",-35%,35% + 1,35% - 1,35%,D,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 35%+15%+15%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:49,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 5000, 40% are males, 35% are females, and 25% are children. Find the number of children.",1250,1250 + 1,1250 - 1,-1250,A,The whole population corresponds to 100%. ? 100%?5000 So the value corresponding to 1% is obtained by dividing 5000 by 100. ? 1%=(5000/100)=50 Now multiply the value of 1% by the percentage for children. ? 25%=50?25=1250 Therefore the value for children is 1250. ? children=1250,,
PCT-CP-001:PCT-QL-002:PCT-002:en:50,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"20% of the monthly income is kept aside as savings. If these savings are Rs. 8000, find the total monthly income.",40000,40000 - 1,40000 + 1,-40000,A,"Here, 20% of the monthly income equals Rs. 8000. ? 20%?Rs. 8000 To determine the value of 1%, divide Rs. 8000 by 20. ? 1%=(8000/20)=400 Now multiply the value of 1% by 100 to get the whole. ? 100%=400?100=40000 Therefore the total monthly income is Rs. 40000. ? Total monthly income=40000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:51,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 35% of the students equals 98, how many students correspond to 60%?",168 + 1,-168,168,168 - 1,C,"Here, 35% of the students equals 98. ? 35%?98 First find the value corresponding to 1% by dividing 98 by 35. ? 1%=(98/35)=2.8 Now multiply the value of 1% by 60 to get 60%. ? 60%=2.8?60=168 Therefore 60% of the students is 168. ? students=168",,
PCT-CP-003:PCT-QL-006:PCT-002:en:52,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 4000 as savings out of a total income of Rs. 20000. Find the percentage of savings.,20%,20% + 1,20% - 1,-20%,A,The whole income corresponds to 100%. ? 100%?Rs. 20000 So 1% is obtained by dividing Rs. 20000 by 100. ? 1%=(20000/100)=200 Now compare Rs. 4000 with the value of 1% to get the required percentage. ? Required percent=(4000/200)=20% Therefore Rs. 4000 is 20% of the income. ? savings=20%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:53,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 20% of the books equals 60, what percent of the books is 30?",10% + 1,-10%,10%,10% - 1,C,"Here, 20% of the books equals 60. ? 20%?60 To determine the value of 1%, divide 60 by 20. ? 1%=(60/20)=3 Now compare 30 with the value of 1% to find the required percentage. ? Required percent=(30/3)=10% Therefore 30 is 10% of the books. ? Required percent=10%",,
PCT-CP-005:PCT-QL-010:PCT-002:en:54,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 3:4. Express the second part as a percentage of the whole.,57.14% + 1,57.14% - 1,-57.14%,57.14%,D,First add the ratio parts to get the whole number of equal parts. ? Total parts=3+4=7 The second part accounts for 4 out of these 7 parts. ? Share fraction=(4/7) Convert that share into a percentage. ? Required percent=(4/7)?100=57.14% Therefore the second part corresponds to 57.14%. ? second part=57.14%,,
PCT-CP-006:PCT-QL-012:PCT-002:en:55,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 10% of the income as savings. What percent of the income is spent on expenditure?,90% - 1,90%,-90%,90% + 1,B,The full quantity is always 100%. ? savings+expenditure=100% So subtract 10% from 100% to get the remaining percentage. ? expenditure=100%-10%=90% Therefore the expenditure percentage is 90%. ? expenditure=90%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:56,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,35% of the monthly budget goes to food expenses and 20% goes to transport expenses. Find the percentage difference.,-15%,15% + 1,15% - 1,15%,D,"Both parts are already given as percentages of the same whole. ? food expenses=35%, transport expenses=20% So subtract the smaller percentage from the larger percentage. ? Difference=35%-20%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
