Chapter,Question ID,CP,QL ID,Natural Language,Exam Realism,Mathematical Clarity,Context Quality,Diversity,MCQ Readiness,Explanation Alignment,Overall Rating,Editorial Comments
PCT-001,PCT-CP-001:PCT-QL-007:26429,PCT-CP-001,PCT-QL-007,4,1,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-040:24501,PCT-CP-005,PCT-QL-040,5,5,5,5,3,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-052:25657,PCT-CP-006,PCT-QL-052,4,4,5,4,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-001:PCT-QL-009:25652,PCT-CP-001,PCT-QL-009,3,2,5,2,2,3,3,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-053:26641,PCT-CP-006,PCT-QL-053,4,4,5,4,3,4,3,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-041:25617,PCT-CP-005,PCT-QL-041,5,5,5,5,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-051:28861,PCT-CP-006,PCT-QL-051,4,4,5,4,4,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-017:26550,PCT-CP-002,PCT-QL-017,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-014:28863,PCT-CP-002,PCT-QL-014,4,2,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-031:26585,PCT-CP-004,PCT-QL-031,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-046:25710,PCT-CP-005,PCT-QL-046,4,4,5,4,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-032:24719,PCT-CP-004,PCT-QL-032,4,5,5,5,3,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-012:24783,PCT-CP-002,PCT-QL-012,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-030:24665,PCT-CP-004,PCT-QL-030,4,2,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-001:PCT-QL-003:27671,PCT-CP-001,PCT-QL-003,4,2,5,2,3,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-036:25743,PCT-CP-005,PCT-QL-036,4,5,5,5,4,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-026:25555,PCT-CP-003,PCT-QL-026,4,2,4,2,3,5,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-051:26587,PCT-CP-006,PCT-QL-051,4,4,5,4,4,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-022:24664,PCT-CP-003,PCT-QL-022,4,2,5,2,3,5,3,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-024:26611,PCT-CP-003,PCT-QL-024,5,5,5,5,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-045:24594,PCT-CP-005,PCT-QL-045,4,2,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-011:24756,PCT-CP-002,PCT-QL-011,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-018:25719,PCT-CP-002,PCT-QL-018,4,2,4,2,3,5,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-025:27421,PCT-CP-003,PCT-QL-025,4,2,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-014:25467,PCT-CP-002,PCT-QL-014,4,2,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-019:24537,PCT-CP-002,PCT-QL-019,4,2,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-025:25528,PCT-CP-003,PCT-QL-025,4,2,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-001:PCT-QL-006:24782,PCT-CP-001,PCT-QL-006,4,1,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-031:28991,PCT-CP-004,PCT-QL-031,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-028:24785,PCT-CP-004,PCT-QL-028,4,5,5,5,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-027:27454,PCT-CP-003,PCT-QL-027,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-033:26618,PCT-CP-004,PCT-QL-033,4,5,5,5,4,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-020:25741,PCT-CP-003,PCT-QL-020,4,2,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-015:24657,PCT-CP-002,PCT-QL-015,5,5,5,5,3,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-035:25562,PCT-CP-004,PCT-QL-035,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-028:24632,PCT-CP-004,PCT-QL-028,4,5,5,5,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-018:24696,PCT-CP-002,PCT-QL-018,4,2,4,2,3,5,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-010:26424,PCT-CP-002,PCT-QL-010,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-001:PCT-QL-008:25625,PCT-CP-001,PCT-QL-008,3,1,5,2,2,2,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-021:27508,PCT-CP-003,PCT-QL-021,4,5,5,5,3,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-037:28827,PCT-CP-005,PCT-QL-037,4,5,5,5,4,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-001:PCT-QL-001:24509,PCT-CP-001,PCT-QL-001,5,5,5,5,4,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-053:24595,PCT-CP-006,PCT-QL-053,4,4,5,4,3,4,3,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-012:29016,PCT-CP-002,PCT-QL-012,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-032:26459,PCT-CP-004,PCT-QL-032,4,5,5,5,3,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-001:PCT-QL-007:28895,PCT-CP-001,PCT-QL-007,4,1,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-011:51675,PCT-CP-002,PCT-QL-011,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-028:51671,PCT-CP-004,PCT-QL-028,4,5,5,5,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-022:26425,PCT-CP-003,PCT-QL-022,4,2,5,2,3,5,3,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-038:26427,PCT-CP-005,PCT-QL-038,5,5,5,5,3,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-028:26525,PCT-CP-004,PCT-QL-028,4,5,5,5,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-026:24751,PCT-CP-003,PCT-QL-026,4,2,4,2,3,5,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-037:29046,PCT-CP-005,PCT-QL-037,4,5,5,5,4,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-029:25463,PCT-CP-004,PCT-QL-029,4,5,5,5,3,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-022:24532,PCT-CP-003,PCT-QL-022,4,2,5,2,3,5,3,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-049:27511,PCT-CP-006,PCT-QL-049,4,4,5,4,3,4,3,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-049:25750,PCT-CP-006,PCT-QL-049,4,4,5,4,3,4,3,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-023:27388,PCT-CP-003,PCT-QL-023,5,5,5,5,3,5,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-038:28833,PCT-CP-005,PCT-QL-038,5,5,5,5,3,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-038:27516,PCT-CP-005,PCT-QL-038,5,5,5,5,3,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-021:24658,PCT-CP-003,PCT-QL-021,4,5,5,5,3,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-001:PCT-QL-006:24602,PCT-CP-001,PCT-QL-006,4,1,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-037:25530,PCT-CP-005,PCT-QL-037,4,5,5,5,4,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-029:27509,PCT-CP-004,PCT-QL-029,4,5,5,5,3,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-050:24535,PCT-CP-006,PCT-QL-050,4,4,5,4,3,4,3,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-035:27455,PCT-CP-004,PCT-QL-035,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-054:29053,PCT-CP-006,PCT-QL-054,4,4,5,4,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-050:27517,PCT-CP-006,PCT-QL-050,4,4,5,4,3,4,3,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-013:24603,PCT-CP-002,PCT-QL-013,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-043:28926,PCT-CP-005,PCT-QL-043,4,4,5,5,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-021:28957,PCT-CP-003,PCT-QL-021,4,5,5,5,3,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-019:27606,PCT-CP-002,PCT-QL-019,4,2,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-024:25654,PCT-CP-003,PCT-QL-024,5,5,5,5,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-001:PCT-QL-001:27479,PCT-CP-001,PCT-QL-001,5,5,5,5,4,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-045:28959,PCT-CP-005,PCT-QL-045,4,2,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-033:27575,PCT-CP-004,PCT-QL-033,4,5,5,5,4,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-049:28960,PCT-CP-006,PCT-QL-049,4,4,5,4,3,4,3,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-034:27602,PCT-CP-004,PCT-QL-034,4,5,5,5,3,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-020:27481,PCT-CP-003,PCT-QL-020,4,2,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-043:24540,PCT-CP-005,PCT-QL-043,4,4,5,5,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-027:26518,PCT-CP-003,PCT-QL-027,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-001:PCT-QL-009:27632,PCT-CP-001,PCT-QL-009,3,2,5,2,2,3,3,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-001:PCT-QL-004:24749,PCT-CP-001,PCT-QL-004,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-003:PCT-QL-026:27448,PCT-CP-003,PCT-QL-026,4,2,4,2,3,5,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-031:24539,PCT-CP-004,PCT-QL-031,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-001:PCT-QL-007:25619,PCT-CP-001,PCT-QL-007,4,1,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-040:26679,PCT-CP-005,PCT-QL-040,5,5,5,5,3,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-054:27451,PCT-CP-006,PCT-QL-054,4,4,5,4,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-006:PCT-QL-052:27571,PCT-CP-006,PCT-QL-052,4,4,5,4,4,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-030:27515,PCT-CP-004,PCT-QL-030,4,2,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-002,PCT-CP-005:PCT-QL-010:PCT-002:en:254,PCT-CP-005,PCT-QL-010,5,5,5,5,4,3,4,PASS,"Reads naturally and feels close to an exam-book stem. The stem is usable, but distractor design would be fairly predictable."
PCT-002,PCT-CP-009:PCT-QL-017:PCT-002:en:428,PCT-CP-009,PCT-QL-017,5,5,5,5,4,4,5,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-005:PCT-QL-010:PCT-002:en:234,PCT-CP-005,PCT-QL-010,5,5,5,5,4,3,4,PASS,"Reads naturally and feels close to an exam-book stem. The stem is usable, but distractor design would be fairly predictable."
PCT-002,PCT-CP-005:PCT-QL-010:PCT-002:en:154,PCT-CP-005,PCT-QL-010,5,5,5,5,4,3,4,PASS,"Reads naturally and feels close to an exam-book stem. The stem is usable, but distractor design would be fairly predictable."
PCT-002,PCT-CP-004:PCT-QL-007:PCT-002:en:363,PCT-CP-004,PCT-QL-007,5,5,5,5,5,4,5,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-004:PCT-QL-007:PCT-002:en:383,PCT-CP-004,PCT-QL-007,5,5,5,5,5,4,5,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-006:PCT-QL-012:PCT-002:en:35,PCT-CP-006,PCT-QL-012,5,5,5,5,5,4,4,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-003:PCT-QL-006:PCT-002:en:172,PCT-CP-003,PCT-QL-006,5,5,5,5,5,4,5,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-006:PCT-QL-012:PCT-002:en:475,PCT-CP-006,PCT-QL-012,5,5,5,5,5,4,4,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-001:PCT-QL-001:PCT-002:en:200,PCT-CP-001,PCT-QL-001,5,5,5,5,5,4,5,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-002:PCT-QL-004:PCT-002:en:471,PCT-CP-002,PCT-QL-004,5,5,5,5,5,4,5,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-002:PCT-QL-003:PCT-002:en:401,PCT-CP-002,PCT-QL-003,5,5,5,5,5,4,5,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-006:PCT-QL-012:PCT-002:en:455,PCT-CP-006,PCT-QL-012,5,5,5,5,5,4,4,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-006:PCT-QL-012:PCT-002:en:415,PCT-CP-006,PCT-QL-012,5,5,5,5,5,4,4,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-002:PCT-QL-004:PCT-002:en:411,PCT-CP-002,PCT-QL-004,5,5,5,5,5,4,5,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-004:PCT-QL-008:PCT-002:en:93,PCT-CP-004,PCT-QL-008,5,5,5,5,5,4,5,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-010:PCT-QL-020:PCT-002:en:479,PCT-CP-010,PCT-QL-020,4,5,4,5,5,4,4,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-005:PCT-QL-010:PCT-002:en:74,PCT-CP-005,PCT-QL-010,5,5,5,5,4,3,4,PASS,"Reads naturally and feels close to an exam-book stem. The stem is usable, but distractor design would be fairly predictable."
PCT-002,PCT-CP-006:PCT-QL-011:PCT-002:en:345,PCT-CP-006,PCT-QL-011,5,5,5,5,5,4,4,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-010:PCT-QL-019:PCT-002:en:489,PCT-CP-010,PCT-QL-019,5,5,5,5,5,4,5,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-008:PCT-QL-016:PCT-002:en:97,PCT-CP-008,PCT-QL-016,5,5,5,5,5,4,5,PASS,Reads naturally and feels close to an exam-book stem.
PCT-002,PCT-CP-008:PCT-QL-016:PCT-002:en:37,PCT-CP-008,PCT-QL-016,5,5,5,5,5,4,5,PASS,Reads naturally and feels close to an exam-book stem.
