chapter,cpId,cpTheme,clusterLabel,qlIds,rawQlCount,taskKind,answerType,contextSurface,structureCategory,answerArchetype,classification,notes
"PCT-001","PCT-CP-002","Dynamic change & reverse reasoning","Restore after decrease","PCT-QL-019 | PCT-QL-119 | PCT-QL-219 | PCT-QL-319 | PCT-QL-419","5","restoreAfterDecrease","PERCENT","","invariance/restoration","Recovery value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-002","Dynamic change & reverse reasoning","Original from decreased value","PCT-QL-013 | PCT-QL-113 | PCT-QL-213 | PCT-QL-313 | PCT-QL-413","5","reverseDecrease","ABSOLUTE","","reverse/recovery","Recovery value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-002","Dynamic change & reverse reasoning","Original from increased value","PCT-QL-012 | PCT-QL-014 | PCT-QL-015 | PCT-QL-112 | PCT-QL-114 | PCT-QL-115 | PCT-QL-212 | PCT-QL-214 | PCT-QL-215 | PCT-QL-312 | PCT-QL-314 | PCT-QL-315 | PCT-QL-412 | PCT-QL-414 | PCT-QL-415","15","reverseIncrease","ABSOLUTE","salary","reverse/recovery","Recovery value","NEAR_DUPLICATE","Family shows some paraphrase/context spread, but most members still feel closely related."
"PCT-001","PCT-CP-003","Successive changes & compound growth","Area from two dimension changes","PCT-QL-026 | PCT-QL-126 | PCT-QL-226 | PCT-QL-326 | PCT-QL-426","5","areaChange","PERCENT","","geometry","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-003","Successive changes & compound growth","Compound decay","PCT-QL-025 | PCT-QL-125 | PCT-QL-225 | PCT-QL-325 | PCT-QL-425","5","compoundDecay","ABSOLUTE","","successive/bridge","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-003","Successive changes & compound growth","Compound growth","PCT-QL-024 | PCT-QL-124 | PCT-QL-224 | PCT-QL-324 | PCT-QL-424","5","compoundGrowth","ABSOLUTE","population","successive/bridge","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-003","Successive changes & compound growth","Square area change","PCT-QL-027 | PCT-QL-127 | PCT-QL-227 | PCT-QL-327 | PCT-QL-427","5","squareAreaChange","PERCENT","","other","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-003","Successive changes & compound growth","Successive mixed change","PCT-QL-022 | PCT-QL-023 | PCT-QL-122 | PCT-QL-123 | PCT-QL-222 | PCT-QL-223 | PCT-QL-322 | PCT-QL-323 | PCT-QL-422 | PCT-QL-423","10","successiveChange","PERCENT","","successive/bridge","Final value","NEAR_DUPLICATE","Family shows some paraphrase/context spread, but most members still feel closely related."
"PCT-001","PCT-CP-003","Successive changes & compound growth","Successive increase","PCT-QL-020 | PCT-QL-021 | PCT-QL-120 | PCT-QL-121 | PCT-QL-220 | PCT-QL-221 | PCT-QL-320 | PCT-QL-321 | PCT-QL-420 | PCT-QL-421","10","successiveIncrease","PERCENT","population","successive/bridge","Final value","NEAR_DUPLICATE","Family shows some paraphrase/context spread, but most members still feel closely related."
"PCT-001","PCT-CP-004","Product invariance & variations","Circle area decrease","PCT-QL-035 | PCT-QL-135 | PCT-QL-235 | PCT-QL-335 | PCT-QL-435","5","circleAreaDecrease","PERCENT","","geometry","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-004","Product invariance & variations","Invariance via decrease","PCT-QL-028 | PCT-QL-030 | PCT-QL-031 | PCT-QL-034 | PCT-QL-128 | PCT-QL-130 | PCT-QL-131 | PCT-QL-134 | PCT-QL-228 | PCT-QL-230 | PCT-QL-231 | PCT-QL-234 | PCT-QL-328 | PCT-QL-330 | PCT-QL-331 | PCT-QL-334 | PCT-QL-428 | PCT-QL-430 | PCT-QL-431 | PCT-QL-434","20","invarianceDecrease","PERCENT","factory; distance","invariance/restoration","Final value","NEAR_DUPLICATE","Family shows some paraphrase/context spread, but most members still feel closely related."
"PCT-001","PCT-CP-004","Product invariance & variations","Invariance via increase","PCT-QL-029 | PCT-QL-129 | PCT-QL-229 | PCT-QL-329 | PCT-QL-429","5","invarianceIncrease","PERCENT","","invariance/restoration","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-004","Product invariance & variations","Restore after increase","PCT-QL-032 | PCT-QL-132 | PCT-QL-232 | PCT-QL-332 | PCT-QL-432","5","restoreAfterIncrease","PERCENT","","invariance/restoration","Recovery value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-004","Product invariance & variations","Revenue change from price/quantity","PCT-QL-033 | PCT-QL-133 | PCT-QL-233 | PCT-QL-333 | PCT-QL-433","5","revenueChange","PERCENT","","invariance/restoration","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-005","Distributional analysis","Cancelled vote/election split","PCT-QL-039 | PCT-QL-139 | PCT-QL-239 | PCT-QL-339 | PCT-QL-439","5","cancelledVotes","COUNT","election; votes","other","Recovery value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-005","Distributional analysis","Complement from total","PCT-QL-042 | PCT-QL-142 | PCT-QL-242 | PCT-QL-342 | PCT-QL-442","5","complementOfTotal","COUNT","population","partition/distribution","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-005","Distributional analysis","Income partition","PCT-QL-036 | PCT-QL-136 | PCT-QL-236 | PCT-QL-336 | PCT-QL-436","5","incomePartition","ABSOLUTE","income; rent; food","partition/distribution","Recovery value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-005","Distributional analysis","Loser vote total","PCT-QL-047 | PCT-QL-147 | PCT-QL-247 | PCT-QL-347 | PCT-QL-447","5","loserVotes","COUNT","election; votes; candidates","other","Recovery value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-005","Distributional analysis","Marks base from comparative clue","PCT-QL-043 | PCT-QL-143 | PCT-QL-243 | PCT-QL-343 | PCT-QL-443","5","moreMarksBase","ABSOLUTE","marks","other","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-005","Distributional analysis","Whole from one part","PCT-QL-041 | PCT-QL-044 | PCT-QL-046 | PCT-QL-141 | PCT-QL-144 | PCT-QL-146 | PCT-QL-241 | PCT-QL-244 | PCT-QL-246 | PCT-QL-341 | PCT-QL-344 | PCT-QL-346 | PCT-QL-441 | PCT-QL-444 | PCT-QL-446","15","partToTotal","COUNT","population; students; girls; alloy","partition/distribution","Recovery value","NEAR_DUPLICATE","Family shows some paraphrase/context spread, but most members still feel closely related."
"PCT-001","PCT-CP-005","Distributional analysis","Pass marks reconstruction","PCT-QL-040 | PCT-QL-140 | PCT-QL-240 | PCT-QL-340 | PCT-QL-440","5","passMarks","COUNT","marks","other","Recovery value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-005","Distributional analysis","Successive spending","PCT-QL-037 | PCT-QL-137 | PCT-QL-237 | PCT-QL-337 | PCT-QL-437","5","successiveExpense","ABSOLUTE","salary; rent; food","successive/bridge","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-005","Distributional analysis","Two shares plus remainder","PCT-QL-045 | PCT-QL-145 | PCT-QL-245 | PCT-QL-345 | PCT-QL-445","5","twoShareRemainder","ABSOLUTE","","partition/distribution","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-005","Distributional analysis","Winner vote total","PCT-QL-038 | PCT-QL-138 | PCT-QL-238 | PCT-QL-338 | PCT-QL-438","5","winnerVotes","COUNT","election; votes; candidates","other","Recovery value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-006","Compositional proportions","Add pure component","PCT-QL-053 | PCT-QL-153 | PCT-QL-253 | PCT-QL-353 | PCT-QL-453","5","addPureComponent","ABSOLUTE","mixture","other","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-006","Compositional proportions","Add solute","PCT-QL-050 | PCT-QL-150 | PCT-QL-250 | PCT-QL-350 | PCT-QL-450","5","addSolute","ABSOLUTE","mixture","other","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-006","Compositional proportions","Alloy complement","PCT-QL-055 | PCT-QL-155 | PCT-QL-255 | PCT-QL-355 | PCT-QL-455","5","alloyComplement","ABSOLUTE","alloy","composition/mixture","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-006","Compositional proportions","Diluted percent","PCT-QL-051 | PCT-QL-151 | PCT-QL-251 | PCT-QL-351 | PCT-QL-451","5","dilutedPercent","PERCENT","mixture; water","other","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-006","Compositional proportions","Dilution by adding water","PCT-QL-048 | PCT-QL-148 | PCT-QL-248 | PCT-QL-348 | PCT-QL-448","5","dilutionAddWater","ABSOLUTE","mixture; water","composition/mixture","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-006","Compositional proportions","Fresh-to-dry conversion","PCT-QL-049 | PCT-QL-149 | PCT-QL-249 | PCT-QL-349 | PCT-QL-449","5","dryFromFresh","ABSOLUTE","water; fruit","composition/mixture","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-006","Compositional proportions","Original from evaporation","PCT-QL-054 | PCT-QL-154 | PCT-QL-254 | PCT-QL-354 | PCT-QL-454","5","evaporationOriginal","ABSOLUTE","water","conversion","Conversion output","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-006","Compositional proportions","Dry-to-fresh conversion","PCT-QL-052 | PCT-QL-152 | PCT-QL-252 | PCT-QL-352 | PCT-QL-452","5","freshFromDry","ABSOLUTE","water","composition/mixture","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-002","PCT-CP-001","Whole from part","wholeFromPart","PCT-QL-001 | PCT-QL-002","2","wholeFromPart","COUNT","students/girls; monthly income/savings","reverse/recovery","Recovery value","VARIANT","Second family introduces a noticeably different surface (money/count, dual-entity, or stage depth), but not a wholly new method."
"PCT-002","PCT-CP-002","Another percentage from known percentage","anotherPercentageFromKnownPercentage","PCT-QL-003 | PCT-QL-004","2","anotherPercentageFromKnownPercentage","ABSOLUTE","income/expenditure; students","other","Final value","VARIANT","Second family introduces a noticeably different surface (money/count, dual-entity, or stage depth), but not a wholly new method."
"PCT-002","PCT-CP-003","Percentage from part and whole","percentageFromPartAndWhole","PCT-QL-005 | PCT-QL-006","2","percentageFromPartAndWhole","PERCENT","students/girls; income/savings","other","Percentage change/share","VARIANT","Second family introduces a noticeably different surface (money/count, dual-entity, or stage depth), but not a wholly new method."
"PCT-002","PCT-CP-004","Reverse percentage mapping","reversePercentageMapping","PCT-QL-007 | PCT-QL-008","2","reversePercentageMapping","PERCENT","salary/rent/books; books/reference/story","reverse/recovery","Recovery value","VARIANT","Second family introduces a noticeably different surface (money/count, dual-entity, or stage depth), but not a wholly new method."
"PCT-002","PCT-CP-005","Ratio ↔ percentage conversion","ratioToPercentage","PCT-QL-009 | PCT-QL-010","2","ratioToPercentage","PERCENT","abstract ratio share","conversion","Percentage change/share","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-002","PCT-CP-006","Complementary percentage","complementaryPercentage","PCT-QL-011 | PCT-QL-012","2","complementaryPercentage","PERCENT","girls/boys; savings/expenditure","partition/distribution","Percentage change/share","VARIANT","Second family introduces a noticeably different surface (money/count, dual-entity, or stage depth), but not a wholly new method."
"PCT-002","PCT-CP-007","Difference between percentage parts","differenceBetweenPercentageParts","PCT-QL-013 | PCT-QL-014","2","differenceBetweenPercentageParts","PERCENT","students; monthly budget","comparative","Difference/Comparison","VARIANT","Second family introduces a noticeably different surface (money/count, dual-entity, or stage depth), but not a wholly new method."
"PCT-002","PCT-CP-008","Percentage partition","percentagePartition","PCT-QL-015 | PCT-QL-016","2","percentagePartition","COUNT","students; monthly expenses","other","Final value","VARIANT","Second family introduces a noticeably different surface (money/count, dual-entity, or stage depth), but not a wholly new method."
"PCT-002","PCT-CP-009","Missing percentage","missingPercentage","PCT-QL-017 | PCT-QL-018","2","missingPercentage","PERCENT","food/rent/transport; marketing/salaries/rent","other","Percentage change/share","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-002","PCT-CP-010","Multi-category percentage distribution","multiCategoryPercentageDistribution","PCT-QL-019 | PCT-QL-020","2","multiCategoryPercentageDistribution","COUNT","population; monthly expenses","partition/distribution","Final value","VARIANT","Second family introduces a noticeably different surface (money/count, dual-entity, or stage depth), but not a wholly new method."
"PCT-003","PCT-CP-001","Direct increase","directPercentageIncrease","PCT-QL-001 | PCT-QL-002","2","directPercentageIncrease","ABSOLUTE","salary; population","direct calculation","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-003","PCT-CP-002","Increase amount","increaseAmount","PCT-QL-003 | PCT-QL-004","2","increaseAmount","ABSOLUTE","salary; production","direct calculation","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-003","PCT-CP-003","Original from increased value","originalValueFromIncreasedValue","PCT-QL-005 | PCT-QL-006","2","originalValueFromIncreasedValue","ABSOLUTE","salary; population","reverse/recovery","Recovery value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-003","PCT-CP-004","Equivalent multiplier","equivalentMultiplier","PCT-QL-007 | PCT-QL-008","2","equivalentMultiplier","ABSOLUTE","salary; population","other","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-003","PCT-CP-005","Repeated increase","repeatedPercentageIncrease","PCT-QL-009 | PCT-QL-010","2","repeatedPercentageIncrease","ABSOLUTE","salary; population","other","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-003","PCT-CP-006","Net increase percentage","netIncreasePercentage","PCT-QL-011 | PCT-QL-012","2","netIncreasePercentage","PERCENT","price; population","other","Percentage change/share","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-003","PCT-CP-007","Comparative increase","comparativeIncrease","PCT-QL-013 | PCT-QL-014","2","comparativeIncrease","ABSOLUTE","salary A/B; production A/B","comparative","Difference/Comparison","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-003","PCT-CP-008","Increase in parts","percentageIncreaseInParts","PCT-QL-015 | PCT-QL-016","2","percentageIncreaseInParts","PERCENT","students; workers","other","Percentage change/share","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-003","PCT-CP-009","Required increase","requiredIncrease","PCT-QL-017 | PCT-QL-018","2","requiredIncrease","PERCENT","salary; production","reverse/recovery","Recovery value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-003","PCT-CP-010","Increase bridge","growthBridge","PCT-QL-019 | PCT-QL-020","2","growthBridge","COUNT","population; production value","successive/bridge","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-004","PCT-CP-001","Direct decrease","directPercentageDecrease","PCT-QL-001 | PCT-QL-002","2","directPercentageDecrease","ABSOLUTE","salary; population","direct calculation","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-004","PCT-CP-002","Decrease amount","decreaseAmount","PCT-QL-003 | PCT-QL-004","2","decreaseAmount","ABSOLUTE","salary; production","direct calculation","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-004","PCT-CP-003","Original from decreased value","originalValueFromDecreasedValue","PCT-QL-005 | PCT-QL-006","2","originalValueFromDecreasedValue","ABSOLUTE","value; population","reverse/recovery","Recovery value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-004","PCT-CP-004","Decrease multiplier","decreaseMultiplier","PCT-QL-007 | PCT-QL-008","2","decreaseMultiplier","ABSOLUTE","salary; inventory","direct calculation","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-004","PCT-CP-005","Successive decrease","successiveDecrease","PCT-QL-009 | PCT-QL-010","2","successiveDecrease","ABSOLUTE","salary; population","successive/bridge","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-004","PCT-CP-006","Net decrease percentage","netPercentageDecrease","PCT-QL-011 | PCT-QL-012","2","netPercentageDecrease","PERCENT","price; attendance","other","Percentage change/share","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-004","PCT-CP-007","Comparative decrease","comparativeDecrease","PCT-QL-013 | PCT-QL-014","2","comparativeDecrease","ABSOLUTE","salary A/B; production A/B","comparative","Difference/Comparison","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-004","PCT-CP-008","Component-wise decrease","componentWiseDecrease","PCT-QL-015 | PCT-QL-016","2","componentWiseDecrease","PERCENT","students; workers","other","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-004","PCT-CP-009","Required decrease","requiredDecrease","PCT-QL-017 | PCT-QL-018","2","requiredDecrease","PERCENT","salary; production","reverse/recovery","Recovery value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-004","PCT-CP-010","Decrease bridge","percentageDecreaseBridge","PCT-QL-019 | PCT-QL-020","2","percentageDecreaseBridge","COUNT","inventory; expenditure","successive/bridge","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-005","PCT-CP-001","Successive increase","successiveIncrease","PCT-QL-001 | PCT-QL-002","2","successiveIncrease","ABSOLUTE","value; salary","successive/bridge","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-005","PCT-CP-002","Successive decrease","successiveDecrease","PCT-QL-003 | PCT-QL-004","2","successiveDecrease","COUNT","population; salary","successive/bridge","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-005","PCT-CP-003","Increase then decrease","increaseThenDecrease","PCT-QL-005 | PCT-QL-006","2","increaseThenDecrease","ABSOLUTE","value; production","direct calculation","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-005","PCT-CP-004","Decrease then increase","decreaseThenIncrease","PCT-QL-007 | PCT-QL-008","2","decreaseThenIncrease","ABSOLUTE","value; attendance","direct calculation","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-005","PCT-CP-005","Net percentage change","netPercentageChange","PCT-QL-009 | PCT-QL-010","2","netPercentageChange","PERCENT","generic value","other","Percentage change/share","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-005","PCT-CP-006","Equivalent single multiplier","equivalentSingleMultiplier","PCT-QL-011 | PCT-QL-012","2","equivalentSingleMultiplier","ABSOLUTE","generic value","other","Final value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-005","PCT-CP-007","Reverse successive change","reverseSuccessiveChange","PCT-QL-013 | PCT-QL-014","2","reverseSuccessiveChange","ABSOLUTE","generic value","reverse/recovery","Recovery value","NEAR_DUPLICATE","Pair is structurally close; second shell mainly changes wrapper, value style, or light context."
"PCT-005","PCT-CP-008","Comparative successive change","comparativeSuccessiveChange","PCT-QL-015 | PCT-QL-016","2","comparativeSuccessiveChange","ABSOLUTE","A/B; salary A/B","comparative","Difference/Comparison","VARIANT","Second family introduces a noticeably different surface (money/count, dual-entity, or stage depth), but not a wholly new method."
"PCT-005","PCT-CP-009","Multi-stage successive change","multiStageSuccessiveChange","PCT-QL-017 | PCT-QL-018","2","multiStageSuccessiveChange","ABSOLUTE","generic value","successive/bridge","Final value","VARIANT","Second family introduces a noticeably different surface (money/count, dual-entity, or stage depth), but not a wholly new method."
"PCT-005","PCT-CP-010","Contextual successive change","contextualSuccessiveChange","PCT-QL-019 | PCT-QL-020","2","contextualSuccessiveChange","COUNT","population; sales","successive/bridge","Final value","VARIANT","Second family introduces a noticeably different surface (money/count, dual-entity, or stage depth), but not a wholly new method."
