"questionId","qlId","difficulty","context","explanationText","explanationLines","approval","reviewerNotes","status"
"PCT-CP-002:PCT-QL-017:66839","PCT-QL-017","Medium","salary","We are comparing two percentages of the salary. | In this question, 20% of the salary stands for 250 salary. | Because 20% of the salary has 20 equal 1% parts, divide 250 salary by 20. | $$1\% = 250\text{ salary} \div 20 = 12.5\text{ salary}$$ | The percentage we still need is 60%. | Because 1% is known, multiply its value by 60 to get 60% of the salary. | $$60\% = 12.5\text{ salary} \times 60 = 750\text{ salary}$$ | So 60% of the salary is 750 salary.","[""We are comparing two percentages of the salary."",""In this question, 20% of the salary stands for 250 salary."",""Because 20% of the salary has 20 equal 1% parts, divide 250 salary by 20. | $$1\\% = 250\\text{ salary} \\div 20 = 12.5\\text{ salary}$$"",""The percentage we still need is 60%."",""Because 1% is known, multiply its value by 60 to get 60% of the salary. | $$60\\% = 12.5\\text{ salary} \\times 60 = 750\\text{ salary}$$"",""So 60% of the salary is 750 salary.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66840","PCT-QL-017","Hard","expenditure","We are working with two percentages of the expenditure. | 200 expenditure is the value of 25% of the expenditure. | Because 25% has 25 equal parts, dividing 200 expenditure by 25 gives 1% of the expenditure. | $$1\% = 200\text{ expenditure} \div 25 = 8\text{ expenditure}$$ | The question asks for 10% of the expenditure. | Since 1% is one part, multiply its value by 10 to get 10% of the expenditure. | $$10\% = 8\text{ expenditure} \times 10 = 80\text{ expenditure}$$ | Check: multiplying the 1% value by 25 returns 200 expenditure. | $$8\text{ expenditure} \times 25 = 200\text{ expenditure}$$ | This means the required expenditure count is 80 expenditure.","[""We are working with two percentages of the expenditure."",""200 expenditure is the value of 25% of the expenditure."",""Because 25% has 25 equal parts, dividing 200 expenditure by 25 gives 1% of the expenditure. | $$1\\% = 200\\text{ expenditure} \\div 25 = 8\\text{ expenditure}$$"",""The question asks for 10% of the expenditure."",""Since 1% is one part, multiply its value by 10 to get 10% of the expenditure. | $$10\\% = 8\\text{ expenditure} \\times 10 = 80\\text{ expenditure}$$"",""Check: multiplying the 1% value by 25 returns 200 expenditure. | $$8\\text{ expenditure} \\times 25 = 200\\text{ expenditure}$$"",""This means the required expenditure count is 80 expenditure.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66841","PCT-QL-017","Easy","salary","We will first connect the known percentage of the salary with the required percentage. | The given information is 30% of the salary = 150 salary. | Because 30% of the salary has 30 equal 1% parts, divide 150 salary by 30. | $$1\% = 150\text{ salary} \div 30 = 5\text{ salary}$$ | Our target is 15% of the salary. | Use the 1% value 15 times to get 15% of the salary. | $$15\% = 5\text{ salary} \times 15 = 75\text{ salary}$$ | Therefore, 15% of the salary represents 75 salary.","[""We will first connect the known percentage of the salary with the required percentage."",""The given information is 30% of the salary = 150 salary."",""Because 30% of the salary has 30 equal 1% parts, divide 150 salary by 30. | $$1\\% = 150\\text{ salary} \\div 30 = 5\\text{ salary}$$"",""Our target is 15% of the salary."",""Use the 1% value 15 times to get 15% of the salary. | $$15\\% = 5\\text{ salary} \\times 15 = 75\\text{ salary}$$"",""Therefore, 15% of the salary represents 75 salary.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66842","PCT-QL-017","Medium","income","We can use the known percentage of the income to find the required one. | We know that 80% of the income is 100 income. | Because 80% of the income has 80 equal 1% parts, divide 100 income by 80. | $$1\% = 100\text{ income} \div 80 = 1.25\text{ income}$$ | The required share is 20% of the income. | Because 1% is known, multiply its value by 20 to get 20% of the income. | $$20\% = 1.25\text{ income} \times 20 = 25\text{ income}$$ | This means the required income count is 25 income.","[""We can use the known percentage of the income to find the required one."",""We know that 80% of the income is 100 income."",""Because 80% of the income has 80 equal 1% parts, divide 100 income by 80. | $$1\\% = 100\\text{ income} \\div 80 = 1.25\\text{ income}$$"",""The required share is 20% of the income."",""Because 1% is known, multiply its value by 20 to get 20% of the income. | $$20\\% = 1.25\\text{ income} \\times 20 = 25\\text{ income}$$"",""This means the required income count is 25 income.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66843","PCT-QL-017","Hard","saving","We know one percentage of the saving and need another. | Here, 600 saving represents 10% of the saving. | Because 10% has 10 equal parts, dividing 600 saving by 10 gives 1% of the saving. | $$1\% = 600\text{ saving} \div 10 = 60\text{ saving}$$ | The question asks for 25% of the saving. | Since 1% is one part, multiply its value by 25 to get 25% of the saving. | $$25\% = 60\text{ saving} \times 25 = 1,500\text{ saving}$$ | The check agrees with the question: 10% gives 600 saving. | $$60\text{ saving} \times 10 = 600\text{ saving}$$ | So the share of the saving represented by 25% is 1,500 saving.","[""We know one percentage of the saving and need another."",""Here, 600 saving represents 10% of the saving."",""Because 10% has 10 equal parts, dividing 600 saving by 10 gives 1% of the saving. | $$1\\% = 600\\text{ saving} \\div 10 = 60\\text{ saving}$$"",""The question asks for 25% of the saving."",""Since 1% is one part, multiply its value by 25 to get 25% of the saving. | $$25\\% = 60\\text{ saving} \\times 25 = 1,500\\text{ saving}$$"",""The check agrees with the question: 10% gives 600 saving. | $$60\\text{ saving} \\times 10 = 600\\text{ saving}$$"",""So the share of the saving represented by 25% is 1,500 saving.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66845","PCT-QL-017","Medium","expenditure","We can see that both percentage values belong to the expenditure. | We know that 20% of the expenditure is 400 expenditure. | Because 20% of the expenditure has 20 equal 1% parts, divide 400 expenditure by 20. | $$1\% = 400\text{ expenditure} \div 20 = 20\text{ expenditure}$$ | Now turn the 1% value into 40% of the expenditure. | Because 1% is known, multiply its value by 40 to get 40% of the expenditure. | $$40\% = 20\text{ expenditure} \times 40 = 800\text{ expenditure}$$ | So the share of the expenditure represented by 40% is 800 expenditure.","[""We can see that both percentage values belong to the expenditure."",""We know that 20% of the expenditure is 400 expenditure."",""Because 20% of the expenditure has 20 equal 1% parts, divide 400 expenditure by 20. | $$1\\% = 400\\text{ expenditure} \\div 20 = 20\\text{ expenditure}$$"",""Now turn the 1% value into 40% of the expenditure."",""Because 1% is known, multiply its value by 40 to get 40% of the expenditure. | $$40\\% = 20\\text{ expenditure} \\times 40 = 800\\text{ expenditure}$$"",""So the share of the expenditure represented by 40% is 800 expenditure.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66867","PCT-QL-017","Hard","income","We will first connect the known percentage of the income with the required percentage. | 30% of the income equals 600 income. | Because 30% has 30 equal parts, dividing 600 income by 30 gives 1% of the income. | $$1\% = 600\text{ income} \div 30 = 20\text{ income}$$ | Now we need 25% of the income. | Since 1% is one part, multiply its value by 25 to get 25% of the income. | $$25\% = 20\text{ income} \times 25 = 500\text{ income}$$ | To verify it, use the 1% value 30 times and get 600 income. | $$20\text{ income} \times 30 = 600\text{ income}$$ | Therefore, 25% of the income represents 500 income.","[""We will first connect the known percentage of the income with the required percentage."",""30% of the income equals 600 income."",""Because 30% has 30 equal parts, dividing 600 income by 30 gives 1% of the income. | $$1\\% = 600\\text{ income} \\div 30 = 20\\text{ income}$$"",""Now we need 25% of the income."",""Since 1% is one part, multiply its value by 25 to get 25% of the income. | $$25\\% = 20\\text{ income} \\times 25 = 500\\text{ income}$$"",""To verify it, use the 1% value 30 times and get 600 income. | $$20\\text{ income} \\times 30 = 600\\text{ income}$$"",""Therefore, 25% of the income represents 500 income.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66868","PCT-QL-017","Easy","saving","We are comparing two percentages of the saving. | In this question, 40% of the saving stands for 500 saving. | Because 40% of the saving has 40 equal 1% parts, divide 500 saving by 40. | $$1\% = 500\text{ saving} \div 40 = 12.5\text{ saving}$$ | Next, use the 1% value to find 30% of the saving. | Use the 1% value 30 times to get 30% of the saving. | $$30\% = 12.5\text{ saving} \times 30 = 375\text{ saving}$$ | Therefore, 30% of the saving represents 375 saving.","[""We are comparing two percentages of the saving."",""In this question, 40% of the saving stands for 500 saving."",""Because 40% of the saving has 40 equal 1% parts, divide 500 saving by 40. | $$1\\% = 500\\text{ saving} \\div 40 = 12.5\\text{ saving}$$"",""Next, use the 1% value to find 30% of the saving."",""Use the 1% value 30 times to get 30% of the saving. | $$30\\% = 12.5\\text{ saving} \\times 30 = 375\\text{ saving}$$"",""Therefore, 30% of the saving represents 375 saving.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66870","PCT-QL-017","Hard","saving","The required percentage is the same 50% already given for the saving. | 50% of the saving is 300 saving. | There is no need to find 1% because the requested percentage is already known. | The question asks for that same 50% of the saving. | No multiplication or scaling is needed. | The requested percentage and the given percentage are identical. | So 50% of the saving remains 300 saving.","[""The required percentage is the same 50% already given for the saving."",""50% of the saving is 300 saving."",""There is no need to find 1% because the requested percentage is already known."",""The question asks for that same 50% of the saving."",""No multiplication or scaling is needed."",""The requested percentage and the given percentage are identical."",""So 50% of the saving remains 300 saving.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66871","PCT-QL-017","Easy","salary","We can use the known percentage of the salary to find the required one. | Start with the given relation: 20% of the salary is 250 salary. | Because 20% of the salary has 20 equal 1% parts, divide 250 salary by 20. | $$1\% = 250\text{ salary} \div 20 = 12.5\text{ salary}$$ | The required share is 60% of the salary. | Use the 1% value 60 times to get 60% of the salary. | $$60\% = 12.5\text{ salary} \times 60 = 750\text{ salary}$$ | So the share of the salary represented by 60% is 750 salary.","[""We can use the known percentage of the salary to find the required one."",""Start with the given relation: 20% of the salary is 250 salary."",""Because 20% of the salary has 20 equal 1% parts, divide 250 salary by 20. | $$1\\% = 250\\text{ salary} \\div 20 = 12.5\\text{ salary}$$"",""The required share is 60% of the salary."",""Use the 1% value 60 times to get 60% of the salary. | $$60\\% = 12.5\\text{ salary} \\times 60 = 750\\text{ salary}$$"",""So the share of the salary represented by 60% is 750 salary.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66872","PCT-QL-017","Medium","expenditure","We can see that both percentage values belong to the expenditure. | We know that 25% of the expenditure is 200 expenditure. | Because 25% of the expenditure has 25 equal 1% parts, divide 200 expenditure by 25. | $$1\% = 200\text{ expenditure} \div 25 = 8\text{ expenditure}$$ | Now turn the 1% value into 10% of the expenditure. | Because 1% is known, multiply its value by 10 to get 10% of the expenditure. | $$10\% = 8\text{ expenditure} \times 10 = 80\text{ expenditure}$$ | So the share of the expenditure represented by 10% is 80 expenditure.","[""We can see that both percentage values belong to the expenditure."",""We know that 25% of the expenditure is 200 expenditure."",""Because 25% of the expenditure has 25 equal 1% parts, divide 200 expenditure by 25. | $$1\\% = 200\\text{ expenditure} \\div 25 = 8\\text{ expenditure}$$"",""Now turn the 1% value into 10% of the expenditure."",""Because 1% is known, multiply its value by 10 to get 10% of the expenditure. | $$10\\% = 8\\text{ expenditure} \\times 10 = 80\\text{ expenditure}$$"",""So the share of the expenditure represented by 10% is 80 expenditure.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66873","PCT-QL-017","Hard","saving","We know one percentage of the saving and need another. | Here, 150 saving represents 30% of the saving. | Because 30% has 30 equal parts, dividing 150 saving by 30 gives 1% of the saving. | $$1\% = 150\text{ saving} \div 30 = 5\text{ saving}$$ | We can now move from 1% to 15% of the saving. | Since 1% is one part, multiply its value by 15 to get 15% of the saving. | $$15\% = 5\text{ saving} \times 15 = 75\text{ saving}$$ | The check agrees with the question: 30% gives 150 saving. | $$5\text{ saving} \times 30 = 150\text{ saving}$$ | This means the required saving count is 75 saving.","[""We know one percentage of the saving and need another."",""Here, 150 saving represents 30% of the saving."",""Because 30% has 30 equal parts, dividing 150 saving by 30 gives 1% of the saving. | $$1\\% = 150\\text{ saving} \\div 30 = 5\\text{ saving}$$"",""We can now move from 1% to 15% of the saving."",""Since 1% is one part, multiply its value by 15 to get 15% of the saving. | $$15\\% = 5\\text{ saving} \\times 15 = 75\\text{ saving}$$"",""The check agrees with the question: 30% gives 150 saving. | $$5\\text{ saving} \\times 30 = 150\\text{ saving}$$"",""This means the required saving count is 75 saving.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66874","PCT-QL-017","Easy","expenditure","We know one percentage of the expenditure and need another. | We know that 40% of the expenditure is 100 expenditure. | Because 40% of the expenditure has 40 equal 1% parts, divide 100 expenditure by 40. | $$1\% = 100\text{ expenditure} \div 40 = 2.5\text{ expenditure}$$ | The required share is 20% of the expenditure. | Use the 1% value 20 times to get 20% of the expenditure. | $$20\% = 2.5\text{ expenditure} \times 20 = 50\text{ expenditure}$$ | This means the required expenditure count is 50 expenditure.","[""We know one percentage of the expenditure and need another."",""We know that 40% of the expenditure is 100 expenditure."",""Because 40% of the expenditure has 40 equal 1% parts, divide 100 expenditure by 40. | $$1\\% = 100\\text{ expenditure} \\div 40 = 2.5\\text{ expenditure}$$"",""The required share is 20% of the expenditure."",""Use the 1% value 20 times to get 20% of the expenditure. | $$20\\% = 2.5\\text{ expenditure} \\times 20 = 50\\text{ expenditure}$$"",""This means the required expenditure count is 50 expenditure.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66898","PCT-QL-017","Easy","salary","We need to move from one percentage of the salary to another. | 80% of the salary equals 100 salary. | Because 80% of the salary has 80 equal 1% parts, divide 100 salary by 80. | $$1\% = 100\text{ salary} \div 80 = 1.25\text{ salary}$$ | Now we need 20% of the salary. | Use the 1% value 20 times to get 20% of the salary. | $$20\% = 1.25\text{ salary} \times 20 = 25\text{ salary}$$ | Therefore, 20% of the salary represents 25 salary.","[""We need to move from one percentage of the salary to another."",""80% of the salary equals 100 salary."",""Because 80% of the salary has 80 equal 1% parts, divide 100 salary by 80. | $$1\\% = 100\\text{ salary} \\div 80 = 1.25\\text{ salary}$$"",""Now we need 20% of the salary."",""Use the 1% value 20 times to get 20% of the salary. | $$20\\% = 1.25\\text{ salary} \\times 20 = 25\\text{ salary}$$"",""Therefore, 20% of the salary represents 25 salary.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66899","PCT-QL-017","Medium","income","We will first connect the known percentage of the income with the required percentage. | 10% of the income equals 600 income. | Because 10% of the income has 10 equal 1% parts, divide 600 income by 10. | $$1\% = 600\text{ income} \div 10 = 60\text{ income}$$ | Now we need 25% of the income. | Because 1% is known, multiply its value by 25 to get 25% of the income. | $$25\% = 60\text{ income} \times 25 = 1,500\text{ income}$$ | Therefore, 25% of the income represents 1,500 income.","[""We will first connect the known percentage of the income with the required percentage."",""10% of the income equals 600 income."",""Because 10% of the income has 10 equal 1% parts, divide 600 income by 10. | $$1\\% = 600\\text{ income} \\div 10 = 60\\text{ income}$$"",""Now we need 25% of the income."",""Because 1% is known, multiply its value by 25 to get 25% of the income. | $$25\\% = 60\\text{ income} \\times 25 = 1,500\\text{ income}$$"",""Therefore, 25% of the income represents 1,500 income.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66900","PCT-QL-017","Hard","saving","We can see that both percentage values belong to the saving. | Here, 500 saving represents 40% of the saving. | Because 40% has 40 equal parts, dividing 500 saving by 40 gives 1% of the saving. | $$1\% = 500\text{ saving} \div 40 = 12.5\text{ saving}$$ | The question asks for 30% of the saving. | Since 1% is one part, multiply its value by 30 to get 30% of the saving. | $$30\% = 12.5\text{ saving} \times 30 = 375\text{ saving}$$ | The check agrees with the question: 40% gives 500 saving. | $$12.5\text{ saving} \times 40 = 500\text{ saving}$$ | So the share of the saving represented by 30% is 375 saving.","[""We can see that both percentage values belong to the saving."",""Here, 500 saving represents 40% of the saving."",""Because 40% has 40 equal parts, dividing 500 saving by 40 gives 1% of the saving. | $$1\\% = 500\\text{ saving} \\div 40 = 12.5\\text{ saving}$$"",""The question asks for 30% of the saving."",""Since 1% is one part, multiply its value by 30 to get 30% of the saving. | $$30\\% = 12.5\\text{ saving} \\times 30 = 375\\text{ saving}$$"",""The check agrees with the question: 40% gives 500 saving. | $$12.5\\text{ saving} \\times 40 = 500\\text{ saving}$$"",""So the share of the saving represented by 30% is 375 saving.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66902","PCT-QL-017","Medium","saving","The required percentage is the same 50% already given for the saving. | 50% of the saving is 300 saving. | There is no need to find 1% because the requested percentage is already known. | The question asks for that same 50% of the saving. | No multiplication or scaling is needed. | So 50% of the saving remains 300 saving.","[""The required percentage is the same 50% already given for the saving."",""50% of the saving is 300 saving."",""There is no need to find 1% because the requested percentage is already known."",""The question asks for that same 50% of the saving."",""No multiplication or scaling is needed."",""So 50% of the saving remains 300 saving.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66904","PCT-QL-017","Easy","expenditure","We know one percentage of the expenditure and need another. | We know that 80% of the expenditure is 200 expenditure. | Because 80% of the expenditure has 80 equal 1% parts, divide 200 expenditure by 80. | $$1\% = 200\text{ expenditure} \div 80 = 2.5\text{ expenditure}$$ | The required share is 10% of the expenditure. | Use the 1% value 10 times to get 10% of the expenditure. | $$10\% = 2.5\text{ expenditure} \times 10 = 25\text{ expenditure}$$ | This means the required expenditure count is 25 expenditure.","[""We know one percentage of the expenditure and need another."",""We know that 80% of the expenditure is 200 expenditure."",""Because 80% of the expenditure has 80 equal 1% parts, divide 200 expenditure by 80. | $$1\\% = 200\\text{ expenditure} \\div 80 = 2.5\\text{ expenditure}$$"",""The required share is 10% of the expenditure."",""Use the 1% value 10 times to get 10% of the expenditure. | $$10\\% = 2.5\\text{ expenditure} \\times 10 = 25\\text{ expenditure}$$"",""This means the required expenditure count is 25 expenditure.""]","","","PENDING_REVIEW"
