"questionId","canonicalProblem","taskKind","qlId","language","difficulty","context","questionText","answer","approval","reviewerNotes","status"
"PCT-CP-002:PCT-QL-017:66906","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","income","If 40% of a number is 100, find 20% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66930","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","salary","If 80% of a number is 100, find 20% of that number.","$$25$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66931","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","expenditure","If 10% of a number is 600, find 25% of that number.","$$1500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66933","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","income","If 20% of a number is 400, find 40% of that number.","$$800$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66934","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","salary","If 50% of a number is 300, find 50% of that number.","$$300$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66936","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","saving","If 80% of a number is 200, find 10% of that number.","$$25$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66937","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","salary","If 10% of a number is 150, find 15% of that number.","$$225$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66960","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","income","If 25% of a number is 200, find 10% of that number.","$$80$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66961","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","expenditure","If 30% of a number is 150, find 15% of that number.","$$75$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66962","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Medium","income","If 40% of a number is 100, find 20% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66963","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","expenditure","If 10% of a number is 600, find 25% of that number.","$$1500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79639","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","expenditure","In a competitive exam setup, if 10% of a number is 250, find 60% of that number.","$$1500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79640","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","saving","In a competitive exam setup, if 40% of a number is 200, find 10% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79641","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","expenditure","In a competitive exam setup, if 45% of a number is 150, find 15% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79642","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","salary","In a competitive exam setup, if 50% of a number is 100, find 20% of that number.","$$40$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79643","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","income","In a competitive exam setup, if 60% of a number is 600, find 25% of that number.","$$250$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79646","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","saving","In a competitive exam setup, if 40% of a number is 300, find 50% of that number.","$$375$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79671","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","expenditure","In a competitive exam setup, if 10% of a number is 250, find 60% of that number.","$$1500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79674","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","salary","In a competitive exam setup, if 50% of a number is 100, find 20% of that number.","$$40$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79675","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","expenditure","In a competitive exam setup, if 60% of a number is 600, find 25% of that number.","$$250$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79677","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","income","In a competitive exam setup, if 10% of a number is 400, find 40% of that number.","$$1600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79678","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","expenditure","In a competitive exam setup, if 40% of a number is 300, find 50% of that number.","$$375$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79700","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","income","In a competitive exam setup, if 25% of a number is 500, find 30% of that number.","$$600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79702","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","income","In a competitive exam setup, if 40% of a number is 300, find 50% of that number.","$$375$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79703","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","saving","In a competitive exam setup, if 10% of a number is 250, find 60% of that number.","$$1500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79706","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","salary","In a competitive exam setup, if 25% of a number is 100, find 20% of that number.","$$80$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79707","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","expenditure","In a competitive exam setup, if 30% of a number is 600, find 25% of that number.","$$500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79709","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","income","In a competitive exam setup, if 10% of a number is 400, find 40% of that number.","$$1600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79731","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","salary","In a competitive exam setup, if 60% of a number is 600, find 25% of that number.","$$250$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79732","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","expenditure","In a competitive exam setup, if 25% of a number is 500, find 30% of that number.","$$600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79734","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","income","In a competitive exam setup, if 40% of a number is 300, find 50% of that number.","$$375$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79736","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","income","In a competitive exam setup, if 50% of a number is 200, find 10% of that number.","$$40$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79738","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","salary","In a competitive exam setup, if 25% of a number is 100, find 20% of that number.","$$80$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79739","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","expenditure","In a competitive exam setup, if 30% of a number is 600, find 25% of that number.","$$500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79740","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","saving","In a competitive exam setup, if 40% of a number is 500, find 30% of that number.","$$375$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79762","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","expenditure","In a competitive exam setup, if 50% of a number is 100, find 20% of that number.","$$40$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79763","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","income","In a competitive exam setup, if 60% of a number is 600, find 25% of that number.","$$250$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79765","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","salary","In a competitive exam setup, if 10% of a number is 400, find 40% of that number.","$$1600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79766","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","income","In a competitive exam setup, if 40% of a number is 300, find 50% of that number.","$$375$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79768","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","expenditure","In a competitive exam setup, if 50% of a number is 200, find 10% of that number.","$$40$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79770","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","income","In a competitive exam setup, if 25% of a number is 100, find 20% of that number.","$$80$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79771","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","expenditure","In a competitive exam setup, if 30% of a number is 600, find 25% of that number.","$$500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79794","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","saving","In a competitive exam setup, if 25% of a number is 100, find 20% of that number.","$$80$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79795","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","salary","In a competitive exam setup, if 60% of a number is 600, find 25% of that number.","$$250$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79797","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","salary","In a competitive exam setup, if 10% of a number is 400, find 40% of that number.","$$1600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79798","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Medium","expenditure","In a competitive exam setup, if 15% of a number is 300, find 50% of that number.","$$1000$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79800","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","income","In a competitive exam setup, if 50% of a number is 200, find 10% of that number.","$$40$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79802","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","income","In a competitive exam setup, if 80% of a number is 100, find 20% of that number.","$$25$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79826","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","saving","In a competitive exam setup, if 25% of a number is 100, find 20% of that number.","$$80$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79827","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Easy","income","In a competitive exam setup, if 30% of a number is 600, find 25% of that number.","$$500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-117:79829","PCT-CP-002","percentOfKnownNumber","PCT-QL-117","en","Hard","income","In a competitive exam setup, if 10% of a number is 400, find 40% of that number.","$$1600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25175","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","income","If 20% of a number is 250, find 60% of that number.","$$750$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25176","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","expenditure","If 25% of a number is 200, find 10% of that number.","$$80$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25177","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Hard","salary","If 30% of a number is 150, find 15% of that number.","$$75$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25178","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","expenditure","If 40% of a number is 100, find 20% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25181","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","saving","If 20% of a number is 400, find 40% of that number.","$$800$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25182","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","income","If 25% of a number is 300, find 50% of that number.","$$600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25184","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","income","If 40% of a number is 200, find 10% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25206","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","salary","If 50% of a number is 300, find 50% of that number.","$$300$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25208","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","saving","If 80% of a number is 200, find 10% of that number.","$$25$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25209","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","salary","If 30% of a number is 150, find 15% of that number.","$$75$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25210","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Hard","expenditure","If 40% of a number is 100, find 20% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25212","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","expenditure","If 50% of a number is 500, find 30% of that number.","$$300$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25214","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","income","If 25% of a number is 300, find 50% of that number.","$$600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25237","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Hard","expenditure","If 20% of a number is 400, find 40% of that number.","$$800$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25238","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","saving","If 50% of a number is 300, find 50% of that number.","$$300$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25240","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Hard","saving","If 80% of a number is 200, find 10% of that number.","$$25$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25241","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","income","If 10% of a number is 150, find 15% of that number.","$$225$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25244","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","saving","If 50% of a number is 500, find 30% of that number.","$$300$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25269","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","expenditure","If 20% of a number is 400, find 40% of that number.","$$800$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25270","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Hard","salary","If 25% of a number is 300, find 50% of that number.","$$600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25272","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","salary","If 80% of a number is 200, find 10% of that number.","$$25$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25273","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Hard","income","If 10% of a number is 150, find 15% of that number.","$$225$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25275","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","income","If 20% of a number is 600, find 25% of that number.","$$750$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25276","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Hard","expenditure","If 25% of a number is 500, find 30% of that number.","$$600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25300","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Hard","income","If 50% of a number is 500, find 30% of that number.","$$300$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25301","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","saving","If 20% of a number is 400, find 40% of that number.","$$800$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25302","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","salary","If 25% of a number is 300, find 50% of that number.","$$600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25304","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","saving","If 40% of a number is 200, find 10% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25305","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","income","If 45% of a number is 150, find 15% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25307","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","income","If 20% of a number is 600, find 25% of that number.","$$750$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25308","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","saving","If 25% of a number is 500, find 30% of that number.","$$600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25330","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Hard","income","If 40% of a number is 100, find 20% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25332","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","income","If 50% of a number is 500, find 30% of that number.","$$300$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25336","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Hard","salary","If 40% of a number is 200, find 10% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25337","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","income","If 45% of a number is 150, find 15% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25338","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Medium","saving","If 50% of a number is 100, find 20% of that number.","$$40$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25339","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Hard","expenditure","If 60% of a number is 600, find 25% of that number.","$$250$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25361","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","salary","If 10% of a number is 150, find 15% of that number.","$$225$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25363","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Hard","saving","If 20% of a number is 600, find 25% of that number.","$$750$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-217:25364","PCT-CP-002","percentOfKnownNumber","PCT-QL-217","en","Easy","income","If 50% of a number is 500, find 30% of that number.","$$300$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38010","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Hard","salary","If the following conditions hold: If 25% of a number is 100, find 20% of that number.","$$80$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38011","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Easy","expenditure","If the following conditions hold: If 60% of a number is 600, find 25% of that number.","$$250$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38013","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Hard","expenditure","If the following conditions hold: If 10% of a number is 400, find 40% of that number.","$$1600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38014","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Easy","saving","If the following conditions hold: If 15% of a number is 300, find 50% of that number.","$$1000$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38015","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Medium","income","If the following conditions hold: If 20% of a number is 250, find 60% of that number.","$$750$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38016","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Hard","saving","If the following conditions hold: If 50% of a number is 200, find 10% of that number.","$$40$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38042","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Medium","income","If the following conditions hold: If 25% of a number is 100, find 20% of that number.","$$80$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38043","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Hard","expenditure","If the following conditions hold: If 30% of a number is 600, find 25% of that number.","$$500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38044","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Easy","salary","If the following conditions hold: If 40% of a number is 500, find 30% of that number.","$$375$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38045","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Medium","expenditure","If the following conditions hold: If 10% of a number is 400, find 40% of that number.","$$1600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38046","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Hard","salary","If the following conditions hold: If 15% of a number is 300, find 50% of that number.","$$1000$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38047","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Easy","expenditure","If the following conditions hold: If 20% of a number is 250, find 60% of that number.","$$750$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-317:38048","PCT-CP-002","percentOfKnownNumber","PCT-QL-317","en","Medium","saving","If the following conditions hold: If 25% of a number is 200, find 10% of that number.","$$80$$","","","PENDING_REVIEW"
