archetypeId,canonicalProblemId,questionId,difficultyBand,questionLanguageId,stem,answer,explanationStyleId,n,expression,zeroCount,base,exponent,numberA,numberB
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:31,Medium,QL-027,The value of 54! ends with how many zeros?,12,ES-001,54,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:32,Medium,QL-002,How many zeros occur at the end of 613! ?,150,ES-001,613,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:33,Easy,QL-001,Find the number of trailing zeros in 4!.,0,ES-001,4,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:34,Medium,QL-006,Calculate the number of zeros at the end of 83!.,19,ES-001,83,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:35,Easy,QL-001,Find the number of trailing zeros in 2!.,0,ES-001,2,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:36,Medium,QL-006,Calculate the number of zeros at the end of 113!.,26,ES-001,113,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:37,Hard,QL-029,Find the number of terminal zeros in the decimal representation of 1336!.,332,ES-001,1336,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:38,Medium,QL-030,The factorial of 171 is written in decimal form. How many trailing zeros does it contain?,41,ES-001,171,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:39,Medium,QL-001,Find the number of trailing zeros in 1190!.,295,ES-001,1190,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:40,Easy,QL-001,Find the number of trailing zeros in 2!.,0,ES-001,2,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:41,Medium,QL-030,The factorial of 35 is written in decimal form. How many trailing zeros does it contain?,8,ES-001,35,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:42,Medium,QL-003,Determine the number of trailing zeros in 204!.,49,ES-001,204,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:43,Medium,QL-028,How many zeros appear consecutively at the end of 53! ?,12,ES-001,53,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:44,Easy,QL-027,The value of 2! ends with how many zeros?,0,ES-001,2,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:45,Hard,QL-028,How many zeros appear consecutively at the end of 5663! ?,1413,ES-001,5663,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:46,Hard,QL-003,Determine the number of trailing zeros in 2368!.,588,ES-001,2368,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:47,Medium,QL-002,How many zeros occur at the end of 53! ?,12,ES-001,53,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:48,Hard,QL-029,Find the number of terminal zeros in the decimal representation of 11266!.,2814,ES-001,11266,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:49,Easy,QL-002,How many zeros occur at the end of 47! ?,10,ES-001,47,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:50,Easy,QL-030,The factorial of 17 is written in decimal form. How many trailing zeros does it contain?,3,ES-001,17,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:51,Medium,QL-003,Determine the number of trailing zeros in 72!.,16,ES-001,72,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:52,Medium,QL-006,Calculate the number of zeros at the end of 1311!.,326,ES-001,1311,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:53,Easy,QL-027,The value of 122! ends with how many zeros?,28,ES-001,122,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:54,Medium,QL-004,Find the count of terminal zeros in 601!.,148,ES-001,601,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:55,Hard,QL-027,The value of 8788! ends with how many zeros?,2194,ES-001,8788,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:56,Medium,QL-002,How many zeros occur at the end of 119! ?,27,ES-001,119,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:57,Easy,QL-001,Find the number of trailing zeros in 2!.,0,ES-001,2,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:58,Medium,QL-028,How many zeros appear consecutively at the end of 1325! ?,330,ES-001,1325,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:59,Medium,QL-001,Find the number of trailing zeros in 320!.,78,ES-001,320,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:60,Medium,QL-001,Find the number of trailing zeros in 144!.,34,ES-001,144,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:61,Medium,QL-028,How many zeros appear consecutively at the end of 45! ?,10,ES-001,45,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:62,Hard,QL-005,How many trailing zeros does 2166! contain?,539,ES-001,2166,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:63,Hard,QL-030,The factorial of 1583 is written in decimal form. How many trailing zeros does it contain?,393,ES-001,1583,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:64,Hard,QL-005,How many trailing zeros does 12780! contain?,3193,ES-001,12780,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:65,Easy,QL-028,How many zeros appear consecutively at the end of 25! ?,6,ES-001,25,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:66,Easy,QL-027,The value of 22! ends with how many zeros?,4,ES-001,22,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:67,Easy,QL-030,The factorial of 19 is written in decimal form. How many trailing zeros does it contain?,3,ES-001,19,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:68,Medium,QL-005,How many trailing zeros does 116! contain?,27,ES-001,116,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:69,Easy,QL-004,Find the count of terminal zeros in 65!.,15,ES-001,65,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:70,Medium,QL-030,The factorial of 343 is written in decimal form. How many trailing zeros does it contain?,83,ES-001,343,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:71,Easy,QL-029,Find the number of terminal zeros in the decimal representation of 2!.,0,ES-001,2,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:72,Easy,QL-030,The factorial of 9 is written in decimal form. How many trailing zeros does it contain?,1,ES-001,9,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:73,Easy,QL-003,Determine the number of trailing zeros in 36!.,8,ES-001,36,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:74,Medium,QL-028,How many zeros appear consecutively at the end of 739! ?,182,ES-001,739,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:75,Easy,QL-001,Find the number of trailing zeros in 18!.,3,ES-001,18,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:76,Medium,QL-028,How many zeros appear consecutively at the end of 489! ?,119,ES-001,489,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:77,Hard,QL-029,Find the number of terminal zeros in the decimal representation of 2496!.,620,ES-001,2496,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:78,Easy,QL-006,Calculate the number of zeros at the end of 3!.,0,ES-001,3,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:79,Hard,QL-001,Find the number of trailing zeros in 11634!.,2905,ES-001,11634,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:80,Easy,QL-001,Find the number of trailing zeros in 14!.,2,ES-001,14,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:81,Medium,QL-006,Calculate the number of zeros at the end of 127!.,31,ES-001,127,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:82,Hard,QL-005,How many trailing zeros does 5576! contain?,1391,ES-001,5576,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:83,Medium,QL-006,Calculate the number of zeros at the end of 161!.,39,ES-001,161,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:84,Medium,QL-027,The value of 1250! ends with how many zeros?,312,ES-001,1250,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:85,Easy,QL-002,How many zeros occur at the end of 123! ?,28,ES-001,123,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:86,Easy,QL-001,Find the number of trailing zeros in 24!.,4,ES-001,24,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:87,Medium,QL-028,How many zeros appear consecutively at the end of 1333! ?,331,ES-001,1333,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:88,Easy,QL-003,Determine the number of trailing zeros in 10!.,2,ES-001,10,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:89,Medium,QL-004,Find the count of terminal zeros in 683!.,169,ES-001,683,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:90,Medium,QL-030,The factorial of 469 is written in decimal form. How many trailing zeros does it contain?,114,ES-001,469,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:91,Easy,QL-027,The value of 4! ends with how many zeros?,0,ES-001,4,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:92,Medium,QL-028,How many zeros appear consecutively at the end of 295! ?,72,ES-001,295,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:93,Easy,QL-001,Find the number of trailing zeros in 2!.,0,ES-001,2,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:94,Easy,QL-002,How many zeros occur at the end of 5! ?,1,ES-001,5,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:95,Medium,QL-003,Determine the number of trailing zeros in 384!.,94,ES-001,384,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:96,Easy,QL-002,How many zeros occur at the end of 7! ?,1,ES-001,7,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:97,Easy,QL-001,Find the number of trailing zeros in 90!.,21,ES-001,90,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:98,Hard,QL-004,Find the count of terminal zeros in 857!.,212,ES-001,857,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:99,Easy,QL-001,Find the number of trailing zeros in 4!.,0,ES-001,4,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:100,Medium,QL-006,Calculate the number of zeros at the end of 117!.,27,ES-001,117,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:101,Easy,QL-001,Find the number of trailing zeros in 16!.,3,ES-001,16,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:102,Easy,QL-028,How many zeros appear consecutively at the end of 3! ?,0,ES-001,3,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:103,Easy,QL-005,How many trailing zeros does 10! contain?,2,ES-001,10,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:104,Medium,QL-002,How many zeros occur at the end of 1029! ?,255,ES-001,1029,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:105,Hard,QL-027,The value of 932! ends with how many zeros?,231,ES-001,932,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:106,Medium,QL-004,Find the count of terminal zeros in 607!.,149,ES-001,607,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:107,Medium,QL-027,The value of 1290! ends with how many zeros?,321,ES-001,1290,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:108,Medium,QL-006,Calculate the number of zeros at the end of 57!.,13,ES-001,57,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:109,Easy,QL-027,The value of 4! ends with how many zeros?,0,ES-001,4,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:110,Easy,QL-001,Find the number of trailing zeros in 58!.,13,ES-001,58,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:111,Medium,QL-006,Calculate the number of zeros at the end of 431!.,106,ES-001,431,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:112,Easy,QL-001,Find the number of trailing zeros in 8!.,1,ES-001,8,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:113,Medium,QL-002,How many zeros occur at the end of 113! ?,26,ES-001,113,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:114,Easy,QL-003,Determine the number of trailing zeros in 50!.,12,ES-001,50,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:115,Hard,QL-002,How many zeros occur at the end of 811! ?,201,ES-001,811,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:116,Easy,QL-003,Determine the number of trailing zeros in 4!.,0,ES-001,4,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:117,Medium,QL-028,How many zeros appear consecutively at the end of 1345! ?,334,ES-001,1345,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:118,Easy,QL-029,Find the number of terminal zeros in the decimal representation of 2!.,0,ES-001,2,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:119,Easy,QL-028,How many zeros appear consecutively at the end of 15! ?,3,ES-001,15,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:120,Easy,QL-006,Calculate the number of zeros at the end of 103!.,24,ES-001,103,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:121,Easy,QL-029,Find the number of terminal zeros in the decimal representation of 50!.,12,ES-001,50,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:122,Easy,QL-030,The factorial of 5 is written in decimal form. How many trailing zeros does it contain?,1,ES-001,5,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:123,Medium,QL-027,The value of 36! ends with how many zeros?,8,ES-001,36,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:124,Easy,QL-028,How many zeros appear consecutively at the end of 103! ?,24,ES-001,103,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:125,Hard,QL-005,How many trailing zeros does 4594! contain?,1145,ES-001,4594,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:126,Medium,QL-028,How many zeros appear consecutively at the end of 1209! ?,299,ES-001,1209,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:127,Hard,QL-027,The value of 1848! ends with how many zeros?,458,ES-001,1848,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:128,Easy,QL-028,How many zeros appear consecutively at the end of 59! ?,13,ES-001,59,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:129,Hard,QL-029,Find the number of terminal zeros in the decimal representation of 2498!.,620,ES-001,2498,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:130,Easy,QL-001,Find the number of trailing zeros in 4!.,0,ES-001,4,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:131,Hard,QL-028,How many zeros appear consecutively at the end of 10169! ?,2539,ES-001,10169,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:132,Easy,QL-003,Determine the number of trailing zeros in 70!.,16,ES-001,70,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:133,Hard,QL-006,Calculate the number of zeros at the end of 2175!.,542,ES-001,2175,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:134,Medium,QL-005,How many trailing zeros does 40! contain?,9,ES-001,40,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:135,Medium,QL-004,Find the count of terminal zeros in 1013!.,251,ES-001,1013,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:136,Medium,QL-027,The value of 118! ends with how many zeros?,27,ES-001,118,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:137,Medium,QL-006,Calculate the number of zeros at the end of 379!.,93,ES-001,379,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:138,Hard,QL-001,Find the number of trailing zeros in 844!.,208,ES-001,844,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:139,Medium,QL-030,The factorial of 109 is written in decimal form. How many trailing zeros does it contain?,25,ES-001,109,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:140,Medium,QL-004,Find the count of terminal zeros in 413!.,101,ES-001,413,,,,,,
