questionId,cpId,stem,answer,difficulty,questionLanguageId,explanationStyleId
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:29,CP-001,Find the greatest number that divides each of 360 and 540 exactly.,180,Hard,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:30,CP-001,What is the HCF of 35 and 64?,1,Easy,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:31,CP-001,"What is the largest common factor of 420, 630 and 840?",210,Hard,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:32,CP-001,Find the HCF of 45 and 60.,15,Easy,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:33,CP-001,"Which is the largest number that divides all of 252, 378 and 630 without leaving a remainder?",126,Hard,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:34,CP-001,"Find the greatest positive integer by which each of 125, 175 and 225 is divisible.",25,Medium,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:35,CP-001,"Find the greatest common divisor (GCD) of 125, 175 and 225.",25,Medium,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:36,CP-001,Find the greatest number that divides each of 81 and 128 exactly.,1,Medium,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:37,CP-001,Find the highest common factor of 96 and 144.,48,Medium,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:38,CP-001,"What is the HCF of 420, 630 and 840?",210,Hard,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:39,CP-001,What is the largest common factor of 81 and 128?,1,Medium,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:40,CP-001,Find the greatest common divisor (GCD) of 84 and 126.,42,Medium,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:41,CP-001,Find the greatest positive integer by which each of 84 and 126 is divisible.,42,Medium,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:42,CP-001,Find the highest common factor of 81 and 128.,1,Medium,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:43,CP-001,Find the greatest number that divides each of 360 and 540 exactly.,180,Hard,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:44,CP-001,What is the largest common factor of 924 and 1386?,462,Hard,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:45,CP-001,What is the HCF of 45 and 60?,15,Easy,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:46,CP-001,"Which is the largest number that divides all of 420, 630 and 840 without leaving a remainder?",210,Hard,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:47,CP-001,"Find the HCF of 72, 108 and 180.",36,Medium,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:48,CP-001,Find the greatest common divisor (GCD) of 35 and 64.,1,Easy,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:49,CP-001,Find the greatest positive integer by which each of 48 and 72 is divisible.,24,Easy,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:50,CP-001,Find the greatest number that divides each of 96 and 144 exactly.,48,Medium,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:51,CP-001,Find the highest common factor of 96 and 144.,48,Medium,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:52,CP-001,Find the greatest positive integer by which each of 512 and 729 is divisible.,1,Hard,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:53,CP-001,Find the greatest common divisor (GCD) of 45 and 60.,15,Easy,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:54,CP-001,Find the HCF of 48 and 72.,24,Easy,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:55,CP-001,Which is the largest number that divides all of 81 and 128 without leaving a remainder?,1,Medium,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:56,CP-001,"What is the HCF of 72, 108 and 180?",36,Medium,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:57,CP-001,What is the largest common factor of 96 and 144?,48,Medium,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:58,CP-001,Find the greatest number that divides each of 84 and 126 exactly.,42,Medium,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:59,CP-001,Find the highest common factor of 24 and 36.,12,Easy,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:60,CP-001,"Which is the largest number that divides all of 18, 30 and 42 without leaving a remainder?",6,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:61,CP-001,Find the HCF of 924 and 1386.,462,Hard,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:62,CP-001,What is the largest common factor of 84 and 126?,42,Medium,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:63,CP-001,What is the HCF of 24 and 36?,12,Easy,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:64,CP-001,Find the highest common factor of 45 and 60.,15,Easy,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:65,CP-001,Find the greatest number that divides each of 512 and 729 exactly.,1,Hard,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:66,CP-001,"Find the greatest common divisor (GCD) of 18, 30 and 42.",6,Easy,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:67,CP-001,Find the greatest positive integer by which each of 48 and 72 is divisible.,24,Easy,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:68,CP-001,Which is the largest number that divides all of 48 and 72 without leaving a remainder?,24,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:69,CP-001,Find the HCF of 45 and 60.,15,Easy,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:70,CP-001,Find the greatest positive integer by which each of 24 and 36 is divisible.,12,Easy,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:71,CP-001,"Find the greatest common divisor (GCD) of 420, 630 and 840.",210,Hard,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:72,CP-001,"Find the greatest number that divides each of 125, 175 and 225 exactly.",25,Medium,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:73,CP-001,Find the highest common factor of 81 and 128.,1,Medium,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:74,CP-001,What is the HCF of 81 and 128?,1,Medium,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:75,CP-001,What is the largest common factor of 81 and 128?,1,Medium,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:76,CP-001,Find the HCF of 96 and 144.,48,Medium,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:77,CP-001,Which is the largest number that divides all of 81 and 128 without leaving a remainder?,1,Medium,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:78,CP-001,Find the greatest positive integer by which each of 24 and 36 is divisible.,12,Easy,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:79,CP-001,Find the greatest common divisor (GCD) of 81 and 128.,1,Medium,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:80,CP-001,What is the largest common factor of 924 and 1386?,462,Hard,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:81,CP-001,"What is the HCF of 125, 175 and 225?",25,Medium,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:82,CP-001,Which is the largest number that divides all of 48 and 72 without leaving a remainder?,24,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:83,CP-001,Find the HCF of 48 and 72.,24,Easy,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:84,CP-001,Find the greatest common divisor (GCD) of 96 and 144.,48,Medium,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:85,CP-001,Find the greatest positive integer by which each of 81 and 128 is divisible.,1,Medium,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:86,CP-001,"Find the highest common factor of 18, 30 and 42.",6,Easy,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:87,CP-001,"Find the greatest number that divides each of 125, 175 and 225 exactly.",25,Medium,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:88,CP-001,"What is the largest common factor of 125, 175 and 225?",25,Medium,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:89,CP-001,"What is the HCF of 125, 175 and 225?",25,Medium,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:90,CP-001,"Find the HCF of 252, 378 and 630.",126,Hard,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:91,CP-001,Which is the largest number that divides all of 48 and 72 without leaving a remainder?,24,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:92,CP-001,"What is the HCF of 420, 630 and 840?",210,Hard,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:93,CP-001,What is the largest common factor of 24 and 36?,12,Easy,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:94,CP-001,Find the greatest number that divides each of 35 and 64 exactly.,1,Easy,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:95,CP-001,"Find the highest common factor of 420, 630 and 840.",210,Hard,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:96,CP-001,Find the greatest positive integer by which each of 924 and 1386 is divisible.,462,Hard,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:97,CP-001,Find the greatest common divisor (GCD) of 48 and 72.,24,Easy,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:98,CP-001,"Find the HCF of 18, 30 and 42.",6,Easy,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:99,CP-001,Which is the largest number that divides all of 48 and 72 without leaving a remainder?,24,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:100,CP-001,"What is the HCF of 125, 175 and 225?",25,Medium,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:101,CP-001,What is the largest common factor of 81 and 128?,1,Medium,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:102,CP-001,Find the HCF of 512 and 729.,1,Hard,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:103,CP-001,"Which is the largest number that divides all of 18, 30 and 42 without leaving a remainder?",6,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:104,CP-001,Find the greatest positive integer by which each of 81 and 128 is divisible.,1,Medium,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:105,CP-001,Find the greatest common divisor (GCD) of 84 and 126.,42,Medium,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:106,CP-001,"Find the greatest number that divides each of 72, 108 and 180 exactly.",36,Medium,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:107,CP-001,Find the highest common factor of 35 and 64.,1,Easy,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:108,CP-001,What is the HCF of 96 and 144?,48,Medium,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:109,CP-001,What is the largest common factor of 35 and 64?,1,Easy,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:110,CP-001,Find the highest common factor of 96 and 144.,48,Medium,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:111,CP-001,Find the greatest number that divides each of 360 and 540 exactly.,180,Hard,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:112,CP-001,Find the greatest common divisor (GCD) of 48 and 72.,24,Easy,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:113,CP-001,Find the greatest positive integer by which each of 360 and 540 is divisible.,180,Hard,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:114,CP-001,Which is the largest number that divides all of 48 and 72 without leaving a remainder?,24,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:115,CP-001,"Find the HCF of 72, 108 and 180.",36,Medium,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:116,CP-001,What is the largest common factor of 84 and 126?,42,Medium,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:117,CP-001,What is the HCF of 96 and 144?,48,Medium,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:118,CP-001,"Find the highest common factor of 125, 175 and 225.",25,Medium,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:119,CP-001,"Find the greatest number that divides each of 125, 175 and 225 exactly.",25,Medium,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:120,CP-001,"Find the HCF of 125, 175 and 225.",25,Medium,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:121,CP-001,Which is the largest number that divides all of 360 and 540 without leaving a remainder?,180,Hard,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:122,CP-001,What is the HCF of 84 and 126?,42,Medium,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:123,CP-001,What is the largest common factor of 48 and 72?,24,Easy,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:124,CP-001,Find the greatest number that divides each of 84 and 126 exactly.,42,Medium,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:125,CP-001,Find the highest common factor of 81 and 128.,1,Medium,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:126,CP-001,Find the greatest positive integer by which each of 96 and 144 is divisible.,48,Medium,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:127,CP-001,Find the greatest common divisor (GCD) of 360 and 540.,180,Hard,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:128,CP-001,Find the HCF of 924 and 1386.,462,Hard,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:129,CP-001,"Which is the largest number that divides all of 18, 30 and 42 without leaving a remainder?",6,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:130,CP-001,What is the largest common factor of 96 and 144?,48,Medium,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:131,CP-001,"What is the HCF of 18, 30 and 42?",6,Easy,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:132,CP-001,Which is the largest number that divides all of 360 and 540 without leaving a remainder?,180,Hard,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:133,CP-001,Find the HCF of 360 and 540.,180,Hard,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:134,CP-001,Find the greatest common divisor (GCD) of 24 and 36.,12,Easy,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:135,CP-001,Find the greatest positive integer by which each of 35 and 64 is divisible.,1,Easy,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:136,CP-001,Find the highest common factor of 81 and 128.,1,Medium,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:137,CP-001,"Find the greatest number that divides each of 18, 30 and 42 exactly.",6,Easy,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:138,CP-001,What is the largest common factor of 24 and 36?,12,Easy,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:139,CP-001,"What is the HCF of 18, 30 and 42?",6,Easy,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:140,CP-001,Find the greatest positive integer by which each of 512 and 729 is divisible.,1,Hard,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:141,CP-001,Find the greatest common divisor (GCD) of 24 and 36.,12,Easy,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:142,CP-001,"Find the greatest number that divides each of 125, 175 and 225 exactly.",25,Medium,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:143,CP-001,Find the highest common factor of 81 and 128.,1,Medium,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:144,CP-001,What is the HCF of 924 and 1386?,462,Hard,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:145,CP-001,What is the largest common factor of 24 and 36?,12,Easy,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:146,CP-001,Find the HCF of 81 and 128.,1,Medium,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:147,CP-001,"Which is the largest number that divides all of 72, 108 and 180 without leaving a remainder?",36,Medium,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:148,CP-001,Find the greatest positive integer by which each of 35 and 64 is divisible.,1,Easy,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:149,CP-001,Find the greatest common divisor (GCD) of 96 and 144.,48,Medium,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:150,CP-001,Which is the largest number that divides all of 48 and 72 without leaving a remainder?,24,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:151,CP-001,Find the HCF of 360 and 540.,180,Hard,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:152,CP-001,What is the largest common factor of 35 and 64?,1,Easy,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:153,CP-001,What is the HCF of 96 and 144?,48,Medium,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:154,CP-001,Find the highest common factor of 84 and 126.,42,Medium,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:155,CP-001,Find the greatest number that divides each of 24 and 36 exactly.,12,Easy,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:156,CP-001,Find the greatest common divisor (GCD) of 45 and 60.,15,Easy,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:157,CP-001,Find the greatest positive integer by which each of 81 and 128 is divisible.,1,Medium,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:158,CP-001,Which is the largest number that divides all of 48 and 72 without leaving a remainder?,24,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:159,CP-001,"Find the HCF of 125, 175 and 225.",25,Medium,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:160,CP-001,Find the greatest number that divides each of 924 and 1386 exactly.,462,Hard,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:161,CP-001,Find the highest common factor of 924 and 1386.,462,Hard,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:162,CP-001,Find the greatest positive integer by which each of 35 and 64 is divisible.,1,Easy,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:163,CP-001,Find the greatest common divisor (GCD) of 360 and 540.,180,Hard,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:164,CP-001,"Find the HCF of 72, 108 and 180.",36,Medium,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:165,CP-001,Which is the largest number that divides all of 24 and 36 without leaving a remainder?,12,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:166,CP-001,"What is the HCF of 125, 175 and 225?",25,Medium,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:167,CP-001,What is the largest common factor of 24 and 36?,12,Easy,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:168,CP-001,"Find the greatest number that divides each of 72, 108 and 180 exactly.",36,Medium,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:169,CP-001,Find the highest common factor of 45 and 60.,15,Easy,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:170,CP-001,Find the greatest common divisor (GCD) of 96 and 144.,48,Medium,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:171,CP-001,"Find the greatest positive integer by which each of 72, 108 and 180 is divisible.",36,Medium,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:172,CP-001,Find the highest common factor of 45 and 60.,15,Easy,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:173,CP-001,Find the greatest number that divides each of 96 and 144 exactly.,48,Medium,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:174,CP-001,What is the largest common factor of 360 and 540?,180,Hard,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:175,CP-001,What is the HCF of 84 and 126?,42,Medium,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:176,CP-001,"Which is the largest number that divides all of 125, 175 and 225 without leaving a remainder?",25,Medium,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:177,CP-001,"Find the HCF of 252, 378 and 630.",126,Hard,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:178,CP-001,Find the greatest common divisor (GCD) of 924 and 1386.,462,Hard,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:179,CP-001,Find the greatest positive integer by which each of 48 and 72 is divisible.,24,Easy,QL-007,ES-001
