Question ID,CP,Pattern ID,Instance ID,Divisor,Target Remainder,Difficulty Band,Question Language ID,Explanation Style ID,Question,Answer,Explanation
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:43:0,CP-001,REM-SP-4-3,NS-REM-001:REM-SP-4-3:49x7:0,7,2,Easy,QL-001,ES-005,Find the value of x if 49x7 leaves remainder 2 when divided by 7.,3,"Checking all possible values gives:

3

Hence the answer is:

3"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:44:2,CP-001,REM-SP-6-1,NS-REM-001:REM-SP-6-1:x87092:2,45,22,Hard,QL-002,ES-002,Determine x if x87092 leaves remainder 22 on division by 45.,5,"The required remainder is 22.

Valid values of x:

5

Answer:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:45:0,CP-001,REM-SP-4-1,NS-REM-001:REM-SP-4-1:x783:0,9,1,Easy,QL-001,ES-005,Find the value of x if x783 leaves remainder 1 when divided by 9.,1,"Checking all possible values gives:

1

Hence the answer is:

1"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:46:1,CP-001,REM-SP-5-5,NS-REM-001:REM-SP-5-5:1098x:1,14,12,Medium,QL-003,ES-004,The number 1098x leaves remainder 12 when divided by 14. Find x.,8,"Valid values of x:

8

Required answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:47:1,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:812x:1,11,5,Medium,QL-001,ES-001,Find the value of x if 812x leaves remainder 5 when divided by 11.,3,"Check all possible values of x.

Valid values:

3

Answer:

3"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:48:2,CP-001,REM-SP-5-4,NS-REM-001:REM-SP-5-4:787x3:2,24,17,Medium,QL-002,ES-001,Determine x if 787x3 leaves remainder 17 on division by 24.,1,"Check all possible values of x.

Valid values:

1

Answer:

1"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:49:5,CP-001,REM-SP-3-3,NS-REM-001:REM-SP-3-3:99x:5,9,6,Easy,QL-001,ES-001,Find the value of x if 99x leaves remainder 6 when divided by 9.,6,"Check all possible values of x.

Valid values:

6

Answer:

6"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:50:0,CP-001,REM-SP-6-6,NS-REM-001:REM-SP-6-6:70943x:0,10,2,Hard,QL-003,ES-002,The number 70943x leaves remainder 2 when divided by 10. Find x.,2,"The required remainder is 2.

Valid values of x:

2

Answer:

2"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:51:1,CP-001,REM-SP-5-3,NS-REM-001:REM-SP-5-3:12x09:1,11,1,Medium,QL-002,ES-002,Determine x if 12x09 leaves remainder 1 on division by 11.,4,"The required remainder is 1.

Valid values of x:

4

Answer:

4"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:52:2,CP-001,REM-SP-6-2,NS-REM-001:REM-SP-6-2:1x9214:2,72,38,Hard,QL-005,ES-002,"Find x.

Given:

1x9214 leaves remainder 38 when divided by 72.",3,"The required remainder is 38.

Valid values of x:

3

Answer:

3"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:53:4,CP-001,REM-SP-5-4,NS-REM-001:REM-SP-5-4:421x3:4,13,11,Medium,QL-004,ES-003,What should be the value of x so that 421x3 leaves remainder 11 when divided by 13?,8,"Substitute possible values of x and check the remainder.

Valid values:

8

Answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:54:0,CP-001,REM-SP-6-4,NS-REM-001:REM-SP-6-4:443x98:0,19,4,Hard,QL-005,ES-001,"Find x.

Given:

443x98 leaves remainder 4 when divided by 19.",1,"Check all possible values of x.

Valid values:

1

Answer:

1"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:55:2,CP-001,REM-SP-4-2,NS-REM-001:REM-SP-4-2:6x83:2,13,6,Medium,QL-001,ES-002,Find the value of x if 6x83 leaves remainder 6 when divided by 13.,8,"The required remainder is 6.

Valid values of x:

8

Answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:56:5,CP-001,REM-SP-6-5,NS-REM-001:REM-SP-6-5:9874x2:5,13,2,Hard,QL-005,ES-005,"Find x.

Given:

9874x2 leaves remainder 2 when divided by 13.",8,"Checking all possible values gives:

8

Hence the answer is:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:57:2,CP-001,REM-SP-6-5,NS-REM-001:REM-SP-6-5:7216x8:2,75,33,Hard,QL-004,ES-002,What should be the value of x so that 7216x8 leaves remainder 33 when divided by 75?,0,"The required remainder is 33.

Valid values of x:

0

Answer:

0"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:58:0,CP-001,REM-SP-6-4,NS-REM-001:REM-SP-6-4:143x10:0,13,10,Hard,QL-002,ES-003,Determine x if 143x10 leaves remainder 10 on division by 13.,0,"Substitute possible values of x and check the remainder.

Valid values:

0

Answer:

0"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:59:2,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:578x:2,13,0,Medium,QL-005,ES-001,"Find x.

Given:

578x leaves remainder 0 when divided by 13.",5,"Check all possible values of x.

Valid values:

5

Answer:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:60:2,CP-001,REM-SP-6-1,NS-REM-001:REM-SP-6-1:x21098:2,19,4,Hard,QL-004,ES-005,What should be the value of x so that x21098 leaves remainder 4 when divided by 19?,5,"Checking all possible values gives:

5

Hence the answer is:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:61:2,CP-001,REM-SP-3-2,NS-REM-001:REM-SP-3-2:4x8:2,7,6,Easy,QL-002,ES-001,Determine x if 4x8 leaves remainder 6 on division by 7.,6,"Check all possible values of x.

Valid values:

6

Answer:

6"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:62:1,CP-001,REM-SP-5-5,NS-REM-001:REM-SP-5-5:4654x:1,40,28,Hard,QL-005,ES-004,"Find x.

Given:

4654x leaves remainder 28 when divided by 40.",8,"Valid values of x:

8

Required answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:63:1,CP-001,REM-SP-4-2,NS-REM-001:REM-SP-4-2:5x63:1,13,6,Medium,QL-003,ES-005,The number 5x63 leaves remainder 6 when divided by 13. Find x.,0,"Checking all possible values gives:

0

Hence the answer is:

0"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:64:1,CP-001,REM-SP-6-6,NS-REM-001:REM-SP-6-6:78709x:1,14,12,Hard,QL-005,ES-002,"Find x.

Given:

78709x leaves remainder 12 when divided by 14.",2,"The required remainder is 12.

Valid values of x:

2

Answer:

2"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:65:2,CP-001,REM-SP-5-5,NS-REM-001:REM-SP-5-5:4876x:2,10,6,Hard,QL-003,ES-003,The number 4876x leaves remainder 6 when divided by 10. Find x.,6,"Substitute possible values of x and check the remainder.

Valid values:

6

Answer:

6"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:66:1,CP-001,REM-SP-6-4,NS-REM-001:REM-SP-6-4:843x58:1,11,9,Hard,QL-004,ES-003,What should be the value of x so that 843x58 leaves remainder 9 when divided by 11?,2,"Substitute possible values of x and check the remainder.

Valid values:

2

Answer:

2"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:67:2,CP-001,REM-SP-6-6,NS-REM-001:REM-SP-6-6:34387x:2,16,14,Hard,QL-005,ES-005,"Find x.

Given:

34387x leaves remainder 14 when divided by 16.",0,"Checking all possible values gives:

0

Hence the answer is:

0"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:68:0,CP-001,REM-SP-3-3,NS-REM-001:REM-SP-3-3:29x:0,6,1,Easy,QL-005,ES-005,"Find x.

Given:

29x leaves remainder 1 when divided by 6.",5,"Checking all possible values gives:

5

Hence the answer is:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:69:1,CP-001,REM-SP-5-4,NS-REM-001:REM-SP-5-4:165x1:1,36,33,Hard,QL-003,ES-001,The number 165x1 leaves remainder 33 when divided by 36. Find x.,2,"Check all possible values of x.

Valid values:

2

Answer:

2"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:70:6,CP-001,REM-SP-6-4,NS-REM-001:REM-SP-6-4:865x10:6,9,3,Hard,QL-002,ES-003,Determine x if 865x10 leaves remainder 3 on division by 9.,1,"Substitute possible values of x and check the remainder.

Valid values:

1

Answer:

1"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:71:0,CP-001,REM-SP-3-3,NS-REM-001:REM-SP-3-3:11x:0,17,8,Hard,QL-003,ES-002,The number 11x leaves remainder 8 when divided by 17. Find x.,0,"The required remainder is 8.

Valid values of x:

0

Answer:

0"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:72:0,CP-001,REM-SP-5-3,NS-REM-001:REM-SP-5-3:10x65:0,17,14,Medium,QL-004,ES-005,What should be the value of x so that 10x65 leaves remainder 14 when divided by 17?,2,"Checking all possible values gives:

2

Hence the answer is:

2"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:73:3,CP-001,REM-SP-5-5,NS-REM-001:REM-SP-5-5:7430x:3,18,2,Medium,QL-001,ES-005,Find the value of x if 7430x leaves remainder 2 when divided by 18.,6,"Checking all possible values gives:

6

Hence the answer is:

6"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:74:3,CP-001,REM-SP-5-4,NS-REM-001:REM-SP-5-4:965x1:3,11,7,Medium,QL-002,ES-003,Determine x if 965x1 leaves remainder 7 on division by 11.,2,"Substitute possible values of x and check the remainder.

Valid values:

2

Answer:

2"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:75:6,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:856x:6,11,2,Medium,QL-001,ES-004,Find the value of x if 856x leaves remainder 2 when divided by 11.,0,"Valid values of x:

0

Required answer:

0"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:76:0,CP-001,REM-SP-3-2,NS-REM-001:REM-SP-3-2:8x8:0,36,30,Hard,QL-005,ES-002,"Find x.

Given:

8x8 leaves remainder 30 when divided by 36.",5,"The required remainder is 30.

Valid values of x:

5

Answer:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:77:3,CP-001,REM-SP-6-4,NS-REM-001:REM-SP-6-4:809x36:3,18,0,Hard,QL-003,ES-001,The number 809x36 leaves remainder 0 when divided by 18. Find x.,1,"Check all possible values of x.

Valid values:

1

Answer:

1"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:78:1,CP-001,REM-SP-4-2,NS-REM-001:REM-SP-4-2:1x27:1,13,0,Medium,QL-002,ES-001,Determine x if 1x27 leaves remainder 0 on division by 13.,0,"Check all possible values of x.

Valid values:

0

Answer:

0"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:79:0,CP-001,REM-SP-6-1,NS-REM-001:REM-SP-6-1:x65210:0,11,5,Hard,QL-002,ES-001,Determine x if x65210 leaves remainder 5 on division by 11.,8,"Check all possible values of x.

Valid values:

8

Answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:80:5,CP-001,REM-SP-6-4,NS-REM-001:REM-SP-6-4:521x36:5,14,6,Hard,QL-005,ES-004,"Find x.

Given:

521x36 leaves remainder 6 when divided by 14.",4,"Valid values of x:

4

Required answer:

4"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:81:0,CP-001,REM-SP-3-2,NS-REM-001:REM-SP-3-2:7x4:0,7,1,Easy,QL-001,ES-004,Find the value of x if 7x4 leaves remainder 1 when divided by 7.,6,"Valid values of x:

6

Required answer:

6"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:82:5,CP-001,REM-SP-5-5,NS-REM-001:REM-SP-5-5:5214x:5,14,10,Medium,QL-004,ES-004,What should be the value of x so that 5214x leaves remainder 10 when divided by 14?,6,"Valid values of x:

6

Required answer:

6"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:83:0,CP-001,REM-SP-6-4,NS-REM-001:REM-SP-6-4:865x10:0,36,10,Hard,QL-005,ES-001,"Find x.

Given:

865x10 leaves remainder 10 when divided by 36.",8,"Check all possible values of x.

Valid values:

8

Answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:84:3,CP-001,REM-SP-6-2,NS-REM-001:REM-SP-6-2:3x3870:3,11,3,Hard,QL-002,ES-001,Determine x if 3x3870 leaves remainder 3 on division by 11.,8,"Check all possible values of x.

Valid values:

8

Answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:85:2,CP-001,REM-SP-6-6,NS-REM-001:REM-SP-6-6:98721x:2,15,8,Hard,QL-004,ES-003,What should be the value of x so that 98721x leaves remainder 8 when divided by 15?,8,"Substitute possible values of x and check the remainder.

Valid values:

8

Answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:86:0,CP-001,REM-SP-4-2,NS-REM-001:REM-SP-4-2:5x67:0,19,9,Medium,QL-004,ES-005,What should be the value of x so that 5x67 leaves remainder 9 when divided by 19?,3,"Checking all possible values gives:

3

Hence the answer is:

3"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:87:3,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:412x:3,24,23,Medium,QL-003,ES-004,The number 412x leaves remainder 23 when divided by 24. Find x.,7,"Valid values of x:

7

Required answer:

7"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:88:2,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:256x:2,11,5,Medium,QL-002,ES-002,Determine x if 256x leaves remainder 5 on division by 11.,8,"The required remainder is 5.

Valid values of x:

8

Answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:89:5,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:156x:5,24,3,Medium,QL-002,ES-005,Determine x if 156x leaves remainder 3 on division by 24.,3,"Checking all possible values gives:

3

Hence the answer is:

3"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:90:7,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:390x:7,17,16,Medium,QL-005,ES-004,"Find x.

Given:

390x leaves remainder 16 when divided by 17.",9,"Valid values of x:

9

Required answer:

9"
