Question ID,CP,Number,Selected Prime,Difficulty Band,Question Language ID,Explanation Style ID,Question,Answer,Factorization Text,Factorization Latex,Explanation
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:18,CP-001,87824,,Hard,QL-001,ES-001,Find the prime factorization of 87824.,2^4 x 11 x 499,87824 = 2^4 x 11 x 499,87824 = 2^{4} \times 11 \times 499,"Break the number into prime factors.

The prime factorization of 87824 is:

87824 = 2^4 x 11 x 499

Answer: 2^4 x 11 x 499"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:19,CP-001,3789,,Medium,QL-003,ES-001,Write the prime factorization of 3789.,3^2 x 421,3789 = 3^2 x 421,3789 = 3^{2} \times 421,"Break the number into prime factors.

The prime factorization of 3789 is:

3789 = 3^2 x 421

Answer: 3^2 x 421"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:20,CP-001,380,,Medium,QL-002,ES-001,Express 380 as a product of prime factors.,2^2 x 5 x 19,380 = 2^2 x 5 x 19,380 = 2^{2} \times 5 \times 19,"Break the number into prime factors.

The prime factorization of 380 is:

380 = 2^2 x 5 x 19

Answer: 2^2 x 5 x 19"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:21,CP-001,564,,Medium,QL-003,ES-001,Write the prime factorization of 564.,2^2 x 3 x 47,564 = 2^2 x 3 x 47,564 = 2^{2} \times 3 \times 47,"Break the number into prime factors.

The prime factorization of 564 is:

564 = 2^2 x 3 x 47

Answer: 2^2 x 3 x 47"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:22,CP-001,145,,Easy,QL-001,ES-001,Find the prime factorization of 145.,5 x 29,145 = 5 x 29,145 = 5 \times 29,"Break the number into prime factors.

The prime factorization of 145 is:

145 = 5 x 29

Answer: 5 x 29"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:23,CP-001,3798,,Medium,QL-001,ES-001,Find the prime factorization of 3798.,2 x 3^2 x 211,3798 = 2 x 3^2 x 211,3798 = 2 \times 3^{2} \times 211,"Break the number into prime factors.

The prime factorization of 3798 is:

3798 = 2 x 3^2 x 211

Answer: 2 x 3^2 x 211"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:24,CP-001,2088,,Medium,QL-003,ES-001,Write the prime factorization of 2088.,2^3 x 3^2 x 29,2088 = 2^3 x 3^2 x 29,2088 = 2^{3} \times 3^{2} \times 29,"Break the number into prime factors.

The prime factorization of 2088 is:

2088 = 2^3 x 3^2 x 29

Answer: 2^3 x 3^2 x 29"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:25,CP-001,3767,,Medium,QL-002,ES-001,Express 3767 as a product of prime factors.,3767,3767 = 3767,3767 = 3767,"Break the number into prime factors.

The prime factorization of 3767 is:

3767 = 3767

Answer: 3767"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:26,CP-001,3993,,Medium,QL-002,ES-001,Express 3993 as a product of prime factors.,3 x 11^3,3993 = 3 x 11^3,3993 = 3 \times 11^{3},"Break the number into prime factors.

The prime factorization of 3993 is:

3993 = 3 x 11^3

Answer: 3 x 11^3"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:27,CP-001,183,,Easy,QL-001,ES-001,Find the prime factorization of 183.,3 x 61,183 = 3 x 61,183 = 3 \times 61,"Break the number into prime factors.

The prime factorization of 183 is:

183 = 3 x 61

Answer: 3 x 61"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:28,CP-001,3755,,Medium,QL-001,ES-001,Find the prime factorization of 3755.,5 x 751,3755 = 5 x 751,3755 = 5 \times 751,"Break the number into prime factors.

The prime factorization of 3755 is:

3755 = 5 x 751

Answer: 5 x 751"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:29,CP-001,68674,,Hard,QL-001,ES-001,Find the prime factorization of 68674.,2 x 34337,68674 = 2 x 34337,68674 = 2 \times 34337,"Break the number into prime factors.

The prime factorization of 68674 is:

68674 = 2 x 34337

Answer: 2 x 34337"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:30,CP-001,58261,,Hard,QL-003,ES-001,Write the prime factorization of 58261.,7^2 x 29 x 41,58261 = 7^2 x 29 x 41,58261 = 7^{2} \times 29 \times 41,"Break the number into prime factors.

The prime factorization of 58261 is:

58261 = 7^2 x 29 x 41

Answer: 7^2 x 29 x 41"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:31,CP-001,3793,,Medium,QL-002,ES-001,Express 3793 as a product of prime factors.,3793,3793 = 3793,3793 = 3793,"Break the number into prime factors.

The prime factorization of 3793 is:

3793 = 3793

Answer: 3793"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:32,CP-001,307,,Medium,QL-002,ES-001,Express 307 as a product of prime factors.,307,307 = 307,307 = 307,"Break the number into prime factors.

The prime factorization of 307 is:

307 = 307

Answer: 307"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:33,CP-001,4400,,Medium,QL-002,ES-001,Express 4400 as a product of prime factors.,2^4 x 5^2 x 11,4400 = 2^4 x 5^2 x 11,4400 = 2^{4} \times 5^{2} \times 11,"Break the number into prime factors.

The prime factorization of 4400 is:

4400 = 2^4 x 5^2 x 11

Answer: 2^4 x 5^2 x 11"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:34,CP-001,114,,Easy,QL-002,ES-001,Express 114 as a product of prime factors.,2 x 3 x 19,114 = 2 x 3 x 19,114 = 2 \times 3 \times 19,"Break the number into prime factors.

The prime factorization of 114 is:

114 = 2 x 3 x 19

Answer: 2 x 3 x 19"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:35,CP-001,86,,Easy,QL-002,ES-001,Express 86 as a product of prime factors.,2 x 43,86 = 2 x 43,86 = 2 \times 43,"Break the number into prime factors.

The prime factorization of 86 is:

86 = 2 x 43

Answer: 2 x 43"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:36,CP-001,2618,,Medium,QL-003,ES-001,Write the prime factorization of 2618.,2 x 7 x 11 x 17,2618 = 2 x 7 x 11 x 17,2618 = 2 \times 7 \times 11 \times 17,"Break the number into prime factors.

The prime factorization of 2618 is:

2618 = 2 x 7 x 11 x 17

Answer: 2 x 7 x 11 x 17"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:37,CP-001,50906,,Hard,QL-002,ES-001,Express 50906 as a product of prime factors.,2 x 25453,50906 = 2 x 25453,50906 = 2 \times 25453,"Break the number into prime factors.

The prime factorization of 50906 is:

50906 = 2 x 25453

Answer: 2 x 25453"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:38,CP-001,151,,Easy,QL-002,ES-001,Express 151 as a product of prime factors.,151,151 = 151,151 = 151,"Break the number into prime factors.

The prime factorization of 151 is:

151 = 151

Answer: 151"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:39,CP-001,69443,,Hard,QL-001,ES-001,Find the prime factorization of 69443.,11 x 59 x 107,69443 = 11 x 59 x 107,69443 = 11 \times 59 \times 107,"Break the number into prime factors.

The prime factorization of 69443 is:

69443 = 11 x 59 x 107

Answer: 11 x 59 x 107"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:40,CP-001,106,,Easy,QL-002,ES-001,Express 106 as a product of prime factors.,2 x 53,106 = 2 x 53,106 = 2 \times 53,"Break the number into prime factors.

The prime factorization of 106 is:

106 = 2 x 53

Answer: 2 x 53"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:41,CP-001,135,,Easy,QL-003,ES-001,Write the prime factorization of 135.,3^3 x 5,135 = 3^3 x 5,135 = 3^{3} \times 5,"Break the number into prime factors.

The prime factorization of 135 is:

135 = 3^3 x 5

Answer: 3^3 x 5"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:42,CP-001,6418,,Hard,QL-003,ES-001,Write the prime factorization of 6418.,2 x 3209,6418 = 2 x 3209,6418 = 2 \times 3209,"Break the number into prime factors.

The prime factorization of 6418 is:

6418 = 2 x 3209

Answer: 2 x 3209"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:43,CP-001,1259,,Medium,QL-001,ES-001,Find the prime factorization of 1259.,1259,1259 = 1259,1259 = 1259,"Break the number into prime factors.

The prime factorization of 1259 is:

1259 = 1259

Answer: 1259"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:44,CP-001,4516,,Medium,QL-003,ES-001,Write the prime factorization of 4516.,2^2 x 1129,4516 = 2^2 x 1129,4516 = 2^{2} \times 1129,"Break the number into prime factors.

The prime factorization of 4516 is:

4516 = 2^2 x 1129

Answer: 2^2 x 1129"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:45,CP-001,98946,,Hard,QL-002,ES-001,Express 98946 as a product of prime factors.,2 x 3^2 x 23 x 239,98946 = 2 x 3^2 x 23 x 239,98946 = 2 \times 3^{2} \times 23 \times 239,"Break the number into prime factors.

The prime factorization of 98946 is:

98946 = 2 x 3^2 x 23 x 239

Answer: 2 x 3^2 x 23 x 239"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:46,CP-001,2504,,Medium,QL-001,ES-001,Find the prime factorization of 2504.,2^3 x 313,2504 = 2^3 x 313,2504 = 2^{3} \times 313,"Break the number into prime factors.

The prime factorization of 2504 is:

2504 = 2^3 x 313

Answer: 2^3 x 313"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:47,CP-001,677,,Medium,QL-002,ES-001,Express 677 as a product of prime factors.,677,677 = 677,677 = 677,"Break the number into prime factors.

The prime factorization of 677 is:

677 = 677

Answer: 677"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:48,CP-001,3548,,Medium,QL-001,ES-001,Find the prime factorization of 3548.,2^2 x 887,3548 = 2^2 x 887,3548 = 2^{2} \times 887,"Break the number into prime factors.

The prime factorization of 3548 is:

3548 = 2^2 x 887

Answer: 2^2 x 887"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:49,CP-001,160,,Easy,QL-003,ES-001,Write the prime factorization of 160.,2^5 x 5,160 = 2^5 x 5,160 = 2^{5} \times 5,"Break the number into prime factors.

The prime factorization of 160 is:

160 = 2^5 x 5

Answer: 2^5 x 5"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:50,CP-001,1550,,Medium,QL-002,ES-001,Express 1550 as a product of prime factors.,2 x 5^2 x 31,1550 = 2 x 5^2 x 31,1550 = 2 \times 5^{2} \times 31,"Break the number into prime factors.

The prime factorization of 1550 is:

1550 = 2 x 5^2 x 31

Answer: 2 x 5^2 x 31"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:51,CP-001,610,,Medium,QL-001,ES-001,Find the prime factorization of 610.,2 x 5 x 61,610 = 2 x 5 x 61,610 = 2 \times 5 \times 61,"Break the number into prime factors.

The prime factorization of 610 is:

610 = 2 x 5 x 61

Answer: 2 x 5 x 61"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:52,CP-001,19,,Easy,QL-002,ES-001,Express 19 as a product of prime factors.,19,19 = 19,19 = 19,"Break the number into prime factors.

The prime factorization of 19 is:

19 = 19

Answer: 19"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:53,CP-001,70,,Easy,QL-002,ES-001,Express 70 as a product of prime factors.,2 x 5 x 7,70 = 2 x 5 x 7,70 = 2 \times 5 \times 7,"Break the number into prime factors.

The prime factorization of 70 is:

70 = 2 x 5 x 7

Answer: 2 x 5 x 7"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:54,CP-001,12611,,Hard,QL-003,ES-001,Write the prime factorization of 12611.,12611,12611 = 12611,12611 = 12611,"Break the number into prime factors.

The prime factorization of 12611 is:

12611 = 12611

Answer: 12611"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:55,CP-001,69344,,Hard,QL-003,ES-001,Write the prime factorization of 69344.,2^5 x 11 x 197,69344 = 2^5 x 11 x 197,69344 = 2^{5} \times 11 \times 197,"Break the number into prime factors.

The prime factorization of 69344 is:

69344 = 2^5 x 11 x 197

Answer: 2^5 x 11 x 197"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:56,CP-001,46275,,Hard,QL-001,ES-001,Find the prime factorization of 46275.,3 x 5^2 x 617,46275 = 3 x 5^2 x 617,46275 = 3 \times 5^{2} \times 617,"Break the number into prime factors.

The prime factorization of 46275 is:

46275 = 3 x 5^2 x 617

Answer: 3 x 5^2 x 617"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:57,CP-001,586,,Medium,QL-002,ES-001,Express 586 as a product of prime factors.,2 x 293,586 = 2 x 293,586 = 2 \times 293,"Break the number into prime factors.

The prime factorization of 586 is:

586 = 2 x 293

Answer: 2 x 293"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:58,CP-001,172,,Easy,QL-002,ES-001,Express 172 as a product of prime factors.,2^2 x 43,172 = 2^2 x 43,172 = 2^{2} \times 43,"Break the number into prime factors.

The prime factorization of 172 is:

172 = 2^2 x 43

Answer: 2^2 x 43"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:59,CP-001,55,,Easy,QL-001,ES-001,Find the prime factorization of 55.,5 x 11,55 = 5 x 11,55 = 5 \times 11,"Break the number into prime factors.

The prime factorization of 55 is:

55 = 5 x 11

Answer: 5 x 11"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:60,CP-001,152,,Easy,QL-003,ES-001,Write the prime factorization of 152.,2^3 x 19,152 = 2^3 x 19,152 = 2^{3} \times 19,"Break the number into prime factors.

The prime factorization of 152 is:

152 = 2^3 x 19

Answer: 2^3 x 19"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:61,CP-001,107,,Easy,QL-003,ES-001,Write the prime factorization of 107.,107,107 = 107,107 = 107,"Break the number into prime factors.

The prime factorization of 107 is:

107 = 107

Answer: 107"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:62,CP-001,191,,Easy,QL-003,ES-001,Write the prime factorization of 191.,191,191 = 191,191 = 191,"Break the number into prime factors.

The prime factorization of 191 is:

191 = 191

Answer: 191"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:63,CP-001,78,,Easy,QL-002,ES-001,Express 78 as a product of prime factors.,2 x 3 x 13,78 = 2 x 3 x 13,78 = 2 \times 3 \times 13,"Break the number into prime factors.

The prime factorization of 78 is:

78 = 2 x 3 x 13

Answer: 2 x 3 x 13"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:64,CP-001,23,,Easy,QL-001,ES-001,Find the prime factorization of 23.,23,23 = 23,23 = 23,"Break the number into prime factors.

The prime factorization of 23 is:

23 = 23

Answer: 23"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:65,CP-001,131,,Easy,QL-003,ES-001,Write the prime factorization of 131.,131,131 = 131,131 = 131,"Break the number into prime factors.

The prime factorization of 131 is:

131 = 131

Answer: 131"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:66,CP-001,4353,,Medium,QL-003,ES-001,Write the prime factorization of 4353.,3 x 1451,4353 = 3 x 1451,4353 = 3 \times 1451,"Break the number into prime factors.

The prime factorization of 4353 is:

4353 = 3 x 1451

Answer: 3 x 1451"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:67,CP-001,49,,Easy,QL-002,ES-001,Express 49 as a product of prime factors.,7^2,49 = 7^2,49 = 7^{2},"Break the number into prime factors.

The prime factorization of 49 is:

49 = 7^2

Answer: 7^2"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:68,CP-001,3996,,Medium,QL-002,ES-001,Express 3996 as a product of prime factors.,2^2 x 3^3 x 37,3996 = 2^2 x 3^3 x 37,3996 = 2^{2} \times 3^{3} \times 37,"Break the number into prime factors.

The prime factorization of 3996 is:

3996 = 2^2 x 3^3 x 37

Answer: 2^2 x 3^3 x 37"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:69,CP-001,117,,Easy,QL-001,ES-001,Find the prime factorization of 117.,3^2 x 13,117 = 3^2 x 13,117 = 3^{2} \times 13,"Break the number into prime factors.

The prime factorization of 117 is:

117 = 3^2 x 13

Answer: 3^2 x 13"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:70,CP-001,2305,,Medium,QL-001,ES-001,Find the prime factorization of 2305.,5 x 461,2305 = 5 x 461,2305 = 5 \times 461,"Break the number into prime factors.

The prime factorization of 2305 is:

2305 = 5 x 461

Answer: 5 x 461"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:71,CP-001,3741,,Medium,QL-001,ES-001,Find the prime factorization of 3741.,3 x 29 x 43,3741 = 3 x 29 x 43,3741 = 3 \times 29 \times 43,"Break the number into prime factors.

The prime factorization of 3741 is:

3741 = 3 x 29 x 43

Answer: 3 x 29 x 43"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:72,CP-001,2069,,Medium,QL-002,ES-001,Express 2069 as a product of prime factors.,2069,2069 = 2069,2069 = 2069,"Break the number into prime factors.

The prime factorization of 2069 is:

2069 = 2069

Answer: 2069"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:73,CP-001,63,,Easy,QL-001,ES-001,Find the prime factorization of 63.,3^2 x 7,63 = 3^2 x 7,63 = 3^{2} \times 7,"Break the number into prime factors.

The prime factorization of 63 is:

63 = 3^2 x 7

Answer: 3^2 x 7"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:74,CP-001,142,,Easy,QL-002,ES-001,Express 142 as a product of prime factors.,2 x 71,142 = 2 x 71,142 = 2 \times 71,"Break the number into prime factors.

The prime factorization of 142 is:

142 = 2 x 71

Answer: 2 x 71"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:75,CP-001,342,,Medium,QL-003,ES-001,Write the prime factorization of 342.,2 x 3^2 x 19,342 = 2 x 3^2 x 19,342 = 2 \times 3^{2} \times 19,"Break the number into prime factors.

The prime factorization of 342 is:

342 = 2 x 3^2 x 19

Answer: 2 x 3^2 x 19"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:76,CP-001,2690,,Medium,QL-001,ES-001,Find the prime factorization of 2690.,2 x 5 x 269,2690 = 2 x 5 x 269,2690 = 2 \times 5 \times 269,"Break the number into prime factors.

The prime factorization of 2690 is:

2690 = 2 x 5 x 269

Answer: 2 x 5 x 269"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:77,CP-001,13931,,Hard,QL-003,ES-001,Write the prime factorization of 13931.,13931,13931 = 13931,13931 = 13931,"Break the number into prime factors.

The prime factorization of 13931 is:

13931 = 13931

Answer: 13931"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:78,CP-001,52846,,Hard,QL-002,ES-001,Express 52846 as a product of prime factors.,2 x 26423,52846 = 2 x 26423,52846 = 2 \times 26423,"Break the number into prime factors.

The prime factorization of 52846 is:

52846 = 2 x 26423

Answer: 2 x 26423"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:79,CP-001,20,,Easy,QL-001,ES-001,Find the prime factorization of 20.,2^2 x 5,20 = 2^2 x 5,20 = 2^{2} \times 5,"Break the number into prime factors.

The prime factorization of 20 is:

20 = 2^2 x 5

Answer: 2^2 x 5"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:80,CP-001,188,,Easy,QL-002,ES-001,Express 188 as a product of prime factors.,2^2 x 47,188 = 2^2 x 47,188 = 2^{2} \times 47,"Break the number into prime factors.

The prime factorization of 188 is:

188 = 2^2 x 47

Answer: 2^2 x 47"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:81,CP-001,43,,Easy,QL-003,ES-001,Write the prime factorization of 43.,43,43 = 43,43 = 43,"Break the number into prime factors.

The prime factorization of 43 is:

43 = 43

Answer: 43"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:82,CP-001,18,,Easy,QL-003,ES-001,Write the prime factorization of 18.,2 x 3^2,18 = 2 x 3^2,18 = 2 \times 3^{2},"Break the number into prime factors.

The prime factorization of 18 is:

18 = 2 x 3^2

Answer: 2 x 3^2"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:83,CP-001,99,,Easy,QL-002,ES-001,Express 99 as a product of prime factors.,3^2 x 11,99 = 3^2 x 11,99 = 3^{2} \times 11,"Break the number into prime factors.

The prime factorization of 99 is:

99 = 3^2 x 11

Answer: 3^2 x 11"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:84,CP-001,729,,Medium,QL-002,ES-001,Express 729 as a product of prime factors.,3^6,729 = 3^6,729 = 3^{6},"Break the number into prime factors.

The prime factorization of 729 is:

729 = 3^6

Answer: 3^6"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:85,CP-001,711,,Medium,QL-003,ES-001,Write the prime factorization of 711.,3^2 x 79,711 = 3^2 x 79,711 = 3^{2} \times 79,"Break the number into prime factors.

The prime factorization of 711 is:

711 = 3^2 x 79

Answer: 3^2 x 79"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:86,CP-001,198,,Easy,QL-001,ES-001,Find the prime factorization of 198.,2 x 3^2 x 11,198 = 2 x 3^2 x 11,198 = 2 \times 3^{2} \times 11,"Break the number into prime factors.

The prime factorization of 198 is:

198 = 2 x 3^2 x 11

Answer: 2 x 3^2 x 11"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:87,CP-001,2827,,Medium,QL-003,ES-001,Write the prime factorization of 2827.,11 x 257,2827 = 11 x 257,2827 = 11 \times 257,"Break the number into prime factors.

The prime factorization of 2827 is:

2827 = 11 x 257

Answer: 11 x 257"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:88,CP-001,74836,,Hard,QL-001,ES-001,Find the prime factorization of 74836.,2^2 x 53 x 353,74836 = 2^2 x 53 x 353,74836 = 2^{2} \times 53 \times 353,"Break the number into prime factors.

The prime factorization of 74836 is:

74836 = 2^2 x 53 x 353

Answer: 2^2 x 53 x 353"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:89,CP-001,44275,,Hard,QL-003,ES-001,Write the prime factorization of 44275.,5^2 x 7 x 11 x 23,44275 = 5^2 x 7 x 11 x 23,44275 = 5^{2} \times 7 \times 11 \times 23,"Break the number into prime factors.

The prime factorization of 44275 is:

44275 = 5^2 x 7 x 11 x 23

Answer: 5^2 x 7 x 11 x 23"
