CP,difficulty,QL ID,ES ID,parameters,answer,reasoning trace
"CP01","Easy","QL-011","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:10"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-011"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-012","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:11"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-012"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-013","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:12"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-013"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-014","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:13"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-014"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-015","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:14"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-015"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-016","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:15"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-016"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-017","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:16"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-017"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""powerParity"",""operationType"":""power"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-018","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:17"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-018"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""subtractionParity"",""operationType"":""subtraction"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-019","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:18"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-019"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-020","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:19"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-020"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-001","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:20"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-001"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-002","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:21"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-002"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-003","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:22"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-003"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""subtractionParity"",""operationType"":""subtraction"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-004","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:23"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-004"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-005","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:24"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-005"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-006","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:25"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-006"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-007","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:26"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-007"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""powerParity"",""operationType"":""power"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-008","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:27"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-008"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-009","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:28"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-009"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-010","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:29"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-010"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-011","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:30"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-011"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-012","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:31"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-012"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-013","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:32"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-013"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-014","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:33"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-014"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-015","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:34"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-015"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-016","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:35"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-016"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-017","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:36"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-017"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""powerParity"",""operationType"":""power"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-018","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:37"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-018"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""subtractionParity"",""operationType"":""subtraction"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-019","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:38"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-019"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""mixedParityOperations"",""operationType"":""mixed"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-020","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:39"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-020"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-001","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:40"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-001"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-002","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:41"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-002"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-003","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:42"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-003"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""subtractionParity"",""operationType"":""subtraction"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-004","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:43"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-004"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-005","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:44"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-005"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-006","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:45"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-006"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-007","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:46"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-007"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""powerParity"",""operationType"":""power"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-008","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:47"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-008"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-009","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:48"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-009"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
