"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Number","Lower Bound","Upper Bound","Range Width","Position"
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:18","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 401 is a prime number.","Prime","Check the factors of the given number.

Since 401 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","401","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:19","CP-001","Medium","Prime Classification","QL-003","ES-002","Check if 450 is a prime number.","Composite","Check the factors of the given number.

Since 450 has more than two factors, it is a composite number.

Answer: Composite","450","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:20","CP-001","Medium","Prime Classification","QL-001","ES-002","Is 905 a prime number?","Composite","Check the factors of the given number.

Since 905 has more than two factors, it is a composite number.

Answer: Composite","905","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:21","CP-001","Hard","Prime Classification","QL-002","ES-001","Determine whether 2777 is prime or composite.","Prime","Check the factors of the given number.

Since 2777 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","2777","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:22","CP-001","Hard","Prime Classification","QL-001","ES-002","Is 1422 a prime number?","Composite","Check the factors of the given number.

Since 1422 has more than two factors, it is a composite number.

Answer: Composite","1422","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:23","CP-001","Easy","Prime Classification","QL-002","ES-001","Determine whether 13 is prime or composite.","Prime","Check the factors of the given number.

Since 13 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","13","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:24","CP-001","Easy","Prime Classification","QL-003","ES-002","Check if 18 is a prime number.","Composite","Check the factors of the given number.

Since 18 has more than two factors, it is a composite number.

Answer: Composite","18","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:25","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 317 is a prime number.","Prime","Check the factors of the given number.

Since 317 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","317","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:26","CP-001","Easy","Prime Classification","QL-002","ES-002","Determine whether 42 is prime or composite.","Composite","Check the factors of the given number.

Since 42 has more than two factors, it is a composite number.

Answer: Composite","42","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:27","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 941 is prime or composite.","Prime","Check the factors of the given number.

Since 941 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","941","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:28","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 754 is prime or composite.","Composite","Check the factors of the given number.

Since 754 has more than two factors, it is a composite number.

Answer: Composite","754","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:29","CP-001","Medium","Prime Classification","QL-001","ES-001","Is 373 a prime number?","Prime","Check the factors of the given number.

Since 373 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","373","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:30","CP-001","Hard","Prime Classification","QL-003","ES-001","Check if 1381 is a prime number.","Prime","Check the factors of the given number.

Since 1381 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","1381","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:31","CP-001","Hard","Prime Classification","QL-002","ES-002","Determine whether 1209 is prime or composite.","Composite","Check the factors of the given number.

Since 1209 has more than two factors, it is a composite number.

Answer: Composite","1209","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:32","CP-001","Easy","Prime Classification","QL-002","ES-001","Determine whether 43 is prime or composite.","Prime","Check the factors of the given number.

Since 43 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","43","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:33","CP-001","Medium","Prime Classification","QL-003","ES-002","Check if 234 is a prime number.","Composite","Check the factors of the given number.

Since 234 has more than two factors, it is a composite number.

Answer: Composite","234","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:34","CP-001","Easy","Prime Classification","QL-003","ES-001","Check if 17 is a prime number.","Prime","Check the factors of the given number.

Since 17 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","17","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:35","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 128 is prime or composite.","Composite","Check the factors of the given number.

Since 128 has more than two factors, it is a composite number.

Answer: Composite","128","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:36","CP-001","Medium","Prime Classification","QL-001","ES-001","Is 311 a prime number?","Prime","Check the factors of the given number.

Since 311 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","311","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:37","CP-001","Medium","Prime Classification","QL-003","ES-002","Check if 172 is a prime number.","Composite","Check the factors of the given number.

Since 172 has more than two factors, it is a composite number.

Answer: Composite","172","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:38","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 823 is prime or composite.","Prime","Check the factors of the given number.

Since 823 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","823","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:39","CP-001","Easy","Prime Classification","QL-001","ES-002","Is 26 a prime number?","Composite","Check the factors of the given number.

Since 26 has more than two factors, it is a composite number.

Answer: Composite","26","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:40","CP-001","Easy","Prime Classification","QL-003","ES-002","Check if 81 is a prime number.","Composite","Check the factors of the given number.

Since 81 has more than two factors, it is a composite number.

Answer: Composite","81","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:41","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 229 is a prime number.","Prime","Check the factors of the given number.

Since 229 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","229","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:42","CP-001","Medium","Prime Classification","QL-001","ES-002","Is 706 a prime number?","Composite","Check the factors of the given number.

Since 706 has more than two factors, it is a composite number.

Answer: Composite","706","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:43","CP-001","Medium","Prime Classification","QL-001","ES-001","Is 839 a prime number?","Prime","Check the factors of the given number.

Since 839 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","839","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:44","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 526 is prime or composite.","Composite","Check the factors of the given number.

Since 526 has more than two factors, it is a composite number.

Answer: Composite","526","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:45","CP-001","Easy","Prime Classification","QL-003","ES-001","Check if 61 is a prime number.","Prime","Check the factors of the given number.

Since 61 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","61","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:46","CP-001","Medium","Prime Classification","QL-001","ES-002","Is 969 a prime number?","Composite","Check the factors of the given number.

Since 969 has more than two factors, it is a composite number.

Answer: Composite","969","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:47","CP-001","Easy","Prime Classification","QL-003","ES-001","Check if 61 is a prime number.","Prime","Check the factors of the given number.

Since 61 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","61","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:48","CP-001","Medium","Prime Classification","QL-003","ES-002","Check if 144 is a prime number.","Composite","Check the factors of the given number.

Since 144 has more than two factors, it is a composite number.

Answer: Composite","144","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:49","CP-001","Easy","Prime Classification","QL-002","ES-001","Determine whether 67 is prime or composite.","Prime","Check the factors of the given number.

Since 67 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","67","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:50","CP-001","Easy","Prime Classification","QL-001","ES-001","Is 29 a prime number?","Prime","Check the factors of the given number.

Since 29 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","29","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:51","CP-001","Easy","Prime Classification","QL-001","ES-002","Is 95 a prime number?","Composite","Check the factors of the given number.

Since 95 has more than two factors, it is a composite number.

Answer: Composite","95","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:52","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 179 is prime or composite.","Prime","Check the factors of the given number.

Since 179 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","179","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:53","CP-001","Easy","Prime Classification","QL-001","ES-002","Is 24 a prime number?","Composite","Check the factors of the given number.

Since 24 has more than two factors, it is a composite number.

Answer: Composite","24","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:54","CP-001","Hard","Prime Classification","QL-003","ES-001","Check if 1049 is a prime number.","Prime","Check the factors of the given number.

Since 1049 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","1049","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:55","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 651 is prime or composite.","Composite","Check the factors of the given number.

Since 651 has more than two factors, it is a composite number.

Answer: Composite","651","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:56","CP-001","Hard","Prime Classification","QL-002","ES-001","Determine whether 4651 is prime or composite.","Prime","Check the factors of the given number.

Since 4651 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","4651","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:57","CP-001","Hard","Prime Classification","QL-001","ES-002","Is 4672 a prime number?","Composite","Check the factors of the given number.

Since 4672 has more than two factors, it is a composite number.

Answer: Composite","4672","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:58","CP-001","Easy","Prime Classification","QL-003","ES-001","Check if 79 is a prime number.","Prime","Check the factors of the given number.

Since 79 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","79","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:59","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 386 is prime or composite.","Composite","Check the factors of the given number.

Since 386 has more than two factors, it is a composite number.

Answer: Composite","386","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:60","CP-001","Easy","Prime Classification","QL-002","ES-002","Determine whether 86 is prime or composite.","Composite","Check the factors of the given number.

Since 86 has more than two factors, it is a composite number.

Answer: Composite","86","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:61","CP-001","Medium","Prime Classification","QL-001","ES-001","Is 613 a prime number?","Prime","Check the factors of the given number.

Since 613 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","613","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:62","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 120 is prime or composite.","Composite","Check the factors of the given number.

Since 120 has more than two factors, it is a composite number.

Answer: Composite","120","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:63","CP-001","Easy","Prime Classification","QL-002","ES-001","Determine whether 89 is prime or composite.","Prime","Check the factors of the given number.

Since 89 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","89","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:64","CP-001","Medium","Prime Classification","QL-003","ES-002","Check if 249 is a prime number.","Composite","Check the factors of the given number.

Since 249 has more than two factors, it is a composite number.

Answer: Composite","249","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:65","CP-001","Easy","Prime Classification","QL-001","ES-001","Is 61 a prime number?","Prime","Check the factors of the given number.

Since 61 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","61","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:66","CP-001","Hard","Prime Classification","QL-003","ES-002","Check if 4169 is a prime number.","Composite","Check the factors of the given number.

Since 4169 has more than two factors, it is a composite number.

Answer: Composite","4169","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:67","CP-001","Hard","Prime Classification","QL-001","ES-001","Is 1223 a prime number?","Prime","Check the factors of the given number.

Since 1223 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","1223","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:68","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 285 is prime or composite.","Composite","Check the factors of the given number.

Since 285 has more than two factors, it is a composite number.

Answer: Composite","285","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:69","CP-001","Easy","Prime Classification","QL-003","ES-001","Check if 67 is a prime number.","Prime","Check the factors of the given number.

Since 67 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","67","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:70","CP-001","Easy","Prime Classification","QL-003","ES-001","Check if 31 is a prime number.","Prime","Check the factors of the given number.

Since 31 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","31","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:71","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 917 is prime or composite.","Composite","Check the factors of the given number.

Since 917 has more than two factors, it is a composite number.

Answer: Composite","917","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:72","CP-001","Easy","Prime Classification","QL-003","ES-001","Check if 61 is a prime number.","Prime","Check the factors of the given number.

Since 61 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","61","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:73","CP-001","Hard","Prime Classification","QL-001","ES-002","Is 3798 a prime number?","Composite","Check the factors of the given number.

Since 3798 has more than two factors, it is a composite number.

Answer: Composite","3798","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:74","CP-001","Medium","Prime Classification","QL-001","ES-001","Is 827 a prime number?","Prime","Check the factors of the given number.

Since 827 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","827","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:75","CP-001","Easy","Prime Classification","QL-003","ES-002","Check if 70 is a prime number.","Composite","Check the factors of the given number.

Since 70 has more than two factors, it is a composite number.

Answer: Composite","70","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:76","CP-001","Medium","Prime Classification","QL-001","ES-001","Is 691 a prime number?","Prime","Check the factors of the given number.

Since 691 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","691","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:77","CP-001","Hard","Prime Classification","QL-003","ES-002","Check if 2988 is a prime number.","Composite","Check the factors of the given number.

Since 2988 has more than two factors, it is a composite number.

Answer: Composite","2988","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:78","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 839 is a prime number.","Prime","Check the factors of the given number.

Since 839 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","839","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:79","CP-001","Easy","Prime Classification","QL-001","ES-002","Is 55 a prime number?","Composite","Check the factors of the given number.

Since 55 has more than two factors, it is a composite number.

Answer: Composite","55","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:80","CP-001","Medium","Prime Classification","QL-003","ES-002","Check if 424 is a prime number.","Composite","Check the factors of the given number.

Since 424 has more than two factors, it is a composite number.

Answer: Composite","424","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:81","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 251 is a prime number.","Prime","Check the factors of the given number.

Since 251 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","251","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:82","CP-001","Hard","Prime Classification","QL-001","ES-002","Is 3338 a prime number?","Composite","Check the factors of the given number.

Since 3338 has more than two factors, it is a composite number.

Answer: Composite","3338","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:83","CP-001","Easy","Prime Classification","QL-001","ES-001","Is 47 a prime number?","Prime","Check the factors of the given number.

Since 47 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","47","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:84","CP-001","Easy","Prime Classification","QL-003","ES-002","Check if 45 is a prime number.","Composite","Check the factors of the given number.

Since 45 has more than two factors, it is a composite number.

Answer: Composite","45","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:85","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 653 is prime or composite.","Prime","Check the factors of the given number.

Since 653 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","653","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:86","CP-001","Hard","Prime Classification","QL-002","ES-002","Determine whether 3486 is prime or composite.","Composite","Check the factors of the given number.

Since 3486 has more than two factors, it is a composite number.

Answer: Composite","3486","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:87","CP-001","Easy","Prime Classification","QL-002","ES-001","Determine whether 37 is prime or composite.","Prime","Check the factors of the given number.

Since 37 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","37","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:88","CP-001","Hard","Prime Classification","QL-001","ES-002","Is 4947 a prime number?","Composite","Check the factors of the given number.

Since 4947 has more than two factors, it is a composite number.

Answer: Composite","4947","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:89","CP-001","Easy","Prime Classification","QL-003","ES-001","Check if 73 is a prime number.","Prime","Check the factors of the given number.

Since 73 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","73","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:90","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 503 is prime or composite.","Prime","Check the factors of the given number.

Since 503 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","503","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:91","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 391 is prime or composite.","Composite","Check the factors of the given number.

Since 391 has more than two factors, it is a composite number.

Answer: Composite","391","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:92","CP-001","Easy","Prime Classification","QL-001","ES-001","Is 5 a prime number?","Prime","Check the factors of the given number.

Since 5 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","5","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:93","CP-001","Easy","Prime Classification","QL-002","ES-002","Determine whether 65 is prime or composite.","Composite","Check the factors of the given number.

Since 65 has more than two factors, it is a composite number.

Answer: Composite","65","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:94","CP-001","Medium","Prime Classification","QL-001","ES-001","Is 617 a prime number?","Prime","Check the factors of the given number.

Since 617 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","617","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:95","CP-001","Medium","Prime Classification","QL-001","ES-002","Is 930 a prime number?","Composite","Check the factors of the given number.

Since 930 has more than two factors, it is a composite number.

Answer: Composite","930","","","",""
