"questionId","qlId","difficulty","context","questionText","answer","approval","reviewerNotes","status"
"CSV-001-0017","PCT-QL-117","Easy","distance","We know that 25% of the distance equals 1,250 km. What is 50% of the same distance?","2,500 km","","","PENDING_REVIEW"
"CSV-001-0018","PCT-QL-217","Easy","area","The value corresponding to 25% of the area is 2,500 sq m. Find 50% of the same area.","5,000 sq m","","","PENDING_REVIEW"
"CSV-001-0019","PCT-QL-317","Easy","weight","The question states that 50% of the weight equals 100 kg. Determine 25% of the same weight.","50 kg","","","PENDING_REVIEW"
"CSV-001-0020","PCT-QL-417","Easy","volume","Given that 50% of the volume is 250 litres, what is 25% of the same volume?","125 litres","","","PENDING_REVIEW"
"CSV-001-0021","PCT-QL-017","Medium","production","If 45% of the production equals 450 units, find 15% of the same production.","150 units","","","PENDING_REVIEW"
"CSV-001-0022","PCT-QL-117","Medium","population","We know that 15% of the population equals 300 people. What is 45% of the same population?","900 people","","","PENDING_REVIEW"
"CSV-001-0023","PCT-QL-217","Medium","marks","The value corresponding to 25% of the marks is 250 marks. Find 62.5% of the same marks.","625 marks","","","PENDING_REVIEW"
"CSV-001-0024","PCT-QL-317","Medium","number","The question states that 25% of a number equals 625. Determine 62.5% of that number.","1,562.5","","","PENDING_REVIEW"
"CSV-001-0025","PCT-QL-417","Medium","monthly salary","Given that 62.5% of the monthly salary is ₹62,500, what is 25% of the same monthly salary?","₹25,000","","","PENDING_REVIEW"
"CSV-001-0026","PCT-QL-017","Hard","annual income","If 82.5% of the annual income equals ₹1,65,041.25, find 17.5% of the same annual income.","₹35,008.75","","","PENDING_REVIEW"
"CSV-001-0027","PCT-QL-117","Hard","annual profit","We know that 82.5% of the annual profit equals ₹41,291.25. What is 17.5% of the same annual profit?","₹8,758.75","","","PENDING_REVIEW"
"CSV-001-0028","PCT-QL-217","Hard","expenses","The value corresponding to 100% of the expenses is ₹50,000. Find 100% of the same expenses.","₹50,000","","","PENDING_REVIEW"
"CSV-001-0029","PCT-QL-317","Hard","bonus","The question states that 100% of the bonus equals ₹1,00,000. Determine 100% of the same bonus.","₹1,00,000","","","PENDING_REVIEW"
"CSV-001-0030","PCT-QL-417","Hard","commission","Given that 100% of the commission is ₹1,50,000, what is 100% of the same commission?","₹1,50,000","","","PENDING_REVIEW"
"CSV-001-0031","PCT-QL-017","Easy","savings","If 40% of the savings equals ₹20,000, find 60% of the same savings.","₹30,000","","","PENDING_REVIEW"
"CSV-001-0032","PCT-QL-117","Easy","revenue","We know that 40% of the revenue equals ₹40,000. What is 60% of the same revenue?","₹60,000","","","PENDING_REVIEW"
"CSV-001-0033","PCT-QL-217","Easy","students","The value corresponding to 40% of the students is 400 students. Find 60% of the same students.","600 students","","","PENDING_REVIEW"
"CSV-001-0034","PCT-QL-317","Easy","workers","The question states that 75% of the workers equals 1,500 workers. Determine 50% of the same workers.","1,000 workers","","","PENDING_REVIEW"
"CSV-001-0035","PCT-QL-417","Easy","employees","Given that 75% of the employees is 3,750 employees, what is 50% of the same employees?","2,500 employees","","","PENDING_REVIEW"
"CSV-001-0036","PCT-QL-017","Medium","books","If 80% of the books equals 8,000 books, find 30% of the same books.","3,000 books","","","PENDING_REVIEW"
"CSV-001-0037","PCT-QL-117","Medium","trees","We know that 30% of the trees equals 60 trees. What is 80% of the same trees?","160 trees","","","PENDING_REVIEW"
"CSV-001-0038","PCT-QL-217","Medium","families","The value corresponding to 30% of the families is 120 families. Find 80% of the same families.","320 families","","","PENDING_REVIEW"
"CSV-001-0039","PCT-QL-317","Medium","animals","The question states that 30% of the animals equals 300 animals. Determine 80% of the same animals.","800 animals","","","PENDING_REVIEW"
"CSV-001-0040","PCT-QL-417","Medium","inventory","Given that 80% of the inventory is 1,600 items, what is 30% of the same inventory?","600 items","","","PENDING_REVIEW"
"CSV-001-0041","PCT-QL-017","Hard","distance","If 99% of the distance equals 4,950 km, find 75% of the same distance.","3,750 km","","","PENDING_REVIEW"
"CSV-001-0042","PCT-QL-117","Hard","area","We know that 99% of the area equals 9,900 sq m. What is 75% of the same area?","7,500 sq m","","","PENDING_REVIEW"
"CSV-001-0044","PCT-QL-317","Hard","volume","The question states that 0.5% of the volume equals 2.5 litres. Determine 0.5% of the same volume.","2.5 litres","","","PENDING_REVIEW"
"CSV-001-0045","PCT-QL-417","Hard","production","Given that 99% of the production is 990 units, what is 99% of the same production?","990 units","","","PENDING_REVIEW"
"CSV-001-0046","PCT-QL-017","Easy","population","If 20% of the population equals 400 people, find 25% of the same population.","500 people","","","PENDING_REVIEW"
"CSV-001-0047","PCT-QL-117","Easy","marks","We know that 20% of the marks equals 100 marks. What is 25% of the same marks?","125 marks","","","PENDING_REVIEW"
"CSV-001-0048","PCT-QL-217","Easy","number","The value corresponding to 20% of a number is 200. Find 25% of that number.","250","","","PENDING_REVIEW"
"CSV-001-0049","PCT-QL-317","Easy","monthly salary","The question states that 25% of the monthly salary equals ₹25,000. Determine 20% of the same monthly salary.","₹20,000","","","PENDING_REVIEW"
"CSV-001-0050","PCT-QL-417","Easy","annual income","Given that 25% of the annual income is ₹62,500, what is 20% of the same annual income?","₹50,000","","","PENDING_REVIEW"
"CSV-001-0051","PCT-QL-017","Medium","annual profit","If 37.5% of the annual profit equals ₹18,768.75, find 12.5% of the same annual profit.","₹6,256.25","","","PENDING_REVIEW"
"CSV-001-0052","PCT-QL-117","Medium","expenses","We know that 12.5% of the expenses equals ₹6,256.25. What is 37.5% of the same expenses?","₹18,768.75","","","PENDING_REVIEW"
"CSV-001-0053","PCT-QL-217","Medium","bonus","The value corresponding to 12.5% of the bonus is ₹12,500. Find 37.5% of the same bonus.","₹37,500","","","PENDING_REVIEW"
"CSV-001-0054","PCT-QL-317","Medium","commission","The question states that 12.5% of the commission equals ₹18,750. Determine 37.5% of the same commission.","₹56,250","","","PENDING_REVIEW"
"CSV-001-0055","PCT-QL-417","Medium","savings","Given that 37.5% of the savings is ₹18,750, what is 12.5% of the same savings?","₹6,250","","","PENDING_REVIEW"
"CSV-001-0056","PCT-QL-017","Hard","revenue","If 100% of the revenue equals ₹50,050, find 1% of the same revenue.","₹500.5","","","PENDING_REVIEW"
"CSV-001-0057","PCT-QL-117","Hard","students","We know that 100% of the students equals 1,000 students. What is 1% of the same students?","10 students","","","PENDING_REVIEW"
"CSV-001-0058","PCT-QL-217","Hard","workers","The value corresponding to 100% of the workers is 2,000 workers. Find 100% of the same workers.","2,000 workers","","","PENDING_REVIEW"
"CSV-001-0059","PCT-QL-317","Hard","employees","The question states that 100% of the employees equals 5,000 employees. Determine 100% of the same employees.","5,000 employees","","","PENDING_REVIEW"
"CSV-001-0060","PCT-QL-417","Hard","books","Given that 100% of the books is 10,000 books, what is 100% of the same books?","10,000 books","","","PENDING_REVIEW"
"CSV-001-0061","PCT-QL-017","Easy","trees","If 25% of the trees equals 50 trees, find 50% of the same trees.","100 trees","","","PENDING_REVIEW"
"CSV-001-0062","PCT-QL-117","Easy","families","We know that 25% of the families equals 100 families. What is 50% of the same families?","200 families","","","PENDING_REVIEW"
"CSV-001-0063","PCT-QL-217","Easy","animals","The value corresponding to 25% of the animals is 250 animals. Find 50% of the same animals.","500 animals","","","PENDING_REVIEW"
"CSV-001-0064","PCT-QL-317","Easy","inventory","The question states that 50% of the inventory equals 1,000 items. Determine 25% of the same inventory.","500 items","","","PENDING_REVIEW"
"CSV-001-0065","PCT-QL-417","Easy","distance","Given that 50% of the distance is 2,500 km, what is 25% of the same distance?","1,250 km","","","PENDING_REVIEW"
"CSV-001-0066","PCT-QL-017","Medium","area","If 45% of the area equals 4,500 sq m, find 15% of the same area.","1,500 sq m","","","PENDING_REVIEW"
"CSV-001-0067","PCT-QL-117","Medium","weight","We know that 25% of the weight equals 50 kg. What is 62.5% of the same weight?","125 kg","","","PENDING_REVIEW"
"CSV-001-0069","PCT-QL-317","Medium","production","The question states that 25% of the production equals 250 units. Determine 62.5% of the same production.","625 units","","","PENDING_REVIEW"
"CSV-001-0070","PCT-QL-417","Medium","population","Given that 62.5% of the population is 1,250 people, what is 25% of the same population?","500 people","","","PENDING_REVIEW"
"CSV-001-0071","PCT-QL-017","Hard","marks","If 82.5% of the marks equals 1,031.25 marks, find 17.5% of the same marks.","218.75 marks","","","PENDING_REVIEW"
"CSV-001-0072","PCT-QL-117","Hard","number","We know that 82.5% of a number equals 2,103.75. What is 17.5% of that number?","446.25","","","PENDING_REVIEW"
"CSV-001-0073","PCT-QL-217","Hard","monthly salary","The value corresponding to 0.5% of the monthly salary is ₹500. Find 0.5% of the same monthly salary.","₹500","","","PENDING_REVIEW"
"CSV-001-0074","PCT-QL-317","Hard","annual income","The question states that 0.5% of the annual income equals ₹1,250. Determine 0.5% of the same annual income.","₹1,250","","","PENDING_REVIEW"
"CSV-001-0075","PCT-QL-417","Hard","annual profit","Given that 0.5% of the annual profit is ₹750, what is 0.5% of the same annual profit?","₹750","","","PENDING_REVIEW"
"CSV-001-0076","PCT-QL-017","Easy","expenses","If 40% of the expenses equals ₹20,000, find 60% of the same expenses.","₹30,000","","","PENDING_REVIEW"
"CSV-001-0077","PCT-QL-117","Easy","bonus","We know that 40% of the bonus equals ₹40,000. What is 60% of the same bonus?","₹60,000","","","PENDING_REVIEW"
"CSV-001-0078","PCT-QL-217","Easy","commission","The value corresponding to 50% of the commission is ₹75,000. Find 75% of the same commission.","₹1,12,500","","","PENDING_REVIEW"
"CSV-001-0079","PCT-QL-317","Easy","savings","The question states that 75% of the savings equals ₹37,500. Determine 50% of the same savings.","₹25,000","","","PENDING_REVIEW"
"CSV-001-0080","PCT-QL-417","Easy","revenue","Given that 75% of the revenue is ₹75,000, what is 50% of the same revenue?","₹50,000","","","PENDING_REVIEW"
"CSV-001-0081","PCT-QL-017","Medium","students","If 80% of the students equals 800 students, find 30% of the same students.","300 students","","","PENDING_REVIEW"
"CSV-001-0082","PCT-QL-117","Medium","workers","We know that 30% of the workers equals 600 workers. What is 80% of the same workers?","1,600 workers","","","PENDING_REVIEW"
"CSV-001-0083","PCT-QL-217","Medium","employees","The value corresponding to 30% of the employees is 1,500 employees. Find 80% of the same employees.","4,000 employees","","","PENDING_REVIEW"
"CSV-001-0084","PCT-QL-317","Medium","books","The question states that 30% of the books equals 3,000 books. Determine 80% of the same books.","8,000 books","","","PENDING_REVIEW"
"CSV-001-0085","PCT-QL-417","Medium","trees","Given that 80% of the trees is 160 trees, what is 30% of the same trees?","60 trees","","","PENDING_REVIEW"
"CSV-001-0086","PCT-QL-017","Hard","families","If 99% of the families equals 396 families, find 75% of the same families.","300 families","","","PENDING_REVIEW"
"CSV-001-0087","PCT-QL-117","Hard","animals","We know that 99% of the animals equals 990 animals. What is 75% of the same animals?","750 animals","","","PENDING_REVIEW"
"CSV-001-0088","PCT-QL-217","Hard","inventory","The value corresponding to 99% of the inventory is 1,980 items. Find 99% of the same inventory.","1,980 items","","","PENDING_REVIEW"
"CSV-001-0089","PCT-QL-317","Hard","distance","The question states that 100% of the distance equals 5,000 km. Determine 100% of the same distance.","5,000 km","","","PENDING_REVIEW"
"CSV-001-0090","PCT-QL-417","Hard","area","Given that 100% of the area is 10,000 sq m, what is 100% of the same area?","10,000 sq m","","","PENDING_REVIEW"
"CSV-001-0091","PCT-QL-017","Easy","weight","If 20% of the weight equals 40 kg, find 25% of the same weight.","50 kg","","","PENDING_REVIEW"
"CSV-001-0092","PCT-QL-117","Easy","volume","We know that 20% of the volume equals 100 litres. What is 25% of the same volume?","125 litres","","","PENDING_REVIEW"
"CSV-001-0093","PCT-QL-217","Easy","production","The value corresponding to 20% of the production is 200 units. Find 25% of the same production.","250 units","","","PENDING_REVIEW"
"CSV-001-0094","PCT-QL-317","Easy","population","The question states that 25% of the population equals 500 people. Determine 20% of the same population.","400 people","","","PENDING_REVIEW"
"CSV-001-0095","PCT-QL-417","Easy","marks","Given that 25% of the marks is 1,250 marks, what is 20% of the same marks?","1,000 marks","","","PENDING_REVIEW"
"CSV-001-0096","PCT-QL-017","Medium","number","If 37.5% of a number equals 956.25, find 12.5% of that number.","318.75","","","PENDING_REVIEW"
"CSV-001-0097","PCT-QL-117","Medium","monthly salary","We know that 12.5% of the monthly salary equals ₹12,506.25. What is 37.5% of the same monthly salary?","₹37,518.75","","","PENDING_REVIEW"
"CSV-001-0098","PCT-QL-217","Medium","annual income","The value corresponding to 12.5% of the annual income is ₹31,250. Find 37.5% of the same annual income.","₹93,750","","","PENDING_REVIEW"
"CSV-001-0099","PCT-QL-317","Medium","annual profit","The question states that 12.5% of the annual profit equals ₹18,750. Determine 37.5% of the same annual profit.","₹56,250","","","PENDING_REVIEW"
"CSV-001-0100","PCT-QL-417","Medium","expenses","Given that 45% of the expenses is ₹22,500, what is 15% of the same expenses?","₹7,500","","","PENDING_REVIEW"
"CSV-001-0101","PCT-QL-017","Hard","bonus","If 100% of the bonus equals ₹50,050, find 1% of the same bonus.","₹500.5","","","PENDING_REVIEW"
"CSV-001-0102","PCT-QL-117","Hard","commission","We know that 100% of the commission equals ₹50,050. What is 1% of the same commission?","₹500.5","","","PENDING_REVIEW"
"CSV-001-0103","PCT-QL-217","Hard","savings","The value corresponding to 0.5% of the savings is ₹250. Find 0.5% of the same savings.","₹250","","","PENDING_REVIEW"
"CSV-001-0104","PCT-QL-317","Hard","revenue","The question states that 0.5% of the revenue equals ₹500. Determine 0.5% of the same revenue.","₹500","","","PENDING_REVIEW"
"CSV-001-0106","PCT-QL-017","Easy","workers","If 25% of the workers equals 500 workers, find 50% of the same workers.","1,000 workers","","","PENDING_REVIEW"
"CSV-001-0107","PCT-QL-117","Easy","employees","We know that 25% of the employees equals 1,250 employees. What is 50% of the same employees?","2,500 employees","","","PENDING_REVIEW"
"CSV-001-0108","PCT-QL-217","Easy","books","The value corresponding to 25% of the books is 2,500 books. Find 50% of the same books.","5,000 books","","","PENDING_REVIEW"
"CSV-001-0109","PCT-QL-317","Easy","trees","The question states that 50% of the trees equals 100 trees. Determine 25% of the same trees.","50 trees","","","PENDING_REVIEW"
"CSV-001-0110","PCT-QL-417","Easy","families","Given that 50% of the families is 200 families, what is 25% of the same families?","100 families","","","PENDING_REVIEW"
"CSV-001-0111","PCT-QL-017","Medium","animals","If 62.5% of the animals equals 625 animals, find 25% of the same animals.","250 animals","","","PENDING_REVIEW"
"CSV-001-0112","PCT-QL-117","Medium","inventory","We know that 25% of the inventory equals 500 items. What is 62.5% of the same inventory?","1,250 items","","","PENDING_REVIEW"
"CSV-001-0113","PCT-QL-217","Medium","distance","The value corresponding to 25% of the distance is 1,250 km. Find 62.5% of the same distance.","3,125 km","","","PENDING_REVIEW"
"CSV-001-0114","PCT-QL-317","Medium","area","The question states that 25% of the area equals 2,500 sq m. Determine 62.5% of the same area.","6,250 sq m","","","PENDING_REVIEW"
"CSV-001-0115","PCT-QL-417","Medium","weight","Given that 62.5% of the weight is 125 kg, what is 25% of the same weight?","50 kg","","","PENDING_REVIEW"
"CSV-001-0117","PCT-QL-117","Hard","production","We know that 82.5% of the production equals 825 units. What is 17.5% of the same production?","175 units","","","PENDING_REVIEW"
"CSV-001-0118","PCT-QL-217","Hard","population","The value corresponding to 99% of the population is 1,980 people. Find 99% of the same population.","1,980 people","","","PENDING_REVIEW"
"CSV-001-0120","PCT-QL-417","Hard","number","Given that 99% of a number is 4,950, what is 99% of that number?","4,950","","","PENDING_REVIEW"
"CSV-001-0121","PCT-QL-017","Easy","monthly salary","If 40% of the monthly salary equals ₹40,000, find 60% of the same monthly salary.","₹60,000","","","PENDING_REVIEW"
"CSV-001-0122","PCT-QL-117","Easy","annual income","We know that 50% of the annual income equals ₹1,25,000. What is 75% of the same annual income?","₹1,87,500","","","PENDING_REVIEW"
"CSV-001-0123","PCT-QL-217","Easy","annual profit","The value corresponding to 50% of the annual profit is ₹75,000. Find 75% of the same annual profit.","₹1,12,500","","","PENDING_REVIEW"
"CSV-001-0124","PCT-QL-317","Easy","expenses","The question states that 75% of the expenses equals ₹37,500. Determine 50% of the same expenses.","₹25,000","","","PENDING_REVIEW"
"CSV-001-0125","PCT-QL-417","Easy","bonus","Given that 75% of the bonus is ₹75,000, what is 50% of the same bonus?","₹50,000","","","PENDING_REVIEW"
"CSV-001-0126","PCT-QL-017","Medium","commission","If 80% of the commission equals ₹40,040, find 30% of the same commission.","₹15,015","","","PENDING_REVIEW"
"CSV-001-0127","PCT-QL-117","Medium","savings","We know that 30% of the savings equals ₹15,015. What is 80% of the same savings?","₹40,040","","","PENDING_REVIEW"
"CSV-001-0128","PCT-QL-217","Medium","revenue","The value corresponding to 30% of the revenue is ₹30,000. Find 80% of the same revenue.","₹80,000","","","PENDING_REVIEW"
"CSV-001-0129","PCT-QL-317","Medium","students","The question states that 30% of the students equals 300 students. Determine 80% of the same students.","800 students","","","PENDING_REVIEW"
"CSV-001-0130","PCT-QL-417","Medium","workers","Given that 80% of the workers is 1,600 workers, what is 30% of the same workers?","600 workers","","","PENDING_REVIEW"
"CSV-001-0131","PCT-QL-017","Hard","employees","If 99% of the employees equals 4,950 employees, find 75% of the same employees.","3,750 employees","","","PENDING_REVIEW"
"CSV-001-0132","PCT-QL-117","Hard","books","We know that 99% of the books equals 9,900 books. What is 75% of the same books?","7,500 books","","","PENDING_REVIEW"
"CSV-001-0134","PCT-QL-317","Hard","families","The question states that 0.5% of the families equals 2 families. Determine 0.5% of the same families.","2 families","","","PENDING_REVIEW"
"CSV-001-0136","PCT-QL-017","Easy","inventory","If 20% of the inventory equals 400 items, find 25% of the same inventory.","500 items","","","PENDING_REVIEW"
"CSV-001-0137","PCT-QL-117","Easy","distance","We know that 20% of the distance equals 1,000 km. What is 25% of the same distance?","1,250 km","","","PENDING_REVIEW"
"CSV-001-0138","PCT-QL-217","Easy","area","The value corresponding to 20% of the area is 2,000 sq m. Find 25% of the same area.","2,500 sq m","","","PENDING_REVIEW"
"CSV-001-0139","PCT-QL-317","Easy","weight","The question states that 25% of the weight equals 50 kg. Determine 20% of the same weight.","40 kg","","","PENDING_REVIEW"
"CSV-001-0140","PCT-QL-417","Easy","volume","Given that 25% of the volume is 125 litres, what is 20% of the same volume?","100 litres","","","PENDING_REVIEW"
"CSV-001-0141","PCT-QL-017","Medium","production","If 37.5% of the production equals 375 units, find 12.5% of the same production.","125 units","","","PENDING_REVIEW"
"CSV-001-0142","PCT-QL-117","Medium","population","We know that 12.5% of the population equals 250 people. What is 37.5% of the same population?","750 people","","","PENDING_REVIEW"
"CSV-001-0143","PCT-QL-217","Medium","marks","The value corresponding to 12.5% of the marks is 125 marks. Find 37.5% of the same marks.","375 marks","","","PENDING_REVIEW"
"CSV-001-0144","PCT-QL-317","Medium","number","The question states that 15% of a number equals 375. Determine 45% of that number.","1,125","","","PENDING_REVIEW"
"CSV-001-0145","PCT-QL-417","Medium","monthly salary","Given that 45% of the monthly salary is ₹45,000, what is 15% of the same monthly salary?","₹15,000","","","PENDING_REVIEW"
"CSV-001-0146","PCT-QL-017","Hard","annual income","If 100% of the annual income equals ₹2,00,050, find 1% of the same annual income.","₹2,000.5","","","PENDING_REVIEW"
"CSV-001-0147","PCT-QL-117","Hard","annual profit","We know that 100% of the annual profit equals ₹50,050. What is 1% of the same annual profit?","₹500.5","","","PENDING_REVIEW"
"CSV-001-0148","PCT-QL-217","Hard","expenses","The value corresponding to 99% of the expenses is ₹49,500. Find 99% of the same expenses.","₹49,500","","","PENDING_REVIEW"
"CSV-001-0149","PCT-QL-317","Hard","bonus","The question states that 99% of the bonus equals ₹99,000. Determine 99% of the same bonus.","₹99,000","","","PENDING_REVIEW"
"CSV-001-0150","PCT-QL-417","Hard","commission","Given that 99% of the commission is ₹1,48,500, what is 99% of the same commission?","₹1,48,500","","","PENDING_REVIEW"
"CSV-001-0151","PCT-QL-017","Easy","savings","If 25% of the savings equals ₹12,500, find 50% of the same savings.","₹25,000","","","PENDING_REVIEW"
"CSV-001-0152","PCT-QL-117","Easy","revenue","We know that 25% of the revenue equals ₹25,000. What is 50% of the same revenue?","₹50,000","","","PENDING_REVIEW"
"CSV-001-0153","PCT-QL-217","Easy","students","The value corresponding to 25% of the students is 250 students. Find 50% of the same students.","500 students","","","PENDING_REVIEW"
"CSV-001-0154","PCT-QL-317","Easy","workers","The question states that 50% of the workers equals 1,000 workers. Determine 25% of the same workers.","500 workers","","","PENDING_REVIEW"
"CSV-001-0155","PCT-QL-417","Easy","employees","Given that 60% of the employees is 3,000 employees, what is 40% of the same employees?","2,000 employees","","","PENDING_REVIEW"
"CSV-001-0156","PCT-QL-017","Medium","books","If 62.5% of the books equals 6,250 books, find 25% of the same books.","2,500 books","","","PENDING_REVIEW"
"CSV-001-0157","PCT-QL-117","Medium","trees","We know that 25% of the trees equals 50 trees. What is 62.5% of the same trees?","125 trees","","","PENDING_REVIEW"
"CSV-001-0158","PCT-QL-217","Medium","families","The value corresponding to 25% of the families is 100 families. Find 62.5% of the same families.","250 families","","","PENDING_REVIEW"
"CSV-001-0159","PCT-QL-317","Medium","animals","The question states that 25% of the animals equals 250 animals. Determine 62.5% of the same animals.","625 animals","","","PENDING_REVIEW"
"CSV-001-0160","PCT-QL-417","Medium","inventory","Given that 62.5% of the inventory is 1,250 items, what is 25% of the same inventory?","500 items","","","PENDING_REVIEW"
"CSV-001-0161","PCT-QL-017","Hard","distance","If 82.5% of the distance equals 4,125 km, find 17.5% of the same distance.","875 km","","","PENDING_REVIEW"
"CSV-001-0162","PCT-QL-117","Hard","area","We know that 82.5% of the area equals 8,250 sq m. What is 17.5% of the same area?","1,750 sq m","","","PENDING_REVIEW"
"CSV-001-0163","PCT-QL-217","Hard","weight","The value corresponding to 100% of the weight is 200 kg. Find 100% of the same weight.","200 kg","","","PENDING_REVIEW"
"CSV-001-0164","PCT-QL-317","Hard","volume","The question states that 100% of the volume equals 500 litres. Determine 100% of the same volume.","500 litres","","","PENDING_REVIEW"
"CSV-001-0165","PCT-QL-417","Hard","production","Given that 100% of the production is 1,000 units, what is 100% of the same production?","1,000 units","","","PENDING_REVIEW"
"CSV-001-0166","PCT-QL-017","Easy","population","If 50% of the population equals 1,000 people, find 75% of the same population.","1,500 people","","","PENDING_REVIEW"
"CSV-001-0167","PCT-QL-117","Easy","marks","We know that 50% of the marks equals 250 marks. What is 75% of the same marks?","375 marks","","","PENDING_REVIEW"
"CSV-001-0168","PCT-QL-217","Easy","number","The value corresponding to 50% of a number is 500. Find 75% of that number.","750","","","PENDING_REVIEW"
"CSV-001-0169","PCT-QL-317","Easy","monthly salary","The question states that 75% of the monthly salary equals ₹75,000. Determine 50% of the same monthly salary.","₹50,000","","","PENDING_REVIEW"
"CSV-001-0170","PCT-QL-417","Easy","annual income","Given that 75% of the annual income is ₹1,87,500, what is 50% of the same annual income?","₹1,25,000","","","PENDING_REVIEW"
"CSV-001-0171","PCT-QL-017","Medium","annual profit","If 80% of the annual profit equals ₹40,040, find 30% of the same annual profit.","₹15,015","","","PENDING_REVIEW"
"CSV-001-0172","PCT-QL-117","Medium","expenses","We know that 30% of the expenses equals ₹15,015. What is 80% of the same expenses?","₹40,040","","","PENDING_REVIEW"
"CSV-001-0173","PCT-QL-217","Medium","bonus","The value corresponding to 30% of the bonus is ₹30,000. Find 80% of the same bonus.","₹80,000","","","PENDING_REVIEW"
"CSV-001-0174","PCT-QL-317","Medium","commission","The question states that 30% of the commission equals ₹45,000. Determine 80% of the same commission.","₹1,20,000","","","PENDING_REVIEW"
"CSV-001-0175","PCT-QL-417","Medium","savings","Given that 80% of the savings is ₹40,000, what is 30% of the same savings?","₹15,000","","","PENDING_REVIEW"
"CSV-001-0176","PCT-QL-017","Hard","revenue","If 99% of the revenue equals ₹49,549.5, find 75% of the same revenue.","₹37,537.5","","","PENDING_REVIEW"
"CSV-001-0177","PCT-QL-117","Hard","students","We know that 99% of the students equals 990 students. What is 0.5% of the same students?","5 students","","","PENDING_REVIEW"
"CSV-001-0178","PCT-QL-217","Hard","workers","The value corresponding to 99% of the workers is 1,980 workers. Find 99% of the same workers.","1,980 workers","","","PENDING_REVIEW"
"CSV-001-0179","PCT-QL-317","Hard","employees","The question states that 99% of the employees equals 4,950 employees. Determine 99% of the same employees.","4,950 employees","","","PENDING_REVIEW"
"CSV-001-0180","PCT-QL-417","Hard","books","Given that 99% of the books is 9,900 books, what is 99% of the same books?","9,900 books","","","PENDING_REVIEW"
"CSV-001-0181","PCT-QL-017","Easy","trees","If 20% of the trees equals 40 trees, find 25% of the same trees.","50 trees","","","PENDING_REVIEW"
"CSV-001-0182","PCT-QL-117","Easy","families","We know that 20% of the families equals 80 families. What is 25% of the same families?","100 families","","","PENDING_REVIEW"
"CSV-001-0183","PCT-QL-217","Easy","animals","The value corresponding to 20% of the animals is 200 animals. Find 25% of the same animals.","250 animals","","","PENDING_REVIEW"
"CSV-001-0184","PCT-QL-317","Easy","inventory","The question states that 25% of the inventory equals 500 items. Determine 20% of the same inventory.","400 items","","","PENDING_REVIEW"
"CSV-001-0185","PCT-QL-417","Easy","distance","Given that 25% of the distance is 1,250 km, what is 20% of the same distance?","1,000 km","","","PENDING_REVIEW"
