"questionId","qlId","difficulty","context","detailMode","methodFamily","engineVersion","explanationText","explanationLinesJson","approval","reviewerNotes","status"
"CSV-001-0011","PCT-QL-017","Hard","employees","standard","UNIT_VALUE","eev2-v1","We need to move from one percentage of the employees to another. | The question gives 99% of the employees as 4,950 employees. | Because 99% of the employees has 99 equal 1% parts, divide 4,950 employees by 99. | $$1\% = 4,950\text{ employees} \div 99 = 50\text{ employees}$$ | The percentage we still need is 0.5%. | Because 1% is known, multiply its value by 0.5 to get 0.5% of the employees. | $$0.5\% = 50\text{ employees} \times 0.5 = 25\text{ employees}$$ | Therefore, 0.5% of the employees represents 25 employees.","[""We need to move from one percentage of the employees to another."",""The question gives 99% of the employees as 4,950 employees."",""Because 99% of the employees has 99 equal 1% parts, divide 4,950 employees by 99. | $$1\\% = 4,950\\text{ employees} \\div 99 = 50\\text{ employees}$$"",""The percentage we still need is 0.5%."",""Because 1% is known, multiply its value by 0.5 to get 0.5% of the employees. | $$0.5\\% = 50\\text{ employees} \\times 0.5 = 25\\text{ employees}$$"",""Therefore, 0.5% of the employees represents 25 employees.""]","","","PENDING_REVIEW"
"CSV-001-0012","PCT-QL-117","Hard","books","standard","UNIT_VALUE","eev2-v1","We need to move from one percentage of the books to another. | In this question, 100% of the books stands for 10,000 books. | Because 100% of the books has 100 equal 1% parts, divide 10,000 books by 100. | $$1\% = 10,000\text{ books} \div 100 = 100\text{ books}$$ | The percentage we still need is 1%. | Because 1% is known, multiply its value by 1 to get 1% of the books. | $$1\% = 100\text{ books} \times 1 = 100\text{ books}$$ | So 1% of the books is 100 books.","[""We need to move from one percentage of the books to another."",""In this question, 100% of the books stands for 10,000 books."",""Because 100% of the books has 100 equal 1% parts, divide 10,000 books by 100. | $$1\\% = 10,000\\text{ books} \\div 100 = 100\\text{ books}$$"",""The percentage we still need is 1%."",""Because 1% is known, multiply its value by 1 to get 1% of the books. | $$1\\% = 100\\text{ books} \\times 1 = 100\\text{ books}$$"",""So 1% of the books is 100 books.""]","","","PENDING_REVIEW"
"CSV-001-0013","PCT-QL-217","Hard","trees","standard","UNIT_VALUE","eev2-v1","Here, the given and required percentages are both 99%. | 99% of the trees is 198 trees. | We can skip the 1% step because both percentages are equal. | The question asks for that same 99% of the trees. | There is no change from the given percentage. | So 99% of the trees remains 198 trees.","[""Here, the given and required percentages are both 99%."",""99% of the trees is 198 trees."",""We can skip the 1% step because both percentages are equal."",""The question asks for that same 99% of the trees."",""There is no change from the given percentage."",""So 99% of the trees remains 198 trees.""]","","","PENDING_REVIEW"
"CSV-001-0014","PCT-QL-317","Hard","families","standard","UNIT_VALUE","eev2-v1","The required percentage is the same 99% already given for the families. | 99% of the families is 396 families. | There is no need to find 1% because the requested percentage is already known. | The question asks for that same 99% of the families. | No multiplication or scaling is needed. | So 99% of the families remains 396 families.","[""The required percentage is the same 99% already given for the families."",""99% of the families is 396 families."",""There is no need to find 1% because the requested percentage is already known."",""The question asks for that same 99% of the families."",""No multiplication or scaling is needed."",""So 99% of the families remains 396 families.""]","","","PENDING_REVIEW"
"CSV-001-0015","PCT-QL-417","Hard","animals","detailed","UNIT_VALUE","eev2-v1","Here, the given and required percentages are both 99%. | 99% of the animals is 990 animals. | We can skip the 1% step because both percentages are equal. | The question asks for that same 99% of the animals. | There is no change from the given percentage. | The requested percentage and the given percentage are identical. | So 99% of the animals remains 990 animals.","[""Here, the given and required percentages are both 99%."",""99% of the animals is 990 animals."",""We can skip the 1% step because both percentages are equal."",""The question asks for that same 99% of the animals."",""There is no change from the given percentage."",""The requested percentage and the given percentage are identical."",""So 99% of the animals remains 990 animals.""]","","","PENDING_REVIEW"
"CSV-001-0016","PCT-QL-017","Easy","inventory","detailed","UNIT_VALUE","eev2-v1","We can see that both percentage values belong to the inventory. | Start with the given relation: 25% of the inventory is 500 inventory. | Because 25% has 25 equal parts, dividing 500 inventory by 25 gives 1% of the inventory. | $$1\% = 500\text{ inventory} \div 25 = 20\text{ inventory}$$ | The required share is 50% of the inventory. | Since 1% is one part, multiply its value by 50 to get 50% of the inventory. | $$50\% = 20\text{ inventory} \times 50 = 1,000\text{ inventory}$$ | A quick check gives the original 25% value, 500 inventory. | $$20\text{ inventory} \times 25 = 500\text{ inventory}$$ | So the share of the inventory represented by 50% is 1,000 inventory.","[""We can see that both percentage values belong to the inventory."",""Start with the given relation: 25% of the inventory is 500 inventory."",""Because 25% has 25 equal parts, dividing 500 inventory by 25 gives 1% of the inventory. | $$1\\% = 500\\text{ inventory} \\div 25 = 20\\text{ inventory}$$"",""The required share is 50% of the inventory."",""Since 1% is one part, multiply its value by 50 to get 50% of the inventory. | $$50\\% = 20\\text{ inventory} \\times 50 = 1,000\\text{ inventory}$$"",""A quick check gives the original 25% value, 500 inventory. | $$20\\text{ inventory} \\times 25 = 500\\text{ inventory}$$"",""So the share of the inventory represented by 50% is 1,000 inventory.""]","","","PENDING_REVIEW"
"CSV-001-0017","PCT-QL-117","Easy","distance","detailed","UNIT_VALUE","eev2-v1","We are comparing two percentages of the distance. | The given information is 25% of the distance = 1,250 kilometres. | Because 25% has 25 equal parts, dividing 1,250 kilometres by 25 gives 1% of the distance. | $$1\% = 1,250\text{ kilometres} \div 25 = 50\text{ kilometres}$$ | Our target is 50% of the distance. | Since 1% is one part, multiply its value by 50 to get 50% of the distance. | $$50\% = 50\text{ kilometres} \times 50 = 2,500\text{ kilometres}$$ | As a check, the 1% value used 25 times gives 1,250 kilometres. | $$50\text{ kilometres} \times 25 = 1,250\text{ kilometres}$$ | Therefore, 50% of the distance represents 2,500 kilometres.","[""We are comparing two percentages of the distance."",""The given information is 25% of the distance = 1,250 kilometres."",""Because 25% has 25 equal parts, dividing 1,250 kilometres by 25 gives 1% of the distance. | $$1\\% = 1,250\\text{ kilometres} \\div 25 = 50\\text{ kilometres}$$"",""Our target is 50% of the distance."",""Since 1% is one part, multiply its value by 50 to get 50% of the distance. | $$50\\% = 50\\text{ kilometres} \\times 50 = 2,500\\text{ kilometres}$$"",""As a check, the 1% value used 25 times gives 1,250 kilometres. | $$50\\text{ kilometres} \\times 25 = 1,250\\text{ kilometres}$$"",""Therefore, 50% of the distance represents 2,500 kilometres.""]","","","PENDING_REVIEW"
"CSV-001-0018","PCT-QL-217","Easy","area","detailed","UNIT_VALUE","eev2-v1","We will first connect the known percentage of the area with the required percentage. | The question gives 25% of the area as 2,500 square metres. | Because 25% has 25 equal parts, dividing 2,500 square metres by 25 gives 1% of the area. | $$1\% = 2,500\text{ square metres} \div 25 = 100\text{ square metres}$$ | The percentage we still need is 50%. | Since 1% is one part, multiply its value by 50 to get 50% of the area. | $$50\% = 100\text{ square metres} \times 50 = 5,000\text{ square metres}$$ | Going back to 25% reproduces the given 2,500 square metres. | $$100\text{ square metres} \times 25 = 2,500\text{ square metres}$$ | Therefore, 50% of the area represents 5,000 square metres.","[""We will first connect the known percentage of the area with the required percentage."",""The question gives 25% of the area as 2,500 square metres."",""Because 25% has 25 equal parts, dividing 2,500 square metres by 25 gives 1% of the area. | $$1\\% = 2,500\\text{ square metres} \\div 25 = 100\\text{ square metres}$$"",""The percentage we still need is 50%."",""Since 1% is one part, multiply its value by 50 to get 50% of the area. | $$50\\% = 100\\text{ square metres} \\times 50 = 5,000\\text{ square metres}$$"",""Going back to 25% reproduces the given 2,500 square metres. | $$100\\text{ square metres} \\times 25 = 2,500\\text{ square metres}$$"",""Therefore, 50% of the area represents 5,000 square metres.""]","","","PENDING_REVIEW"
"CSV-001-0019","PCT-QL-317","Easy","weight","detailed","UNIT_VALUE","eev2-v1","We will first connect the known percentage of the weight with the required percentage. | The given information is 50% of the weight = 100 kilograms. | Because 50% has 50 equal parts, dividing 100 kilograms by 50 gives 1% of the weight. | $$1\% = 100\text{ kilograms} \div 50 = 2\text{ kilograms}$$ | Our target is 25% of the weight. | Since 1% is one part, multiply its value by 25 to get 25% of the weight. | $$25\% = 2\text{ kilograms} \times 25 = 50\text{ kilograms}$$ | As a check, the 1% value used 50 times gives 100 kilograms. | $$2\text{ kilograms} \times 50 = 100\text{ kilograms}$$ | Therefore, 25% of the weight represents 50 kilograms.","[""We will first connect the known percentage of the weight with the required percentage."",""The given information is 50% of the weight = 100 kilograms."",""Because 50% has 50 equal parts, dividing 100 kilograms by 50 gives 1% of the weight. | $$1\\% = 100\\text{ kilograms} \\div 50 = 2\\text{ kilograms}$$"",""Our target is 25% of the weight."",""Since 1% is one part, multiply its value by 25 to get 25% of the weight. | $$25\\% = 2\\text{ kilograms} \\times 25 = 50\\text{ kilograms}$$"",""As a check, the 1% value used 50 times gives 100 kilograms. | $$2\\text{ kilograms} \\times 50 = 100\\text{ kilograms}$$"",""Therefore, 25% of the weight represents 50 kilograms.""]","","","PENDING_REVIEW"
"CSV-001-0020","PCT-QL-417","Easy","volume","detailed","UNIT_VALUE","eev2-v1","We are finding a new percentage of the volume. | In this question, 50% of the volume stands for 250 litres. | Because 50% has 50 equal parts, dividing 250 litres by 50 gives 1% of the volume. | $$1\% = 250\text{ litres} \div 50 = 5\text{ litres}$$ | The percentage we still need is 25%. | Since 1% is one part, multiply its value by 25 to get 25% of the volume. | $$25\% = 5\text{ litres} \times 25 = 125\text{ litres}$$ | The given relation is recovered when the 1% value is multiplied by 50. | $$5\text{ litres} \times 50 = 250\text{ litres}$$ | So 25% of the volume is 125 litres.","[""We are finding a new percentage of the volume."",""In this question, 50% of the volume stands for 250 litres."",""Because 50% has 50 equal parts, dividing 250 litres by 50 gives 1% of the volume. | $$1\\% = 250\\text{ litres} \\div 50 = 5\\text{ litres}$$"",""The percentage we still need is 25%."",""Since 1% is one part, multiply its value by 25 to get 25% of the volume. | $$25\\% = 5\\text{ litres} \\times 25 = 125\\text{ litres}$$"",""The given relation is recovered when the 1% value is multiplied by 50. | $$5\\text{ litres} \\times 50 = 250\\text{ litres}$$"",""So 25% of the volume is 125 litres.""]","","","PENDING_REVIEW"
"CSV-001-0021","PCT-QL-017","Medium","production","detailed","UNIT_VALUE","eev2-v1","We can see that both percentage values belong to the production. | Here, 450 units represents 45% of the production. | Because 45% has 45 equal parts, dividing 450 units by 45 gives 1% of the production. | $$1\% = 450\text{ units} \div 45 = 10\text{ units}$$ | We can now move from 1% to 15% of the production. | Since 1% is one part, multiply its value by 15 to get 15% of the production. | $$15\% = 10\text{ units} \times 15 = 150\text{ units}$$ | The check agrees with the question: 45% gives 450 units. | $$10\text{ units} \times 45 = 450\text{ units}$$ | This means the required production count is 150 units.","[""We can see that both percentage values belong to the production."",""Here, 450 units represents 45% of the production."",""Because 45% has 45 equal parts, dividing 450 units by 45 gives 1% of the production. | $$1\\% = 450\\text{ units} \\div 45 = 10\\text{ units}$$"",""We can now move from 1% to 15% of the production."",""Since 1% is one part, multiply its value by 15 to get 15% of the production. | $$15\\% = 10\\text{ units} \\times 15 = 150\\text{ units}$$"",""The check agrees with the question: 45% gives 450 units. | $$10\\text{ units} \\times 45 = 450\\text{ units}$$"",""This means the required production count is 150 units.""]","","","PENDING_REVIEW"
"CSV-001-0022","PCT-QL-117","Medium","population","short","UNIT_VALUE","eev2-v1","We are finding a new percentage of the population. | The question gives 15% of the population as 300 people. | Because 15% of the population has 15 equal 1% parts, divide 300 people by 15. | $$1\% = 300\text{ people} \div 15 = 20\text{ people}$$ | Next, use the 1% value to find 45% of the population. | Use the 1% value 45 times to get 45% of the population. | $$45\% = 20\text{ people} \times 45 = 900\text{ people}$$ | So 45% of the population is 900 people.","[""We are finding a new percentage of the population."",""The question gives 15% of the population as 300 people."",""Because 15% of the population has 15 equal 1% parts, divide 300 people by 15. | $$1\\% = 300\\text{ people} \\div 15 = 20\\text{ people}$$"",""Next, use the 1% value to find 45% of the population."",""Use the 1% value 45 times to get 45% of the population. | $$45\\% = 20\\text{ people} \\times 45 = 900\\text{ people}$$"",""So 45% of the population is 900 people.""]","","","PENDING_REVIEW"
"CSV-001-0023","PCT-QL-217","Medium","marks","short","UNIT_VALUE","eev2-v1","We are working with two percentages of the marks. | 250 marks is the value of 25% of the marks. | Because 25% of the marks has 25 equal 1% parts, divide 250 marks by 25. | $$1\% = 250\text{ marks} \div 25 = 10\text{ marks}$$ | The question asks for 62.5% of the marks. | Use the 1% value 62.5 times to get 62.5% of the marks. | $$62.5\% = 10\text{ marks} \times 62.5 = 625\text{ marks}$$ | This means the required marks count is 625 marks.","[""We are working with two percentages of the marks."",""250 marks is the value of 25% of the marks."",""Because 25% of the marks has 25 equal 1% parts, divide 250 marks by 25. | $$1\\% = 250\\text{ marks} \\div 25 = 10\\text{ marks}$$"",""The question asks for 62.5% of the marks."",""Use the 1% value 62.5 times to get 62.5% of the marks. | $$62.5\\% = 10\\text{ marks} \\times 62.5 = 625\\text{ marks}$$"",""This means the required marks count is 625 marks.""]","","","PENDING_REVIEW"
"CSV-001-0024","PCT-QL-317","Medium","number","short","UNIT_VALUE","eev2-v1","We can use the known percentage of the number to find the required one. | We know that 25% of the number is 625. | Because 25% of the number has 25 equal 1% parts, divide 625 by 25. | $$1\% = 625 \div 25 = 25$$ | The required share is 62.5% of the number. | Use the 1% value 62.5 times to get 62.5% of the number. | $$62.5\% = 25 \times 62.5 = 1,562.5$$ | This means the required value is 1,562.5.","[""We can use the known percentage of the number to find the required one."",""We know that 25% of the number is 625."",""Because 25% of the number has 25 equal 1% parts, divide 625 by 25. | $$1\\% = 625 \\div 25 = 25$$"",""The required share is 62.5% of the number."",""Use the 1% value 62.5 times to get 62.5% of the number. | $$62.5\\% = 25 \\times 62.5 = 1,562.5$$"",""This means the required value is 1,562.5.""]","","","PENDING_REVIEW"
"CSV-001-0025","PCT-QL-417","Medium","monthly salary","short","UNIT_VALUE","eev2-v1","We will first connect the known percentage of the monthly salary with the required percentage. | The given information is 62.5% of the monthly salary = ₹62,500. | Because 62.5% of the monthly salary has 62.5 equal 1% parts, divide ₹62,500 by 62.5. | $$1\% = \text{₹}62,500 \div 62.5 = \text{₹}1,000$$ | Now we need 25% of the monthly salary. | Use the 1% value 25 times to get 25% of the monthly salary. | $$25\% = \text{₹}1,000 \times 25 = \text{₹}25,000$$ | So the amount corresponding to 25% of the monthly salary is ₹25,000.","[""We will first connect the known percentage of the monthly salary with the required percentage."",""The given information is 62.5% of the monthly salary = ₹62,500."",""Because 62.5% of the monthly salary has 62.5 equal 1% parts, divide ₹62,500 by 62.5. | $$1\\% = \\text{₹}62,500 \\div 62.5 = \\text{₹}1,000$$"",""Now we need 25% of the monthly salary."",""Use the 1% value 25 times to get 25% of the monthly salary. | $$25\\% = \\text{₹}1,000 \\times 25 = \\text{₹}25,000$$"",""So the amount corresponding to 25% of the monthly salary is ₹25,000.""]","","","PENDING_REVIEW"
"CSV-001-0026","PCT-QL-017","Hard","annual income","short","UNIT_VALUE","eev2-v1","We know one percentage of the annual income and need another. | Start with the given relation: 82.5% of the annual income is ₹1,65,041.25. | Because 82.5% of the annual income has 82.5 equal 1% parts, divide ₹1,65,041.25 by 82.5. | $$1\% = \text{₹}1,65,041.25 \div 82.5 = \text{₹}2,000.5$$ | Now turn the 1% value into 17.5% of the annual income. | Use the 1% value 17.5 times to get 17.5% of the annual income. | $$17.5\% = \text{₹}2,000.5 \times 17.5 = \text{₹}35,008.75$$ | This means 17.5% of the annual income comes to ₹35,008.75.","[""We know one percentage of the annual income and need another."",""Start with the given relation: 82.5% of the annual income is ₹1,65,041.25."",""Because 82.5% of the annual income has 82.5 equal 1% parts, divide ₹1,65,041.25 by 82.5. | $$1\\% = \\text{₹}1,65,041.25 \\div 82.5 = \\text{₹}2,000.5$$"",""Now turn the 1% value into 17.5% of the annual income."",""Use the 1% value 17.5 times to get 17.5% of the annual income. | $$17.5\\% = \\text{₹}2,000.5 \\times 17.5 = \\text{₹}35,008.75$$"",""This means 17.5% of the annual income comes to ₹35,008.75.""]","","","PENDING_REVIEW"
"CSV-001-0027","PCT-QL-117","Hard","annual profit","short","UNIT_VALUE","eev2-v1","We can use the known percentage of the annual profit to find the required one. | We know that 82.5% of the annual profit is ₹41,291.25. | Because 82.5% of the annual profit has 82.5 equal 1% parts, divide ₹41,291.25 by 82.5. | $$1\% = \text{₹}41,291.25 \div 82.5 = \text{₹}500.5$$ | Now turn the 1% value into 17.5% of the annual profit. | Use the 1% value 17.5 times to get 17.5% of the annual profit. | $$17.5\% = \text{₹}500.5 \times 17.5 = \text{₹}8,758.75$$ | The amount represented by 17.5% of the annual profit is ₹8,758.75.","[""We can use the known percentage of the annual profit to find the required one."",""We know that 82.5% of the annual profit is ₹41,291.25."",""Because 82.5% of the annual profit has 82.5 equal 1% parts, divide ₹41,291.25 by 82.5. | $$1\\% = \\text{₹}41,291.25 \\div 82.5 = \\text{₹}500.5$$"",""Now turn the 1% value into 17.5% of the annual profit."",""Use the 1% value 17.5 times to get 17.5% of the annual profit. | $$17.5\\% = \\text{₹}500.5 \\times 17.5 = \\text{₹}8,758.75$$"",""The amount represented by 17.5% of the annual profit is ₹8,758.75.""]","","","PENDING_REVIEW"
